datum,transaction,instrument,holder,location,measure,value,edate,year,month,day
"2005-01","ZT","K","IZ","II","BMF",870.1,16437,2005,1,1
"2005-01","ZT","K","IZ","IA","BMF",637.7,16437,2005,1,1
"2005-01","ZT","K","AZ","II","BMF",386.7,16437,2005,1,1
"2005-01","ZT","D","IZ","II","BMF",1611.2,16437,2005,1,1
"2005-01","ZT","D","IZ","IA","BMF",22.7,16437,2005,1,1
"2005-01","ZT","D","AZ","II","BMF",31.9,16437,2005,1,1
"2005-01","BT","K","IZ","II","BMF",67,16437,2005,1,1
"2005-01","BT","K","IZ","IA","BMF",56.6,16437,2005,1,1
"2005-01","BT","K","AZ","II","BMF",47,16437,2005,1,1
"2005-01","BT","D","IZ","II","BMF",1695.5,16437,2005,1,1
"2005-01","BT","D","IZ","IA","BMF",121.4,16437,2005,1,1
"2005-01","BT","D","AZ","II","BMF",67.3,16437,2005,1,1
"2005-02","ZT","K","IZ","II","BMF",848.6,16468,2005,2,1
"2005-02","ZT","K","IZ","IA","BMF",617.3,16468,2005,2,1
"2005-02","ZT","K","AZ","II","BMF",391.3,16468,2005,2,1
"2005-02","ZT","D","IZ","II","BMF",1491,16468,2005,2,1
"2005-02","ZT","D","IZ","IA","BMF",24.7,16468,2005,2,1
"2005-02","ZT","D","AZ","II","BMF",30.6,16468,2005,2,1
"2005-02","BT","K","IZ","II","BMF",66.7,16468,2005,2,1
"2005-02","BT","K","IZ","IA","BMF",52,16468,2005,2,1
"2005-02","BT","K","AZ","II","BMF",49.1,16468,2005,2,1
"2005-02","BT","D","IZ","II","BMF",1697,16468,2005,2,1
"2005-02","BT","D","IZ","IA","BMF",118.4,16468,2005,2,1
"2005-02","BT","D","AZ","II","BMF",67.4,16468,2005,2,1
"2005-03","ZT","K","IZ","II","BMF",1004.3,16496,2005,3,1
"2005-03","ZT","K","IZ","IA","BMF",766.1,16496,2005,3,1
"2005-03","ZT","K","AZ","II","BMF",439.5,16496,2005,3,1
"2005-03","ZT","D","IZ","II","BMF",1763.5,16496,2005,3,1
"2005-03","ZT","D","IZ","IA","BMF",33,16496,2005,3,1
"2005-03","ZT","D","AZ","II","BMF",43,16496,2005,3,1
"2005-03","BT","K","IZ","II","BMF",76.8,16496,2005,3,1
"2005-03","BT","K","IZ","IA","BMF",61.3,16496,2005,3,1
"2005-03","BT","K","AZ","II","BMF",54.5,16496,2005,3,1
"2005-03","BT","D","IZ","II","BMF",1930.2,16496,2005,3,1
"2005-03","BT","D","IZ","IA","BMF",149.9,16496,2005,3,1
"2005-03","BT","D","AZ","II","BMF",85.7,16496,2005,3,1
