"Date","Cardholder origin","Cardholder origin detail","Amount CHF","Number of transactions"
"2019-06-04","Foreign","NLD",356945.46,6358
"2019-06-04","Foreign","RUS",404893.65,3379
"2019-06-04","Foreign","RoW",6002341.85000003,59806
"2019-06-04","Foreign","USA",2200938.32,23140
"2019-06-05","Domestic","CHE",139256436.69,2753043
"2019-06-05","Foreign","AUT",337106.550000001,3923
"2019-06-05","Foreign","CHN",3848563.29,5585
"2019-06-05","Foreign","DEU",2051591.53,30007
"2019-06-05","Foreign","FRA",1896294.06,39738
"2019-06-05","Foreign","GBR",1793856.94,20837
"2019-06-05","Foreign","ITA",908478.67,14262
"2019-06-05","Foreign","LIE",275175.58,4174
"2019-06-05","Foreign","NLD",357066.6,6013
"2019-06-05","Foreign","RUS",665630.12,3687
"2019-06-05","Foreign","RoW",6971835.53000004,62036
"2019-06-05","Foreign","USA",2330028.95,23203
"2019-06-06","Domestic","CHE",142767731.03,2716055
"2019-06-06","Foreign","AUT",281849.15,3832
"2019-06-06","Foreign","CHN",4891590.24,6455
"2019-06-06","Foreign","DEU",2175403.40999999,29552
"2019-06-06","Foreign","FRA",1943722.34,40440
"2019-06-06","Foreign","GBR",1951925.37,21206
"2019-06-06","Foreign","ITA",931118.34,13957
"2019-06-06","Foreign","LIE",296258.17,3957
"2019-06-06","Foreign","NLD",398929.730000001,6561
"2019-06-06","Foreign","RUS",385515.15,3682
"2019-06-06","Foreign","RoW",8088943.29000004,64237
"2019-06-06","Foreign","USA",2619537.99,23517
"2019-06-07","Domestic","CHE",173375592.7,3068113
"2019-06-07","Foreign","AUT",246094.43,3598
"2019-06-07","Foreign","CHN",4551474.87,6619
"2019-06-07","Foreign","DEU",2249705.07,31887
"2019-06-07","Foreign","FRA",2047134.11,43122
"2019-06-07","Foreign","GBR",2088759.38,22328
"2019-06-07","Foreign","ITA",911679.96,13899
"2019-06-07","Foreign","LIE",384623.5,4829
"2019-06-07","Foreign","NLD",454981.82,6913
"2019-06-07","Foreign","RUS",491698.89,4319
"2019-06-07","Foreign","RoW",7631897.63000006,67878
"2019-06-07","Foreign","USA",2905069.98,26217
"2019-06-08","Domestic","CHE",210027306.67,3178036
"2019-06-08","Foreign","AUT",245340.44,3868
"2019-06-08","Foreign","CHN",3251014.82,6406
"2019-06-08","Foreign","DEU",2475024.5,39894
"2019-06-08","Foreign","FRA",1957407.39,37240
"2019-06-08","Foreign","GBR",1669654.08,20768
"2019-06-08","Foreign","ITA",1191361.58,16852
"2019-06-08","Foreign","LIE",524825.69,5969
"2019-06-08","Foreign","NLD",457892.360000001,8080
"2019-06-08","Foreign","RUS",419336.78,4296
"2019-06-08","Foreign","RoW",6959829.68000002,67598
"2019-06-08","Foreign","USA",2227617.95,26688
"2019-06-09","Domestic","CHE",41803591.2099999,936593
"2019-06-09","Foreign","AUT",151510.68,2677
"2019-06-09","Foreign","CHN",1599947.12,4583
"2019-06-09","Foreign","DEU",1652330.56,28266
"2019-06-09","Foreign","FRA",1131988.4,24005
"2019-06-09","Foreign","GBR",1443498.73,15980
"2019-06-09","Foreign","ITA",959748.980000001,13215
"2019-06-09","Foreign","LIE",60810.89,1181
"2019-06-09","Foreign","NLD",289040.59,5980
"2019-06-09","Foreign","RUS",229073.96,2940
"2019-06-09","Foreign","RoW",4258710.01999998,49974
"2019-06-09","Foreign","USA",1479835.63,20818
"2019-06-10","Domestic","CHE",55744296.56,1117701
"2019-06-10","Foreign","AUT",167374.94,2993
"2019-06-10","Foreign","CHN",4167405.88,5778
"2019-06-10","Foreign","DEU",1844986.99,26838
"2019-06-10","Foreign","FRA",1187268.53,23462
"2019-06-10","Foreign","GBR",1654676.82,15514
"2019-06-10","Foreign","ITA",625379.02,8852
"2019-06-10","Foreign","LIE",60071.31,1197
"2019-06-10","Foreign","NLD",333615.51,6104
"2019-06-10","Foreign","RUS",322420.35,3101
"2019-06-10","Foreign","RoW",5330805.77000001,50982
"2019-06-10","Foreign","USA",1945694.55,21931
"2019-06-11","Domestic","CHE",137782328.52,2667852
"2019-06-11","Foreign","AUT",276038.22,3785
"2019-06-11","Foreign","CHN",3786287.89,6659
"2019-06-11","Foreign","DEU",2229286.36,32562
"2019-06-11","Foreign","FRA",1764071.91,40089
"2019-06-11","Foreign","GBR",2027032.64,22072
"2019-06-11","Foreign","ITA",907358.39,14326
"2019-06-11","Foreign","LIE",247166.01,3726
"2019-06-11","Foreign","NLD",412484.32,7100
"2019-06-11","Foreign","RUS",583834.03,4730
"2019-06-11","Foreign","RoW",8315665.04000007,67506
"2019-06-11","Foreign","USA",2835834.23000001,28283
"2019-06-12","Domestic","CHE",132020552.75,2609194
"2019-06-12","Foreign","AUT",302022.64,3974
"2019-06-12","Foreign","CHN",4094132.67,6026
"2019-06-12","Foreign","DEU",2190799.43,31510
"2019-06-12","Foreign","FRA",1955533.05,39578
"2019-06-12","Foreign","GBR",2186062.63,23103
"2019-06-12","Foreign","ITA",942209.38,14786
"2019-06-12","Foreign","LIE",260554.57,3752
"2019-06-12","Foreign","NLD",378329.43,6185
"2019-06-12","Foreign","RUS",777896.38,4943
"2019-06-12","Foreign","RoW",7920542.86000004,66810
"2019-06-12","Foreign","USA",3091439.08,28274
"2019-06-13","Domestic","CHE",132733931.07,2676348
"2019-06-13","Foreign","AUT",315560.96,3983
"2019-06-13","Foreign","CHN",4067586.35,6109
"2019-06-13","Foreign","DEU",2311761.78,33568
"2019-06-13","Foreign","FRA",2031344.33,42865
"2019-06-13","Foreign","GBR",2088626.6,24091
"2019-06-13","Foreign","ITA",1017815.06,16054
"2019-06-13","Foreign","LIE",252328.35,3620
"2019-06-13","Foreign","NLD",412852.28,6710
"2019-06-13","Foreign","RUS",675411.02,4901
"2019-06-13","Foreign","RoW",8652967.68000002,71871
"2019-06-13","Foreign","USA",2945614.02,29246
"2019-06-14","Domestic","CHE",155802804.15,2924216
"2019-06-14","Foreign","AUT",308775.44,4004
"2019-06-14","Foreign","CHN",4386728.77,6712
"2019-06-14","Foreign","DEU",2549515.49,34656
"2019-06-14","Foreign","FRA",2058311.43,43396
"2019-06-14","Foreign","GBR",2180720.66,24747
"2019-06-14","Foreign","ITA",1011044.73,16031
"2019-06-14","Foreign","LIE",321335.86,4322
"2019-06-14","Foreign","NLD",460287.84,7472
"2019-06-14","Foreign","RUS",719762.89,5244
"2019-06-14","Foreign","RoW",8216718.49000004,73553
"2019-06-14","Foreign","USA",3196823.94,30275
"2019-06-15","Domestic","CHE",190984262.37,2990294
"2019-06-15","Foreign","AUT",256311.54,3780
"2019-06-15","Foreign","CHN",4133243.29,6976
"2019-06-15","Foreign","DEU",2439373.9,37512
"2019-06-15","Foreign","FRA",1843949.84,33527
"2019-06-15","Foreign","GBR",1718444.59,21237
"2019-06-15","Foreign","ITA",1192481.8,18881
"2019-06-15","Foreign","LIE",429751.04,5079
"2019-06-15","Foreign","NLD",437807.6,7950
"2019-06-15","Foreign","RUS",543106.26,4997
"2019-06-15","Foreign","RoW",7178940.59000002,69300
"2019-06-15","Foreign","USA",2435788.96,30179
"2019-06-16","Domestic","CHE",42321771.5299999,970930
"2019-06-16","Foreign","AUT",215566.99,2921
"2019-06-16","Foreign","CHN",4212019.95,5570
"2019-06-16","Foreign","DEU",1739580.15,25907
"2019-06-16","Foreign","FRA",1025440.82,22331
"2019-06-16","Foreign","GBR",1471682.59,17737
"2019-06-16","Foreign","ITA",873321.91,15001
"2019-06-16","Foreign","LIE",64735.72,1219
"2019-06-16","Foreign","NLD",320376.64,5721
"2019-06-16","Foreign","RUS",234515.56,3515
"2019-06-16","Foreign","RoW",4562738.84999998,53990
"2019-06-16","Foreign","USA",1819320.98,25324
"2019-06-17","Domestic","CHE",121085200.88,2531176
"2019-06-17","Foreign","AUT",287717.11,3701
"2019-06-17","Foreign","CHN",4453270.98,6498
"2019-06-17","Foreign","DEU",1962606.07,30495
"2019-06-17","Foreign","FRA",1778576.22,40901
"2019-06-17","Foreign","GBR",1977553.14,23367
"2019-06-17","Foreign","ITA",813062.67,14337
"2019-06-17","Foreign","LIE",224855.28,3380
"2019-06-17","Foreign","NLD",426924.18,7085
"2019-06-17","Foreign","RUS",505468.84,4419
"2019-06-17","Foreign","RoW",8148690.07000004,71718
"2019-06-17","Foreign","USA",2815220.86,31707
"2019-06-18","Domestic","CHE",120911637.43,2494381
"2019-06-18","Foreign","AUT",257044.99,4059
"2019-06-18","Foreign","CHN",4620064.38,6991
"2019-06-18","Foreign","DEU",2032424.15,30427
"2019-06-18","Foreign","FRA",1774171.3,39741
"2019-06-18","Foreign","GBR",1896841.26,22708
"2019-06-18","Foreign","ITA",845505.09,14416
"2019-06-18","Foreign","LIE",215676.76,3359
"2019-06-18","Foreign","NLD",405912.12,6943
"2019-06-18","Foreign","RUS",447144.72,4188
"2019-06-18","Foreign","RoW",7611248.74000005,70069
"2019-06-18","Foreign","USA",2855772.14,29601
"2019-06-19","Domestic","CHE",131677734.03,2665196
"2019-06-19","Foreign","AUT",326172.05,4262
"2019-06-19","Foreign","CHN",4855265.17,6975
"2019-06-19","Foreign","DEU",2229736.4,33079
"2019-06-19","Foreign","FRA",1875231.51,41874
"2019-06-19","Foreign","GBR",2039327.64,23568
"2019-06-19","Foreign","ITA",873456.35,14857
"2019-06-19","Foreign","LIE",261302.96,3784
"2019-06-19","Foreign","NLD",414023.84,7038
"2019-06-19","Foreign","RUS",477743.18,4246
"2019-06-19","Foreign","RoW",8176158.59000004,72446
"2019-06-19","Foreign","USA",2612172.51,29109
"2019-06-20","Domestic","CHE",122430226.3,2388900
"2019-06-20","Foreign","AUT",356950.47,5230
"2019-06-20","Foreign","CHN",4700457.62,6825
"2019-06-20","Foreign","DEU",2700521.29,41098
"2019-06-20","Foreign","FRA",1839739.64,40728
"2019-06-20","Foreign","GBR",2065454.19,23173
"2019-06-20","Foreign","ITA",762213.2,11652
"2019-06-20","Foreign","LIE",546687.85,6634
"2019-06-20","Foreign","NLD",429986.43,6879
"2019-06-20","Foreign","RUS",544152.67,4245
"2019-06-20","Foreign","RoW",8435047.10000002,71682
"2019-06-20","Foreign","USA",2773439.43,29029
"2019-06-21","Domestic","CHE",169311617.73,2988204
"2019-06-21","Foreign","AUT",332040.09,4897
"2019-06-21","Foreign","CHN",5262326.13,7354
"2019-06-21","Foreign","DEU",2841797.44,42749
"2019-06-21","Foreign","FRA",1993914.36,43111
"2019-06-21","Foreign","GBR",2159459.23,24925
"2019-06-21","Foreign","ITA",945698.05,14980
"2019-06-21","Foreign","LIE",400681.75,4828
"2019-06-21","Foreign","NLD",527161.38,8368
"2019-06-21","Foreign","RUS",596899.46,4446
"2019-06-21","Foreign","RoW",9042934.90999998,77349
"2019-06-21","Foreign","USA",3113314.3,32568
"2019-06-22","Domestic","CHE",192251765.99,2953265
"2019-06-22","Foreign","AUT",345936.42,4260
"2019-06-22","Foreign","CHN",4877312.17,7242
"2019-06-22","Foreign","DEU",2825887.23,42713
"2019-06-22","Foreign","FRA",1845611.88,33747
"2019-06-22","Foreign","GBR",1644719.72,21667
"2019-06-22","Foreign","ITA",1165428.64,17177
"2019-06-22","Foreign","LIE",420965.79,4920
"2019-06-22","Foreign","NLD",496847.97,8212
"2019-06-22","Foreign","RUS",432353.59,4265
"2019-06-22","Foreign","RoW",7473344.69000004,72705
"2019-06-22","Foreign","USA",2756658.35,31572
"2019-06-23","Domestic","CHE",42565095.01,994520
"2019-06-23","Foreign","AUT",230591.8,3286
"2019-06-23","Foreign","CHN",3278628.12,5325
"2019-06-23","Foreign","DEU",1955045.8,28955
"2019-06-23","Foreign","FRA",977990.460000001,22161
"2019-06-23","Foreign","GBR",1504192.29,18191
"2019-06-23","Foreign","ITA",855845.120000002,14805
"2019-06-23","Foreign","LIE",60486.3,1283
"2019-06-23","Foreign","NLD",350948.22,6024
"2019-06-23","Foreign","RUS",262899.22,3276
"2019-06-23","Foreign","RoW",5149238.47,56411
"2019-06-23","Foreign","USA",1889895.49,26565
"2019-06-24","Domestic","CHE",127172271.81,2597740
"2019-06-24","Foreign","AUT",273649.64,3852
"2019-06-24","Foreign","CHN",4855371.92,6792
"2019-06-24","Foreign","DEU",1939703.93,29176
"2019-06-24","Foreign","FRA",1808364.86,41554
"2019-06-24","Foreign","GBR",1928918.78,24018
"2019-06-24","Foreign","ITA",886749.910000001,14960
"2019-06-24","Foreign","LIE",213091.12,3340
"2019-06-24","Foreign","NLD",436394.4,7730
"2019-06-24","Foreign","RUS",490050.810000001,4502
"2019-06-24","Foreign","RoW",8026734.82000004,75326
"2019-06-24","Foreign","USA",2820696.71,32536
"2019-06-25","Domestic","CHE",140253198.93,2776035
"2019-06-25","Foreign","AUT",293304.23,3956
"2019-06-25","Foreign","CHN",4989432.39,7249
"2019-06-25","Foreign","DEU",1847977.18,29399
"2019-06-25","Foreign","FRA",1920469.75,40861
"2019-06-25","Foreign","GBR",1922918.92,24097
"2019-06-25","Foreign","ITA",799910.910000001,14153
"2019-06-25","Foreign","LIE",244023.35,3783
"2019-06-25","Foreign","NLD",408130.96,7240
"2019-06-25","Foreign","RUS",585548.6,4733
"2019-06-25","Foreign","RoW",7838199.84000003,73874
"2019-06-25","Foreign","USA",2783951.19,31687
"2019-06-26","Domestic","CHE",147705710.22,2907869
"2019-06-26","Foreign","AUT",283003.96,4204
"2019-06-26","Foreign","CHN",4753143.82,6966
"2019-06-26","Foreign","DEU",2207741.92,30132
"2019-06-26","Foreign","FRA",1903236.35,42020
"2019-06-26","Foreign","GBR",2028587.28,25103
"2019-06-26","Foreign","ITA",811239.84,14603
"2019-06-26","Foreign","LIE",293896.75,4148
"2019-06-26","Foreign","NLD",470904.39,7649
"2019-06-26","Foreign","RUS",513537.91,4894
"2019-06-26","Foreign","RoW",7887806.29000004,76289
"2019-06-26","Foreign","USA",3029533.15,32563
"2019-06-27","Domestic","CHE",152494481.82,2960565
"2019-06-27","Foreign","AUT",348703.61,4216
"2019-06-27","Foreign","CHN",4563508.8,7058
"2019-06-27","Foreign","DEU",2312926.79,31143
"2019-06-27","Foreign","FRA",2119145.94,43572
"2019-06-27","Foreign","GBR",2399649.77,25444
"2019-06-27","Foreign","ITA",923062.720000001,15503
"2019-06-27","Foreign","LIE",291640.29,4180
"2019-06-27","Foreign","NLD",462890.61,7640
"2019-06-27","Foreign","RUS",583348.1,4911
"2019-06-27","Foreign","RoW",8818626.52000003,78158
"2019-06-27","Foreign","USA",2971428.34,32608
"2019-06-28","Domestic","CHE",182548112.61,3229886
"2019-06-28","Foreign","AUT",343073.88,3879
"2019-06-28","Foreign","CHN",4184786.67,7137
"2019-06-28","Foreign","DEU",2487629.85,32369
"2019-06-28","Foreign","FRA",2176981.75,45147
"2019-06-28","Foreign","GBR",2403241.46,26051
"2019-06-28","Foreign","ITA",1026954.61,16271
"2019-06-28","Foreign","LIE",391774.41,5163
"2019-06-28","Foreign","NLD",491890.34,7820
"2019-06-28","Foreign","RUS",768510.21,5275
"2019-06-28","Foreign","RoW",9025818.08000004,80431
"2019-06-28","Foreign","USA",3250673.87,33763
"2019-06-29","Domestic","CHE",202846717.52,3199534
"2019-06-29","Foreign","AUT",273168.7,3560
"2019-06-29","Foreign","CHN",4948241.89,7318
"2019-06-29","Foreign","DEU",2289286.92000001,32686
"2019-06-29","Foreign","FRA",1826129.79,35283
"2019-06-29","Foreign","GBR",1918321.51,23694
"2019-06-29","Foreign","ITA",1099138.17,17883
"2019-06-29","Foreign","LIE",446228.85,5472
"2019-06-29","Foreign","NLD",466774.5,8047
"2019-06-29","Foreign","RUS",539829.47,5063
"2019-06-29","Foreign","RoW",8147724.29000001,78181
"2019-06-29","Foreign","USA",2935164.37,33757
"2019-06-30","Domestic","CHE",46417885.3699999,1088909
"2019-06-30","Foreign","AUT",196484.48,2873
"2019-06-30","Foreign","CHN",4099207.61,5841
"2019-06-30","Foreign","DEU",1724121.98,25058
"2019-06-30","Foreign","FRA",1113136.31,24622
"2019-06-30","Foreign","GBR",1697068.77,18939
"2019-06-30","Foreign","ITA",953410.600000001,16697
"2019-06-30","Foreign","LIE",77338.85,1362
"2019-06-30","Foreign","NLD",331125.25,5719
"2019-06-30","Foreign","RUS",347317.4,3879
"2019-06-30","Foreign","RoW",5275541.97000001,59622
"2019-06-30","Foreign","USA",2067114.37,27774
"2019-07-01","Domestic","CHE",137251586.08,2755536
"2019-07-01","Foreign","AUT",261296.52,3961
"2019-07-01","Foreign","CHN",4973923.44,7197
"2019-07-01","Foreign","DEU",1961420.42,29593
"2019-07-01","Foreign","FRA",1939329.81,41565
"2019-07-01","Foreign","GBR",2145196.44,25410
"2019-07-01","Foreign","ITA",977941.3,14964
"2019-07-01","Foreign","LIE",262936,3962
"2019-07-01","Foreign","NLD",536460.08,7276
"2019-07-01","Foreign","RUS",522591.39,4707
"2019-07-01","Foreign","RoW",8615417.60000007,78470
"2019-07-01","Foreign","USA",3036389.54,34679
"2019-07-02","Domestic","CHE",135297120.61,2695976
"2019-07-02","Foreign","AUT",274031.12,4047
"2019-07-02","Foreign","CHN",5166109.46,6971
"2019-07-02","Foreign","DEU",2006659.3,28831
"2019-07-02","Foreign","FRA",1877151.32,40722
"2019-07-02","Foreign","GBR",2210233.98,24179
"2019-07-02","Foreign","ITA",935683.42,14641
"2019-07-02","Foreign","LIE",255986.61,3823
"2019-07-02","Foreign","NLD",443846.17,6793
"2019-07-02","Foreign","RUS",626326.59,4378
"2019-07-02","Foreign","RoW",8260530.05000005,76315
"2019-07-02","Foreign","USA",3043378.41,33034
"2019-07-03","Domestic","CHE",140039918.54,2758222
"2019-07-03","Foreign","AUT",255082.21,4069
"2019-07-03","Foreign","CHN",5457533.02,7343
"2019-07-03","Foreign","DEU",2195978.44,30353
"2019-07-03","Foreign","FRA",2049540.35,42011
"2019-07-03","Foreign","GBR",2021310.4,24216
"2019-07-03","Foreign","ITA",978777.3,14740
"2019-07-03","Foreign","LIE",295454.79,4143
"2019-07-03","Foreign","NLD",434904.25,6677
"2019-07-03","Foreign","RUS",681439.050000001,4685
"2019-07-03","Foreign","RoW",8644348.14000003,77250
"2019-07-03","Foreign","USA",3023552.29,32387
"2019-07-04","Domestic","CHE",140321635.47,2790951
"2019-07-04","Foreign","AUT",331613.02,4137
"2019-07-04","Foreign","CHN",6033275.05,7369
"2019-07-04","Foreign","DEU",2237707.3,30820
"2019-07-04","Foreign","FRA",2139485.78,43750
"2019-07-04","Foreign","GBR",2199271.39,24857
"2019-07-04","Foreign","ITA",924920.16,15666
"2019-07-04","Foreign","LIE",268330.4,3807
"2019-07-04","Foreign","NLD",387577.19,6885
"2019-07-04","Foreign","RUS",654253.34,4605
"2019-07-04","Foreign","RoW",9056698.52000005,79796
"2019-07-04","Foreign","USA",2934582.34,33925
"2019-07-05","Domestic","CHE",161685844.08,3043450
"2019-07-05","Foreign","AUT",324786.92,4446
"2019-07-05","Foreign","CHN",6327253.46,7778
"2019-07-05","Foreign","DEU",2565203.06,33046
"2019-07-05","Foreign","FRA",2121876.22,45965
"2019-07-05","Foreign","GBR",2366378.06,26222
"2019-07-05","Foreign","ITA",1147305.04,16468
"2019-07-05","Foreign","LIE",347017.35,4540
"2019-07-05","Foreign","NLD",507622.320000001,7876
"2019-07-05","Foreign","RUS",549890.430000001,4430
"2019-07-05","Foreign","RoW",9003992.82000007,80802
"2019-07-05","Foreign","USA",3314802.61,34476
"2019-07-06","Domestic","CHE",186289078.05,2985846
"2019-07-06","Foreign","AUT",270884.09,4133
"2019-07-06","Foreign","CHN",5453749.69,7999
"2019-07-06","Foreign","DEU",2258228.75,34232
"2019-07-06","Foreign","FRA",1852829.22,35220
"2019-07-06","Foreign","GBR",1755298.06,22994
"2019-07-06","Foreign","ITA",1294882.58,19816
"2019-07-06","Foreign","LIE",431223.43,5231
"2019-07-06","Foreign","NLD",497130.18,8900
"2019-07-06","Foreign","RUS",466110.89,4720
"2019-07-06","Foreign","RoW",7711897.91000006,78970
"2019-07-06","Foreign","USA",2702670.45,32575
"2019-07-07","Domestic","CHE",42996179.61,979221
"2019-07-07","Foreign","AUT",223265.46,3227
"2019-07-07","Foreign","CHN",4246527.13,6209
"2019-07-07","Foreign","DEU",1816470.99,25437
"2019-07-07","Foreign","FRA",1110239.41,24094
"2019-07-07","Foreign","GBR",1601972.5,18563
"2019-07-07","Foreign","ITA",1073100.52,16401
"2019-07-07","Foreign","LIE",68227.89,1241
"2019-07-07","Foreign","NLD",396966.310000001,6519
"2019-07-07","Foreign","RUS",364094.69,3685
"2019-07-07","Foreign","RoW",5562520.75,61071
"2019-07-07","Foreign","USA",2076229.74,25451
"2019-07-08","Domestic","CHE",128240013.84,2562044
"2019-07-08","Foreign","AUT",322106.21,4594
"2019-07-08","Foreign","CHN",5103089.96,7637
"2019-07-08","Foreign","DEU",2251860.09,31660
"2019-07-08","Foreign","FRA",1927478.79,42546
"2019-07-08","Foreign","GBR",2143206.7,25660
"2019-07-08","Foreign","ITA",1010174.38,15196
"2019-07-08","Foreign","LIE",239251.47,3666
"2019-07-08","Foreign","NLD",474855.900000001,8152
"2019-07-08","Foreign","RUS",661739.48,5014
"2019-07-08","Foreign","RoW",9119467.39000011,85108
"2019-07-08","Foreign","USA",3220155.78,32712
"2019-07-09","Domestic","CHE",126569018.5,2514731
"2019-07-09","Foreign","AUT",291487.11,4304
"2019-07-09","Foreign","CHN",5996889.68,8153
"2019-07-09","Foreign","DEU",2087658.37,31106
"2019-07-09","Foreign","FRA",2003566.52,42652
"2019-07-09","Foreign","GBR",2047611.98,24642
"2019-07-09","Foreign","ITA",892188.04,14743
"2019-07-09","Foreign","LIE",248827.01,3433
"2019-07-09","Foreign","NLD",413238.42,7954
"2019-07-09","Foreign","RUS",548515.28,4528
"2019-07-09","Foreign","RoW",8542846.12000005,81452
"2019-07-09","Foreign","USA",2764174.65,31407
"2019-07-10","Domestic","CHE",129234446.98,2572397
"2019-07-10","Foreign","AUT",386439.280000001,4703
"2019-07-10","Foreign","CHN",6953003.11,8744
"2019-07-10","Foreign","DEU",2365206.66,32581
"2019-07-10","Foreign","FRA",2033364.08,43254
"2019-07-10","Foreign","GBR",2164437.93,25051
"2019-07-10","Foreign","ITA",943749.9,15776
"2019-07-10","Foreign","LIE",232994.18,3474
"2019-07-10","Foreign","NLD",519809.1,7894
"2019-07-10","Foreign","RUS",559794.27,4958
"2019-07-10","Foreign","RoW",8462977.32000002,83391
"2019-07-10","Foreign","USA",2774786.59,30169
"2019-07-11","Domestic","CHE",132754053.67,2572469
"2019-07-11","Foreign","AUT",386038.1,4957
"2019-07-11","Foreign","CHN",6982723.91,8873
"2019-07-11","Foreign","DEU",2446683.82999999,33490
"2019-07-11","Foreign","FRA",2038938.37,44401
"2019-07-11","Foreign","GBR",2314434.12,25270
"2019-07-11","Foreign","ITA",1040184.37,15835
"2019-07-11","Foreign","LIE",241190.66,3417
"2019-07-11","Foreign","NLD",496428.89,8706
"2019-07-11","Foreign","RUS",675316.23,5067
"2019-07-11","Foreign","RoW",8993192.63000005,86302
"2019-07-11","Foreign","USA",2606231.3,30253
"2019-07-12","Domestic","CHE",152527653.4,2759136
"2019-07-12","Foreign","AUT",371477.46,4732
"2019-07-12","Foreign","CHN",6154045.15,8799
"2019-07-12","Foreign","DEU",2546232.36,34415
"2019-07-12","Foreign","FRA",2141115.98,45531
"2019-07-12","Foreign","GBR",2305850.5,25424
"2019-07-12","Foreign","ITA",981847.040000001,16118
"2019-07-12","Foreign","LIE",323802.27,4102
"2019-07-12","Foreign","NLD",563358.69,9821
"2019-07-12","Foreign","RUS",724953.55,4876
"2019-07-12","Foreign","RoW",9733889.90000004,87157
"2019-07-12","Foreign","USA",2918739.82,32676
"2019-07-13","Domestic","CHE",179104383.66,2820999
"2019-07-13","Foreign","AUT",343574.57,5014
"2019-07-13","Foreign","CHN",5309992.63,8208
"2019-07-13","Foreign","DEU",2549133.26,37675
"2019-07-13","Foreign","FRA",1976033.8,36782
"2019-07-13","Foreign","GBR",1878004.06,22881
"2019-07-13","Foreign","ITA",1238305.94,20203
"2019-07-13","Foreign","LIE",434939.04,5119
"2019-07-13","Foreign","NLD",607882.529999999,11351
"2019-07-13","Foreign","RUS",662206.79,4995
"2019-07-13","Foreign","RoW",8010668.84000001,86373
"2019-07-13","Foreign","USA",2558698.81,32395
"2019-07-14","Domestic","CHE",41160402.7,938558
"2019-07-14","Foreign","AUT",227708.06,3425
"2019-07-14","Foreign","CHN",4167089.27,6637
"2019-07-14","Foreign","DEU",1855634.82,26817
"2019-07-14","Foreign","FRA",1155043.09,24466
"2019-07-14","Foreign","GBR",1649888.93,18338
"2019-07-14","Foreign","ITA",1051514.05,16860
"2019-07-14","Foreign","LIE",59583.08,1205
"2019-07-14","Foreign","NLD",465650.09,8652
"2019-07-14","Foreign","RUS",356323.56,3744
"2019-07-14","Foreign","RoW",5471302.31000002,65217
"2019-07-14","Foreign","USA",1792088.34,24097
"2019-07-15","Domestic","CHE",122187919.41,2403363
"2019-07-15","Foreign","AUT",295886.69,4272
"2019-07-15","Foreign","CHN",6206509.37,8761
"2019-07-15","Foreign","DEU",2168182.75,32969
"2019-07-15","Foreign","FRA",2009788.75,43841
"2019-07-15","Foreign","GBR",2132499.21,24505
"2019-07-15","Foreign","ITA",903818.8,14765
"2019-07-15","Foreign","LIE",235138.69,3520
"2019-07-15","Foreign","NLD",641907.180000002,12409
"2019-07-15","Foreign","RUS",526884.25,4785
"2019-07-15","Foreign","RoW",9215910.77000004,89724
"2019-07-15","Foreign","USA",2763973.85,30906
"2019-07-16","Domestic","CHE",115980468.170001,2331673
"2019-07-16","Foreign","AUT",270970.29,3947
"2019-07-16","Foreign","CHN",5016414.14,7850
"2019-07-16","Foreign","DEU",1985875.5,31056
"2019-07-16","Foreign","FRA",1876425.01,42146
"2019-07-16","Foreign","GBR",2132684.66,23922
"2019-07-16","Foreign","ITA",862067.960000001,14551
"2019-07-16","Foreign","LIE",215145.52,3115
"2019-07-16","Foreign","NLD",546065.68,10178
"2019-07-16","Foreign","RUS",459116.76,4408
"2019-07-16","Foreign","RoW",8837448.42000001,83919
"2019-07-16","Foreign","USA",2567588.32,28502
"2019-07-17","Domestic","CHE",119121842.21,2378735
"2019-07-17","Foreign","AUT",284150.96,4209
"2019-07-17","Foreign","CHN",5100087.49,8261
"2019-07-17","Foreign","DEU",2151133.34,32141
"2019-07-17","Foreign","FRA",1950305.15,42765
"2019-07-17","Foreign","GBR",2030035.63,24537
"2019-07-17","Foreign","ITA",919859.180000002,14831
"2019-07-17","Foreign","LIE",236238.92,3368
"2019-07-17","Foreign","NLD",610856.469999999,10891
"2019-07-17","Foreign","RUS",466465.05,4729
"2019-07-17","Foreign","RoW",8724124.31000003,85578
"2019-07-17","Foreign","USA",2644591.25,28606
"2019-07-18","Domestic","CHE",124936471.01,2436596
"2019-07-18","Foreign","AUT",278067.04,4191
"2019-07-18","Foreign","CHN",5841867.74,8498
"2019-07-18","Foreign","DEU",2306736.71,32912
"2019-07-18","Foreign","FRA",2037607.74,44074
"2019-07-18","Foreign","GBR",2114296.39,24966
"2019-07-18","Foreign","ITA",1000715.65,15209
"2019-07-18","Foreign","LIE",244904.87,3456
"2019-07-18","Foreign","NLD",655745.519999999,11835
"2019-07-18","Foreign","RUS",1111915.52,4747
"2019-07-18","Foreign","RoW",10061374.77,86590
"2019-07-18","Foreign","USA",2510789.5,28388
"2019-07-19","Domestic","CHE",145258517.83,2649673
"2019-07-19","Foreign","AUT",282645.56,4203
"2019-07-19","Foreign","CHN",6004630.36,8904
"2019-07-19","Foreign","DEU",2539371.95,35120
"2019-07-19","Foreign","FRA",2158749.15,45890
"2019-07-19","Foreign","GBR",2296713.77,26483
"2019-07-19","Foreign","ITA",992527.740000001,15728
