"Date","Agglomeration type","Merchant category","Amount CHF","Number of transactions"
"2019-01-02","Principle core: city","Retail: Food, beverage, tobacco",9959056.1,292158
"2019-01-02","Principle core: city","Retail: Fuel stations",2224887.9,51534
"2019-01-02","Principle core: city","Retail: Other goods",20091607.23,171407
"2019-01-02","Principle core: city","Transport services",727745.049999999,25485
"2019-01-02","Principle core: other","Accommodation",507336.86,2217
"2019-01-02","Principle core: other","Food and beverage services",1363426.83,42681
"2019-01-02","Principle core: other","Other",1578986.44,13662
"2019-01-02","Principle core: other","Retail: Food, beverage, tobacco",5952868.13,133589
"2019-01-02","Principle core: other","Retail: Fuel stations",2273086.59,50903
"2019-01-02","Principle core: other","Retail: Other goods",10565187.55,94314
"2019-01-02","Principle core: other","Transport services",564758.97,15215
"2019-01-02","Secondary core","Accommodation",101398.4,530
"2019-01-02","Secondary core","Food and beverage services",407156.19,11006
"2019-01-02","Secondary core","Other",565460.36,6560
"2019-01-02","Secondary core","Retail: Food, beverage, tobacco",2003053.17,44233
"2019-01-02","Secondary core","Retail: Fuel stations",821927.64,17871
"2019-01-02","Secondary core","Retail: Other goods",4354865.35,36983
"2019-01-02","Secondary core","Transport services",18514.5,1183
"2019-01-03","9999","Accommodation",600.6,4
"2019-01-03","9999","Food and beverage services",3749.05,333
"2019-01-03","9999","Retail: Fuel stations",20523.6,452
"2019-01-03","9999","Retail: Other goods",6907.55,80
"2019-01-03","Commuting zone","Accommodation",288621.78,1432
"2019-01-03","Commuting zone","Food and beverage services",470536.72,8558
"2019-01-03","Commuting zone","Other",836467.78,5574
"2019-01-03","Commuting zone","Retail: Food, beverage, tobacco",3674760.3,70891
"2019-01-03","Commuting zone","Retail: Fuel stations",1481489.84,28737
"2019-01-03","Commuting zone","Retail: Other goods",3324383.44,34427
"2019-01-03","Commuting zone","Transport services",348835.79,4364
"2019-01-03","Municipality: core","Accommodation",2170566.44,4551
"2019-01-03","Municipality: core","Food and beverage services",980758.420000001,15075
"2019-01-03","Municipality: core","Other",620260.24,4115
"2019-01-03","Municipality: core","Retail: Food, beverage, tobacco",3217443.84,64182
"2019-01-03","Municipality: core","Retail: Fuel stations",651417.55,12716
"2019-01-03","Municipality: core","Retail: Other goods",4496174.75,36555
"2019-01-03","Municipality: core","Transport services",583551.45,5722
"2019-01-03","Municipality: multiorientated","Accommodation",124366.64,542
"2019-01-03","Municipality: multiorientated","Food and beverage services",251012.1,4096
"2019-01-03","Municipality: multiorientated","Other",409646.31,3778
"2019-01-03","Municipality: multiorientated","Retail: Food, beverage, tobacco",2028365.32,35073
"2019-01-03","Municipality: multiorientated","Retail: Fuel stations",845586.69,15869
"2019-01-03","Municipality: multiorientated","Retail: Other goods",3171244.55,28408
"2019-01-03","Municipality: multiorientated","Transport services",35715.05,760
"2019-01-03","Municipality: rural","Accommodation",5274034.48,17953
"2019-01-03","Municipality: rural","Food and beverage services",1947120.24,28689
"2019-01-03","Municipality: rural","Other",1193908.07,8672
"2019-01-03","Municipality: rural","Retail: Food, beverage, tobacco",4958289.81,94861
"2019-01-03","Municipality: rural","Retail: Fuel stations",1746896.34,31177
"2019-01-03","Municipality: rural","Retail: Other goods",6582359.77,56236
"2019-01-03","Municipality: rural","Transport services",3609950.5,39278
"2019-01-03","Principle core: city","Accommodation",2390080.6,16522
"2019-01-03","Principle core: city","Food and beverage services",4688915.31,129849
"2019-01-03","Principle core: city","Other",5374162.92,42241
"2019-01-03","Principle core: city","Retail: Food, beverage, tobacco",16032375.79,474264
"2019-01-03","Principle core: city","Retail: Fuel stations",2296563.36,50084
"2019-01-03","Principle core: city","Retail: Other goods",31991801.96,288588
"2019-01-03","Principle core: city","Transport services",956485.51,33488
"2019-01-03","Principle core: other","Accommodation",462554.18,5145
"2019-01-03","Principle core: other","Food and beverage services",1533594.63,51184
"2019-01-03","Principle core: other","Other",2895410.61,19452
"2019-01-03","Principle core: other","Retail: Food, beverage, tobacco",10706685.53,222678
"2019-01-03","Principle core: other","Retail: Fuel stations",2363337.5,50722
"2019-01-03","Principle core: other","Retail: Other goods",14437455.12,132377
"2019-01-03","Principle core: other","Transport services",490275.44,15608
"2019-01-03","Secondary core","Accommodation",104742.7,647
"2019-01-03","Secondary core","Food and beverage services",431219.46,11992
"2019-01-03","Secondary core","Other",993336.25,8319
"2019-01-03","Secondary core","Retail: Food, beverage, tobacco",3428424.66,69486
"2019-01-03","Secondary core","Retail: Fuel stations",859749.19,17569
"2019-01-03","Secondary core","Retail: Other goods",5088720.38,49212
"2019-01-03","Secondary core","Transport services",20190.3,1391
"2019-01-04","9999","Accommodation",1423.3,8
"2019-01-04","9999","Food and beverage services",4442.05,334
"2019-01-04","9999","Retail: Fuel stations",24214.51,509
"2019-01-04","9999","Retail: Other goods",11167.55,77
"2019-01-04","Commuting zone","Accommodation",340395.47,1629
"2019-01-04","Commuting zone","Food and beverage services",664135.3,10357
"2019-01-04","Commuting zone","Other",868672.88,5819
"2019-01-04","Commuting zone","Retail: Food, beverage, tobacco",4346808.53,76809
"2019-01-04","Commuting zone","Retail: Fuel stations",1623291.52,31099
"2019-01-04","Commuting zone","Retail: Other goods",3349832.84,35859
"2019-01-04","Commuting zone","Transport services",275180.14,3699
"2019-01-04","Municipality: core","Accommodation",2336318.55,4514
"2019-01-04","Municipality: core","Food and beverage services",1029910.97,15109
"2019-01-04","Municipality: core","Other",773223.32,4632
"2019-01-04","Municipality: core","Retail: Food, beverage, tobacco",3970692.53,70579
"2019-01-04","Municipality: core","Retail: Fuel stations",714019.74,13955
"2019-01-04","Municipality: core","Retail: Other goods",4911430.31,39078
"2019-01-04","Municipality: core","Transport services",316301.29,4054
"2019-01-04","Municipality: multiorientated","Accommodation",160349.22,691
"2019-01-04","Municipality: multiorientated","Food and beverage services",310708.48,4668
"2019-01-04","Municipality: multiorientated","Other",438977.65,3956
"2019-01-04","Municipality: multiorientated","Retail: Food, beverage, tobacco",2308554.7,37754
"2019-01-04","Municipality: multiorientated","Retail: Fuel stations",884935.65,16772
"2019-01-04","Municipality: multiorientated","Retail: Other goods",2956119.46,28428
"2019-01-04","Municipality: multiorientated","Transport services",26173.6,627
"2019-01-04","Municipality: rural","Accommodation",6307608.74,17837
"2019-01-04","Municipality: rural","Food and beverage services",1947119.53,27233
"2019-01-04","Municipality: rural","Other",1237591.32,9111
"2019-01-04","Municipality: rural","Retail: Food, beverage, tobacco",5555562.46,98599
"2019-01-04","Municipality: rural","Retail: Fuel stations",1890980.85,33402
"2019-01-04","Municipality: rural","Retail: Other goods",6919439.91,55836
"2019-01-04","Municipality: rural","Transport services",2283999.34,28583
"2019-01-04","Principle core: city","Accommodation",2466510.28,17493
"2019-01-04","Principle core: city","Food and beverage services",5890728.48,150326
"2019-01-04","Principle core: city","Other",5818342.66,48081
"2019-01-04","Principle core: city","Retail: Food, beverage, tobacco",18152908.98,497036
"2019-01-04","Principle core: city","Retail: Fuel stations",2498389.2,54224
"2019-01-04","Principle core: city","Retail: Other goods",31678848.67,291774
"2019-01-04","Principle core: city","Transport services",811111.63,34940
"2019-01-04","Principle core: other","Accommodation",492874.65,5195
"2019-01-04","Principle core: other","Food and beverage services",1853129.27,56400
"2019-01-04","Principle core: other","Other",3168857.13,21437
"2019-01-04","Principle core: other","Retail: Food, beverage, tobacco",13187880.16,247228
"2019-01-04","Principle core: other","Retail: Fuel stations",2599433.3,54770
"2019-01-04","Principle core: other","Retail: Other goods",14882804.23,140205
"2019-01-04","Principle core: other","Transport services",479527.22,16849
"2019-01-04","Secondary core","Accommodation",116863.36,767
"2019-01-04","Secondary core","Food and beverage services",540108.44,13787
"2019-01-04","Secondary core","Other",1110798.08,9304
"2019-01-04","Secondary core","Retail: Food, beverage, tobacco",4337519.83,79129
"2019-01-04","Secondary core","Retail: Fuel stations",939814.43,19005
"2019-01-04","Secondary core","Retail: Other goods",5470097.56,53168
"2019-01-04","Secondary core","Transport services",20960.1,1508
"2019-01-05","9999","Accommodation",1257.8,4
"2019-01-05","9999","Food and beverage services",11391.05,242
"2019-01-05","9999","Retail: Fuel stations",23999.74,502
"2019-01-05","9999","Retail: Other goods",4343.9,63
"2019-01-05","Commuting zone","Accommodation",362853.14,1383
"2019-01-05","Commuting zone","Food and beverage services",656655.81,9484
"2019-01-05","Commuting zone","Other",481915.82,3883
"2019-01-05","Commuting zone","Retail: Food, beverage, tobacco",5535385.91,91258
"2019-01-05","Commuting zone","Retail: Fuel stations",1491338.82,28787
"2019-01-05","Commuting zone","Retail: Other goods",3621698.88,39954
"2019-01-05","Commuting zone","Transport services",258864.29,2446
"2019-01-05","Municipality: core","Accommodation",2413275.21,4049
"2019-01-05","Municipality: core","Food and beverage services",889891.68,12248
"2019-01-05","Municipality: core","Other",511128.24,3293
"2019-01-05","Municipality: core","Retail: Food, beverage, tobacco",4429600.2,75803
"2019-01-05","Municipality: core","Retail: Fuel stations",622832.15,12393
"2019-01-05","Municipality: core","Retail: Other goods",4928542.97,39415
"2019-01-05","Municipality: core","Transport services",139061.35,1918
"2019-01-05","Municipality: multiorientated","Accommodation",186720.7,637
"2019-01-05","Municipality: multiorientated","Food and beverage services",338722.75,4564
"2019-01-05","Municipality: multiorientated","Other",287363.6,3186
"2019-01-05","Municipality: multiorientated","Retail: Food, beverage, tobacco",2926942.43,45289
"2019-01-05","Municipality: multiorientated","Retail: Fuel stations",795509.65,15145
"2019-01-05","Municipality: multiorientated","Retail: Other goods",3098105.65,29939
"2019-01-05","Municipality: multiorientated","Transport services",18330.2,319
"2019-01-05","Municipality: rural","Accommodation",6127245.44,14078
"2019-01-05","Municipality: rural","Food and beverage services",1511766.92,19226
"2019-01-05","Municipality: rural","Other",872676.49,6600
"2019-01-05","Municipality: rural","Retail: Food, beverage, tobacco",6290387.94,106046
"2019-01-05","Municipality: rural","Retail: Fuel stations",1720821.46,30812
"2019-01-05","Municipality: rural","Retail: Other goods",5906305.74,50320
"2019-01-05","Municipality: rural","Transport services",1356237.96,15117
"2019-01-05","Principle core: city","Accommodation",2103969.69,11636
"2019-01-05","Principle core: city","Food and beverage services",5971511.22,130301
"2019-01-05","Principle core: city","Other",4216128.91,38826
"2019-01-05","Principle core: city","Retail: Food, beverage, tobacco",22627975.14,515625
"2019-01-05","Principle core: city","Retail: Fuel stations",2278828.02,50619
"2019-01-05","Principle core: city","Retail: Other goods",34472742.51,312702
"2019-01-05","Principle core: city","Transport services",641287.81,32705
"2019-01-05","Principle core: other","Accommodation",417090,2459
"2019-01-05","Principle core: other","Food and beverage services",1913100.89,52079
"2019-01-05","Principle core: other","Other",2161674.77,17486
"2019-01-05","Principle core: other","Retail: Food, beverage, tobacco",16974416.72,287352
"2019-01-05","Principle core: other","Retail: Fuel stations",2395100.81,50872
"2019-01-05","Principle core: other","Retail: Other goods",16725430.96,157215
"2019-01-05","Principle core: other","Transport services",412944.57,15389
"2019-01-05","Secondary core","Accommodation",123274.45,600
"2019-01-05","Secondary core","Food and beverage services",534089.74,13216
"2019-01-05","Secondary core","Other",757335.94,7507
"2019-01-05","Secondary core","Retail: Food, beverage, tobacco",5703128.19,96194
"2019-01-05","Secondary core","Retail: Fuel stations",828189.38,17150
"2019-01-05","Secondary core","Retail: Other goods",6554744.73,62453
"2019-01-05","Secondary core","Transport services",16462.8,1536
"2019-01-06","9999","Food and beverage services",950.85,54
"2019-01-06","9999","Retail: Fuel stations",24960.65,617
"2019-01-06","9999","Retail: Other goods",2095.9,18
"2019-01-06","Commuting zone","Accommodation",321018.9,1127
"2019-01-06","Commuting zone","Food and beverage services",438986.57,6642
"2019-01-06","Commuting zone","Other",181704.19,2062
"2019-01-06","Commuting zone","Retail: Food, beverage, tobacco",324743,10437
"2019-01-06","Commuting zone","Retail: Fuel stations",1353650.91,28336
"2019-01-06","Commuting zone","Retail: Other goods",97575.2,1644
"2019-01-06","Commuting zone","Transport services",248140.58,1919
"2019-01-06","Municipality: core","Accommodation",1917361.34,3054
"2019-01-06","Municipality: core","Food and beverage services",536617.58,7990
"2019-01-06","Municipality: core","Other",147756.59,1107
"2019-01-06","Municipality: core","Retail: Food, beverage, tobacco",377882.37,15647
