"Date","Agglomeration type","Merchant category","Amount CHF","Number of transactions"
"2019-04-19","Secondary core","Accommodation",202536.93,1455
"2019-04-19","Secondary core","Food and beverage services",510836.29,10489
"2019-04-19","Secondary core","Other",273383.23,3240
"2019-04-19","Secondary core","Retail: Food, beverage, tobacco",678647.32,17499
"2019-04-19","Secondary core","Retail: Fuel stations",1097482.04,28505
"2019-04-19","Secondary core","Retail: Other goods",744503.63,7219
"2019-04-19","Secondary core","Transport services",7987.85,586
"2019-04-20","9999","Food and beverage services",4884.8,224
"2019-04-20","9999","Retail: Food, beverage, tobacco",360.05,14
"2019-04-20","9999","Retail: Fuel stations",22787.63,576
"2019-04-20","9999","Retail: Other goods",3647.55,60
"2019-04-20","Commuting zone","Accommodation",467837.69,2826
"2019-04-20","Commuting zone","Food and beverage services",836832.180000001,10967
"2019-04-20","Commuting zone","Other",524820.31,4966
"2019-04-20","Commuting zone","Retail: Food, beverage, tobacco",8053133.66,123740
"2019-04-20","Commuting zone","Retail: Fuel stations",1734077.86,37425
"2019-04-20","Commuting zone","Retail: Other goods",5427749.16,63325
"2019-04-20","Commuting zone","Transport services",119871,2444
"2019-04-20","Municipality: core","Accommodation",691205.93,3257
"2019-04-20","Municipality: core","Food and beverage services",567328.16,10192
"2019-04-20","Municipality: core","Other",480298.19,3196
"2019-04-20","Municipality: core","Retail: Food, beverage, tobacco",6430531.33,100981
"2019-04-20","Municipality: core","Retail: Fuel stations",729156.23,15689
"2019-04-20","Municipality: core","Retail: Other goods",4982878.74,50553
"2019-04-20","Municipality: core","Transport services",244134.15,1827
"2019-04-20","Municipality: multiorientated","Accommodation",240156.29,1386
"2019-04-20","Municipality: multiorientated","Food and beverage services",436777.3,6244
"2019-04-20","Municipality: multiorientated","Other",319392.06,3339
"2019-04-20","Municipality: multiorientated","Retail: Food, beverage, tobacco",4337796.87,62276
"2019-04-20","Municipality: multiorientated","Retail: Fuel stations",996904.33,20909
"2019-04-20","Municipality: multiorientated","Retail: Other goods",4229627.15,43109
"2019-04-20","Municipality: multiorientated","Transport services",17763.6,412
"2019-04-20","Municipality: rural","Accommodation",1624048.64,9914
"2019-04-20","Municipality: rural","Food and beverage services",1371848.41,19085
"2019-04-20","Municipality: rural","Other",759926.12,6579
"2019-04-20","Municipality: rural","Retail: Food, beverage, tobacco",9093965.13,142869
"2019-04-20","Municipality: rural","Retail: Fuel stations",1961844.95,40016
"2019-04-20","Municipality: rural","Retail: Other goods",6480277.63,68909
"2019-04-20","Municipality: rural","Transport services",1578345.67,12548
"2019-04-20","Principle core: city","Accommodation",2691765.03,14900
"2019-04-20","Principle core: city","Food and beverage services",6020386.28,139234
"2019-04-20","Principle core: city","Other",3680550,34640
"2019-04-20","Principle core: city","Retail: Food, beverage, tobacco",28992413.15,618942
"2019-04-20","Principle core: city","Retail: Fuel stations",2668429.67,65474
"2019-04-20","Principle core: city","Retail: Other goods",40640475.4499999,337344
"2019-04-20","Principle core: city","Transport services",558872.57,36199
"2019-04-20","Principle core: other","Accommodation",659672.16,3953
"2019-04-20","Principle core: other","Food and beverage services",1860500.87,46787
"2019-04-20","Principle core: other","Other",1952484.03,15645
"2019-04-20","Principle core: other","Retail: Food, beverage, tobacco",22655669.77,353469
"2019-04-20","Principle core: other","Retail: Fuel stations",2758761.98,63998
"2019-04-20","Principle core: other","Retail: Other goods",18993399.33,186072
"2019-04-20","Principle core: other","Transport services",340294.49,16325
"2019-04-20","Secondary core","Accommodation",168212.17,1205
"2019-04-20","Secondary core","Food and beverage services",503337.63,11480
"2019-04-20","Secondary core","Other",680110.37,5759
"2019-04-20","Secondary core","Retail: Food, beverage, tobacco",7565553.86,119147
"2019-04-20","Secondary core","Retail: Fuel stations",964465.7,21948
"2019-04-20","Secondary core","Retail: Other goods",7282215.6,72893
"2019-04-20","Secondary core","Transport services",8930.5,1451
"2019-04-21","9999","Food and beverage services",4784.9,84
"2019-04-21","9999","Retail: Fuel stations",23088.11,655
"2019-04-21","9999","Retail: Other goods",3376.1,11
"2019-04-21","Commuting zone","Accommodation",570517.69,3053
"2019-04-21","Commuting zone","Food and beverage services",966470.27,9866
"2019-04-21","Commuting zone","Other",150267.6,2180
"2019-04-21","Commuting zone","Retail: Food, beverage, tobacco",370171.15,11849
"2019-04-21","Commuting zone","Retail: Fuel stations",1412654.1,33759
"2019-04-21","Commuting zone","Retail: Other goods",189802.24,3019
"2019-04-21","Commuting zone","Transport services",86903.17,1618
"2019-04-21","Municipality: core","Accommodation",818717.82,3109
"2019-04-21","Municipality: core","Food and beverage services",488335.59,7497
"2019-04-21","Municipality: core","Other",101999.94,1251
"2019-04-21","Municipality: core","Retail: Food, beverage, tobacco",352391.3,19169
"2019-04-21","Municipality: core","Retail: Fuel stations",590575.6,14456
"2019-04-21","Municipality: core","Retail: Other goods",437666.02,4080
"2019-04-21","Municipality: core","Transport services",246085.45,1595
"2019-04-21","Municipality: multiorientated","Accommodation",360741.88,1568
"2019-04-21","Municipality: multiorientated","Food and beverage services",524083.43,5735
"2019-04-21","Municipality: multiorientated","Other",127589.5,2005
"2019-04-21","Municipality: multiorientated","Retail: Food, beverage, tobacco",145184.15,3986
"2019-04-21","Municipality: multiorientated","Retail: Fuel stations",805836.140000001,18367
"2019-04-21","Municipality: multiorientated","Retail: Other goods",43188.2,738
"2019-04-21","Municipality: multiorientated","Transport services",16626.5,363
"2019-04-21","Municipality: rural","Accommodation",2024062.43,9956
"2019-04-21","Municipality: rural","Food and beverage services",1314404.92,16026
"2019-04-21","Municipality: rural","Other",342554.31,3974
"2019-04-21","Municipality: rural","Retail: Food, beverage, tobacco",539117.26,16556
"2019-04-21","Municipality: rural","Retail: Fuel stations",1631696.36,35669
"2019-04-21","Municipality: rural","Retail: Other goods",678473.08,6048
"2019-04-21","Municipality: rural","Transport services",1298884.8,9317
"2019-04-21","Principle core: city","Accommodation",2850584.71,13421
"2019-04-21","Principle core: city","Food and beverage services",4455469.89,95489
"2019-04-21","Principle core: city","Other",886694.23,14049
"2019-04-21","Principle core: city","Retail: Food, beverage, tobacco",2116888.52,113047
"2019-04-21","Principle core: city","Retail: Fuel stations",2226156.62,62314
"2019-04-21","Principle core: city","Retail: Other goods",2802152,16459
"2019-04-21","Principle core: city","Transport services",361485.31,18799
"2019-04-21","Principle core: other","Accommodation",723431.94,3572
"2019-04-21","Principle core: other","Food and beverage services",1646222.5,34653
"2019-04-21","Principle core: other","Other",458650.46,5717
"2019-04-21","Principle core: other","Retail: Food, beverage, tobacco",713342.11,29033
"2019-04-21","Principle core: other","Retail: Fuel stations",2298066.62,61770
"2019-04-21","Principle core: other","Retail: Other goods",1261829.63,15207
"2019-04-21","Principle core: other","Transport services",365651.49,12171
"2019-04-21","Secondary core","Accommodation",200922.99,1277
"2019-04-21","Secondary core","Food and beverage services",407161.66,7421
"2019-04-21","Secondary core","Other",148299.15,1906
"2019-04-21","Secondary core","Retail: Food, beverage, tobacco",230528.75,9809
"2019-04-21","Secondary core","Retail: Fuel stations",850039.43,22589
"2019-04-21","Secondary core","Retail: Other goods",42822,727
"2019-04-21","Secondary core","Transport services",5913.2,427
"2019-04-22","9999","Food and beverage services",3076.4,81
"2019-04-22","9999","Retail: Fuel stations",25838.87,791
"2019-04-22","9999","Retail: Other goods",1238,7
"2019-04-22","Commuting zone","Accommodation",526142.26,2569
"2019-04-22","Commuting zone","Food and beverage services",625518.42,9814
"2019-04-22","Commuting zone","Other",172361.75,2716
"2019-04-22","Commuting zone","Retail: Food, beverage, tobacco",649285.7,16605
"2019-04-22","Commuting zone","Retail: Fuel stations",1679867.74,40864
"2019-04-22","Commuting zone","Retail: Other goods",801084.38,8367
"2019-04-22","Commuting zone","Transport services",64828.72,1433
"2019-04-22","Municipality: core","Accommodation",925419.58,2561
"2019-04-22","Municipality: core","Food and beverage services",338726.62,6627
"2019-04-22","Municipality: core","Other",98584.24,1360
"2019-04-22","Municipality: core","Retail: Food, beverage, tobacco",412801.85,20372
"2019-04-22","Municipality: core","Retail: Fuel stations",687928.29,17296
"2019-04-22","Municipality: core","Retail: Other goods",899323.7,7702
"2019-04-22","Municipality: core","Transport services",276440.5,1236
"2019-04-22","Municipality: multiorientated","Accommodation",317776.01,1428
"2019-04-22","Municipality: multiorientated","Food and beverage services",350353.43,5491
"2019-04-22","Municipality: multiorientated","Other",133047.35,2150
"2019-04-22","Municipality: multiorientated","Retail: Food, beverage, tobacco",356004.38,8384
"2019-04-22","Municipality: multiorientated","Retail: Fuel stations",967789.42,22241
"2019-04-22","Municipality: multiorientated","Retail: Other goods",378885.4,3690
"2019-04-22","Municipality: multiorientated","Transport services",14138.9,405
"2019-04-22","Municipality: rural","Accommodation",2232753.34,8180
"2019-04-22","Municipality: rural","Food and beverage services",835883.759999999,13302
"2019-04-22","Municipality: rural","Other",352166.56,4260
"2019-04-22","Municipality: rural","Retail: Food, beverage, tobacco",1013312.66,26053
"2019-04-22","Municipality: rural","Retail: Fuel stations",1978673.66,42906
"2019-04-22","Municipality: rural","Retail: Other goods",1910798.04,16467
"2019-04-22","Municipality: rural","Transport services",1199536.11,6987
"2019-04-22","Principle core: city","Accommodation",3063479.36,12564
"2019-04-22","Principle core: city","Food and beverage services",3707558.76,95089
"2019-04-22","Principle core: city","Other",1058405.55,13987
"2019-04-22","Principle core: city","Retail: Food, beverage, tobacco",3494779.11,157946
"2019-04-22","Principle core: city","Retail: Fuel stations",2671380.42,75882
"2019-04-22","Principle core: city","Retail: Other goods",6719618.41,42410
"2019-04-22","Principle core: city","Transport services",353755.31,18647
"2019-04-22","Principle core: other","Accommodation",774126.54,3249
"2019-04-22","Principle core: other","Food and beverage services",1319290.69,37245
"2019-04-22","Principle core: other","Other",699633.26,7031
"2019-04-22","Principle core: other","Retail: Food, beverage, tobacco",1516296.65,48365
"2019-04-22","Principle core: other","Retail: Fuel stations",2717222.19,74168
"2019-04-22","Principle core: other","Retail: Other goods",3453910.05,34348
"2019-04-22","Principle core: other","Transport services",414894.15,13788
"2019-04-22","Secondary core","Accommodation",203383.97,1321
"2019-04-22","Secondary core","Food and beverage services",376857.19,8649
"2019-04-22","Secondary core","Other",229899.1,2837
"2019-04-22","Secondary core","Retail: Food, beverage, tobacco",401560.5,14167
"2019-04-22","Secondary core","Retail: Fuel stations",999205.03,26663
"2019-04-22","Secondary core","Retail: Other goods",679115.32,6167
"2019-04-22","Secondary core","Transport services",7157.95,510
"2019-04-23","9999","Food and beverage services",5686.65,506
"2019-04-23","9999","Retail: Fuel stations",18543.4,478
"2019-04-23","9999","Retail: Other goods",2336.85,47
"2019-04-23","Commuting zone","Accommodation",286075.87,1777
"2019-04-23","Commuting zone","Food and beverage services",392590.55,8872
"2019-04-23","Commuting zone","Other",964176.52,6570
"2019-04-23","Commuting zone","Retail: Food, beverage, tobacco",3763103.11,79943
"2019-04-23","Commuting zone","Retail: Fuel stations",1603228.86,34682
"2019-04-23","Commuting zone","Retail: Other goods",3117266.38,40819
"2019-04-23","Commuting zone","Transport services",22113.01,600
"2019-04-23","Municipality: core","Accommodation",313321.14,1303
"2019-04-23","Municipality: core","Food and beverage services",227892.25,6478
"2019-04-23","Municipality: core","Other",535845.2,3628
"2019-04-23","Municipality: core","Retail: Food, beverage, tobacco",2898724.28,66040
"2019-04-23","Municipality: core","Retail: Fuel stations",620463.03,13815
"2019-04-23","Municipality: core","Retail: Other goods",2738259.8,29415
"2019-04-23","Municipality: core","Transport services",53882.8,700
"2019-04-23","Municipality: multiorientated","Accommodation",126806.44,672
"2019-04-23","Municipality: multiorientated","Food and beverage services",199279.13,4171
"2019-04-23","Municipality: multiorientated","Other",435773.06,3802
"2019-04-23","Municipality: multiorientated","Retail: Food, beverage, tobacco",2030205.42,39189
"2019-04-23","Municipality: multiorientated","Retail: Fuel stations",913327.65,18905
"2019-04-23","Municipality: multiorientated","Retail: Other goods",2494876.32,27766
"2019-04-23","Municipality: multiorientated","Transport services",7062.8,245
"2019-04-23","Municipality: rural","Accommodation",959014.910000001,3875
"2019-04-23","Municipality: rural","Food and beverage services",402384.43,8354
"2019-04-23","Municipality: rural","Other",718901.39,5701
"2019-04-23","Municipality: rural","Retail: Food, beverage, tobacco",4155468.32,84510
"2019-04-23","Municipality: rural","Retail: Fuel stations",1716721.74,33393
"2019-04-23","Municipality: rural","Retail: Other goods",3346156.76,39212
"2019-04-23","Municipality: rural","Transport services",275894.45,2551
"2019-04-23","Principle core: city","Accommodation",2389224.46,11792
"2019-04-23","Principle core: city","Food and beverage services",4648670.32,162866
"2019-04-23","Principle core: city","Other",5437467.68,41852
"2019-04-23","Principle core: city","Retail: Food, beverage, tobacco",16741228.12,590478
"2019-04-23","Principle core: city","Retail: Fuel stations",2372745.05,61309
"2019-04-23","Principle core: city","Retail: Other goods",26975279.24,232136
"2019-04-23","Principle core: city","Transport services",662918.539999999,34687
"2019-04-23","Principle core: other","Accommodation",683997.75,3544
"2019-04-23","Principle core: other","Food and beverage services",1636182.32,65688
"2019-04-23","Principle core: other","Other",2882202.43,19863
"2019-04-23","Principle core: other","Retail: Food, beverage, tobacco",10878990.71,256009
"2019-04-23","Principle core: other","Retail: Fuel stations",2534639.65,62640
"2019-04-23","Principle core: other","Retail: Other goods",11889022.84,121690
"2019-04-23","Principle core: other","Transport services",396225.54,16275
"2019-04-23","Secondary core","Accommodation",148872.41,1072
"2019-04-23","Secondary core","Food and beverage services",413434.87,12523
"2019-04-23","Secondary core","Other",928390.54,6919
"2019-04-23","Secondary core","Retail: Food, beverage, tobacco",3524321.66,80423
"2019-04-23","Secondary core","Retail: Fuel stations",901311.14,21501
"2019-04-23","Secondary core","Retail: Other goods",4153048.74,46096
"2019-04-23","Secondary core","Transport services",17445.2,1451
"2019-04-24","9999","Food and beverage services",6489.25,517
"2019-04-24","9999","Other",1300,1
"2019-04-24","9999","Retail: Food, beverage, tobacco",736.5,19
"2019-04-24","9999","Retail: Fuel stations",25231.68,565
"2019-04-24","9999","Retail: Other goods",770.9,26
"2019-04-24","Commuting zone","Accommodation",298261.66,1797
"2019-04-24","Commuting zone","Food and beverage services",537353.15,10465
"2019-04-24","Commuting zone","Other",973371.47,6978
"2019-04-24","Commuting zone","Retail: Food, beverage, tobacco",3186387.49,70415
"2019-04-24","Commuting zone","Retail: Fuel stations",1583462.23,33837
"2019-04-24","Commuting zone","Retail: Other goods",2902069.52,37986
"2019-04-24","Commuting zone","Transport services",18485.55,621
"2019-04-24","Municipality: core","Accommodation",285900.89,1482
"2019-04-24","Municipality: core","Food and beverage services",262949.12,6976
"2019-04-24","Municipality: core","Other",556153.07,3965
"2019-04-24","Municipality: core","Retail: Food, beverage, tobacco",2481759.54,58140
"2019-04-24","Municipality: core","Retail: Fuel stations",617989.08,13723
"2019-04-24","Municipality: core","Retail: Other goods",2646825.53,28712
"2019-04-24","Municipality: core","Transport services",49226.06,768
"2019-04-24","Municipality: multiorientated","Accommodation",129529.26,773
"2019-04-24","Municipality: multiorientated","Food and beverage services",284527.46,5072
"2019-04-24","Municipality: multiorientated","Other",482875.02,4032
"2019-04-24","Municipality: multiorientated","Retail: Food, beverage, tobacco",1742917.26,34759
"2019-04-24","Municipality: multiorientated","Retail: Fuel stations",892546.16,18220
"2019-04-24","Municipality: multiorientated","Retail: Other goods",2419845.95,26903
"2019-04-24","Municipality: multiorientated","Transport services",8857.63,256
"2019-04-24","Municipality: rural","Accommodation",756035.75,3970
"2019-04-24","Municipality: rural","Food and beverage services",458372.48,8957
"2019-04-24","Municipality: rural","Other",729876.5,5904
"2019-04-24","Municipality: rural","Retail: Food, beverage, tobacco",3458067.59,72634
"2019-04-24","Municipality: rural","Retail: Fuel stations",1661796.94,32213
"2019-04-24","Municipality: rural","Retail: Other goods",3115379.81,36776
"2019-04-24","Municipality: rural","Transport services",220649.15,2004
"2019-04-24","Principle core: city","Accommodation",2537031.6,13008
"2019-04-24","Principle core: city","Food and beverage services",5751305.16999999,183424
"2019-04-24","Principle core: city","Other",5834635.97,46421
"2019-04-24","Principle core: city","Retail: Food, beverage, tobacco",14263309.55,535802
"2019-04-24","Principle core: city","Retail: Fuel stations",2382684.16,61110
"2019-04-24","Principle core: city","Retail: Other goods",24862075.2,232012
"2019-04-24","Principle core: city","Transport services",638369.74,37993
"2019-04-24","Principle core: other","Accommodation",679033.19,4138
"2019-04-24","Principle core: other","Food and beverage services",1944536.45,70045
"2019-04-24","Principle core: other","Other",3284780,21149
"2019-04-24","Principle core: other","Retail: Food, beverage, tobacco",9081862.38,223369
"2019-04-24","Principle core: other","Retail: Fuel stations",2517872.33,60869
"2019-04-24","Principle core: other","Retail: Other goods",10872247.22,116385
"2019-04-24","Principle core: other","Transport services",363587.1,17284
"2019-04-24","Secondary core","Accommodation",149090.61,1245
"2019-04-24","Secondary core","Food and beverage services",489482.41,13897
"2019-04-24","Secondary core","Other",1073381.03,7472
"2019-04-24","Secondary core","Retail: Food, beverage, tobacco",2945174.67,70037
"2019-04-24","Secondary core","Retail: Fuel stations",880034.61,21226
"2019-04-24","Secondary core","Retail: Other goods",4063564.93,44280
"2019-04-24","Secondary core","Transport services",17716.25,1514
"2019-04-25","9999","Food and beverage services",7453.8,535
"2019-04-25","9999","Retail: Food, beverage, tobacco",228.5,10
"2019-04-25","9999","Retail: Fuel stations",25622.88,593
"2019-04-25","9999","Retail: Other goods",642.4,24
"2019-04-25","Commuting zone","Accommodation",339048.17,2105
"2019-04-25","Commuting zone","Food and beverage services",647607.76,11920
"2019-04-25","Commuting zone","Other",1310714.63,7448
"2019-04-25","Commuting zone","Retail: Food, beverage, tobacco",3518496.33,75081
"2019-04-25","Commuting zone","Retail: Fuel stations",1845536.35,38318
"2019-04-25","Commuting zone","Retail: Other goods",3079282.62,39741
"2019-04-25","Commuting zone","Transport services",27600.77,736
"2019-04-25","Municipality: core","Accommodation",550127.54,1606
"2019-04-25","Municipality: core","Food and beverage services",303913.36,8140
"2019-04-25","Municipality: core","Other",601894.12,4100
"2019-04-25","Municipality: core","Retail: Food, beverage, tobacco",2909033.35,65369
"2019-04-25","Municipality: core","Retail: Fuel stations",734551.03,15994
"2019-04-25","Municipality: core","Retail: Other goods",2979265.86,30837
"2019-04-25","Municipality: core","Transport services",47807.11,876
"2019-04-25","Municipality: multiorientated","Accommodation",181118.63,970
"2019-04-25","Municipality: multiorientated","Food and beverage services",344818.96,5817
"2019-04-25","Municipality: multiorientated","Other",476867.71,4235
"2019-04-25","Municipality: multiorientated","Retail: Food, beverage, tobacco",1988207.73,37700
"2019-04-25","Municipality: multiorientated","Retail: Fuel stations",1034603.23,20987
"2019-04-25","Municipality: multiorientated","Retail: Other goods",2709205.15,29279
"2019-04-25","Municipality: multiorientated","Transport services",7938.85,246
"2019-04-25","Municipality: rural","Accommodation",829335.479999999,4656
"2019-04-25","Municipality: rural","Food and beverage services",572875.13,10295
"2019-04-25","Municipality: rural","Other",935784.46,6436
"2019-04-25","Municipality: rural","Retail: Food, beverage, tobacco",3845914.54,78101
"2019-04-25","Municipality: rural","Retail: Fuel stations",1865106.61,36025
"2019-04-25","Municipality: rural","Retail: Other goods",3392103.77,38691
"2019-04-25","Municipality: rural","Transport services",206098.7,2215
"2019-04-25","Principle core: city","Accommodation",3183481.46,15360
"2019-04-25","Principle core: city","Food and beverage services",6874270.69,211200
"2019-04-25","Principle core: city","Other",6942650.49,50707
"2019-04-25","Principle core: city","Retail: Food, beverage, tobacco",16328294.55,585868
"2019-04-25","Principle core: city","Retail: Fuel stations",2819087.11,69615
"2019-04-25","Principle core: city","Retail: Other goods",31193695.38,271362
"2019-04-25","Principle core: city","Transport services",719723.78,42719
"2019-04-25","Principle core: other","Accommodation",734085.470000001,4531
"2019-04-25","Principle core: other","Food and beverage services",2201261.11,77289
"2019-04-25","Principle core: other","Other",3986609.97,22383
"2019-04-25","Principle core: other","Retail: Food, beverage, tobacco",10367766.83,244535
"2019-04-25","Principle core: other","Retail: Fuel stations",2940830.94,69263
"2019-04-25","Principle core: other","Retail: Other goods",12137496.21,126877
"2019-04-25","Principle core: other","Transport services",426944.93,19186
"2019-04-25","Secondary core","Accommodation",196323.39,1452
"2019-04-25","Secondary core","Food and beverage services",584105.32,16112
"2019-04-25","Secondary core","Other",1235398.19,7876
"2019-04-25","Secondary core","Retail: Food, beverage, tobacco",3322225.4,76365
"2019-04-25","Secondary core","Retail: Fuel stations",1057787.83,24195
"2019-04-25","Secondary core","Retail: Other goods",4336815.91,46973
"2019-04-25","Secondary core","Transport services",19104.1,1576
"2019-04-26","9999","Food and beverage services",6733.75,578
"2019-04-26","9999","Retail: Food, beverage, tobacco",199,6
"2019-04-26","9999","Retail: Fuel stations",29286.89,653
"2019-04-26","9999","Retail: Other goods",1470.8,28
"2019-04-26","Commuting zone","Accommodation",410704.16,2196
"2019-04-26","Commuting zone","Food and beverage services",869245.17,14299
"2019-04-26","Commuting zone","Other",1464652.39,8028
"2019-04-26","Commuting zone","Retail: Food, beverage, tobacco",5136385.64,89946
"2019-04-26","Commuting zone","Retail: Fuel stations",1985249.6,39591
"2019-04-26","Commuting zone","Retail: Other goods",3518462.15,42267
"2019-04-26","Commuting zone","Transport services",19220.46,530
"2019-04-26","Municipality: core","Accommodation",322906.99,1421
"2019-04-26","Municipality: core","Food and beverage services",398109.81,10128
"2019-04-26","Municipality: core","Other",669565.62,4414
"2019-04-26","Municipality: core","Retail: Food, beverage, tobacco",4374547.22,79679
"2019-04-26","Municipality: core","Retail: Fuel stations",793835.16,16646
"2019-04-26","Municipality: core","Retail: Other goods",3700567.2,35747
"2019-04-26","Municipality: core","Transport services",34016.09,690
"2019-04-26","Municipality: multiorientated","Accommodation",194219.09,982
"2019-04-26","Municipality: multiorientated","Food and beverage services",407271.24,6245
"2019-04-26","Municipality: multiorientated","Other",624053.32,4815
"2019-04-26","Municipality: multiorientated","Retail: Food, beverage, tobacco",2759499.25,44636
"2019-04-26","Municipality: multiorientated","Retail: Fuel stations",1102795.1,21559
"2019-04-26","Municipality: multiorientated","Retail: Other goods",2932009.85,29817
"2019-04-26","Municipality: multiorientated","Transport services",4378.85,143
"2019-04-26","Municipality: rural","Accommodation",939235.2,4686
"2019-04-26","Municipality: rural","Food and beverage services",695765.75,11379
"2019-04-26","Municipality: rural","Other",930039.85,6814
"2019-04-26","Municipality: rural","Retail: Food, beverage, tobacco",5377517.98,92517
"2019-04-26","Municipality: rural","Retail: Fuel stations",2008269.67,37435
"2019-04-26","Municipality: rural","Retail: Other goods",4197469.64,42390
"2019-04-26","Municipality: rural","Transport services",254551.8,1848
"2019-04-26","Principle core: city","Accommodation",3571885.1,16341
"2019-04-26","Principle core: city","Food and beverage services",8170479.09999999,226736
"2019-04-26","Principle core: city","Other",7681608.81,59357
"2019-04-26","Principle core: city","Retail: Food, beverage, tobacco",21438997.57,618397
"2019-04-26","Principle core: city","Retail: Fuel stations",3072240.88,71749
"2019-04-26","Principle core: city","Retail: Other goods",32223252.75,273563
"2019-04-26","Principle core: city","Transport services",711916.680000001,44190
"2019-04-26","Principle core: other","Accommodation",887048.15,4459
"2019-04-26","Principle core: other","Food and beverage services",2747926.77,87306
"2019-04-26","Principle core: other","Other",4534115.9,26652
"2019-04-26","Principle core: other","Retail: Food, beverage, tobacco",15589383.03,293186
"2019-04-26","Principle core: other","Retail: Fuel stations",3266447.14,72416
"2019-04-26","Principle core: other","Retail: Other goods",15172979.08,149824
"2019-04-26","Principle core: other","Transport services",430838.52,20321
"2019-04-26","Secondary core","Accommodation",250825.21,1477
"2019-04-26","Secondary core","Food and beverage services",736905.59,19152
"2019-04-26","Secondary core","Other",1341561.22,9312
"2019-04-26","Secondary core","Retail: Food, beverage, tobacco",4980913.01,92161
"2019-04-26","Secondary core","Retail: Fuel stations",1129955.31,24514
"2019-04-26","Secondary core","Retail: Other goods",5532410.51,55910
"2019-04-26","Secondary core","Transport services",18703.95,2103
"2019-04-27","9999","Food and beverage services",5256.05,306
"2019-04-27","9999","Retail: Food, beverage, tobacco",207.8,7
"2019-04-27","9999","Retail: Fuel stations",28144.16,652
"2019-04-27","9999","Retail: Other goods",1524.6,34
"2019-04-27","Commuting zone","Accommodation",402134.34,2131
"2019-04-27","Commuting zone","Food and beverage services",936049.53,12129
"2019-04-27","Commuting zone","Other",795470.46,6087
"2019-04-27","Commuting zone","Retail: Food, beverage, tobacco",6421593.77,102190
"2019-04-27","Commuting zone","Retail: Fuel stations",1884402.91,36916
"2019-04-27","Commuting zone","Retail: Other goods",4992968.44,52023
"2019-04-27","Commuting zone","Transport services",30075.66,762
"2019-04-27","Municipality: core","Accommodation",314821.37,1372
"2019-04-27","Municipality: core","Food and beverage services",445656.6,8945
"2019-04-27","Municipality: core","Other",471015.31,3323
"2019-04-27","Municipality: core","Retail: Food, beverage, tobacco",4862690.75,82855
"2019-04-27","Municipality: core","Retail: Fuel stations",793539.45,15993
"2019-04-27","Municipality: core","Retail: Other goods",4677776.95,45717
"2019-04-27","Municipality: core","Transport services",23687.85,677
"2019-04-27","Municipality: multiorientated","Accommodation",210958.83,1046
"2019-04-27","Municipality: multiorientated","Food and beverage services",477064.55,6064
"2019-04-27","Municipality: multiorientated","Other",424115.47,3802
"2019-04-27","Municipality: multiorientated","Retail: Food, beverage, tobacco",3556616.5,51884
"2019-04-27","Municipality: multiorientated","Retail: Fuel stations",1068860.07,20461
"2019-04-27","Municipality: multiorientated","Retail: Other goods",4235429.23,39114
"2019-04-27","Municipality: multiorientated","Transport services",9965.2,156
"2019-04-27","Municipality: rural","Accommodation",903361.61,4869
"2019-04-27","Municipality: rural","Food and beverage services",866878.33,11707
"2019-04-27","Municipality: rural","Other",765451.41,5994
"2019-04-27","Municipality: rural","Retail: Food, beverage, tobacco",6337297.86,101709
"2019-04-27","Municipality: rural","Retail: Fuel stations",1982847.28,36441
"2019-04-27","Municipality: rural","Retail: Other goods",5293411.73,51139
"2019-04-27","Municipality: rural","Transport services",321054.6,3170
"2019-04-27","Principle core: city","Accommodation",2857942.43,14324
"2019-04-27","Principle core: city","Food and beverage services",7925482.52,176285
"2019-04-27","Principle core: city","Other",5653415.58,54570
"2019-04-27","Principle core: city","Retail: Food, beverage, tobacco",26453231.78,604329
"2019-04-27","Principle core: city","Retail: Fuel stations",2940467.63,67070
"2019-04-27","Principle core: city","Retail: Other goods",42353600.14,354319
"2019-04-27","Principle core: city","Transport services",630390.35,43601
"2019-04-27","Principle core: other","Accommodation",723461.39,3645
"2019-04-27","Principle core: other","Food and beverage services",2450703.46,60316
"2019-04-27","Principle core: other","Other",2921561.77,24391
"2019-04-27","Principle core: other","Retail: Food, beverage, tobacco",19769628.35,323823
"2019-04-27","Principle core: other","Retail: Fuel stations",3036870.5,65993
"2019-04-27","Principle core: other","Retail: Other goods",20052389.95,190586
"2019-04-27","Principle core: other","Transport services",373112.65,19425
"2019-04-27","Secondary core","Accommodation",180069.98,1116
"2019-04-27","Secondary core","Food and beverage services",702008.29,16399
"2019-04-27","Secondary core","Other",982093.01,8270
"2019-04-27","Secondary core","Retail: Food, beverage, tobacco",6515070.38,107415
"2019-04-27","Secondary core","Retail: Fuel stations",1074616.35,22797
"2019-04-27","Secondary core","Retail: Other goods",8359392.87,77719
"2019-04-27","Secondary core","Transport services",20196.8,2210
"2019-04-28","9999","Food and beverage services",1699.4,78
"2019-04-28","9999","Retail: Food, beverage, tobacco",330.3,13
"2019-04-28","9999","Retail: Fuel stations",24401.24,632
"2019-04-28","Commuting zone","Accommodation",424006.52,1908
"2019-04-28","Commuting zone","Food and beverage services",818015.39,9508
"2019-04-28","Commuting zone","Other",152030.05,2145
"2019-04-28","Commuting zone","Retail: Food, beverage, tobacco",369929.49,11666
"2019-04-28","Commuting zone","Retail: Fuel stations",1524204.54,33309
