"X","FINALPROCESSINGDATE","TYPE","KANTON","GROSSREGION","COUNTRY","NTRX","ISSUINGBASEAMOUNT","ATV"
689,"01-MAY-21","ATM Withdraws","BL",3,"CHE",3031,1233803,407.06
690,"01-MAY-21","ATM Withdraws","BS",3,"CHE",1405,518199,368.82
691,"01-MAY-21","ATM Withdraws","FR",2,"CHE",7047,2945198,417.94
692,"01-MAY-21","ATM Withdraws","GE",1,"CHE",12887,8727523,677.23
693,"01-MAY-21","ATM Withdraws","GL",5,"CHE",515,196767,382.07
694,"01-MAY-21","ATM Withdraws","GR",5,"CHE",2284,914676,400.47
695,"01-MAY-21","ATM Withdraws","JU",2,"CHE",1105,346374,313.46
696,"01-MAY-21","ATM Withdraws","LU",6,"CHE",15086,5604579,371.51
697,"01-MAY-21","ATM Withdraws","NE",2,"CHE",3391,1199694,353.79
698,"01-MAY-21","ATM Withdraws","NW",6,"CHE",772,280866,363.82
699,"01-MAY-21","ATM Withdraws","OW",6,"CHE",537,200653,373.66
700,"01-MAY-21","ATM Withdraws","SG",5,"CHE",20822,7333452,352.2
701,"01-MAY-21","ATM Withdraws","SH",5,"CHE",1465,442250,301.88
702,"01-MAY-21","ATM Withdraws","SO",2,"CHE",6292,2404229,382.11
703,"01-MAY-21","ATM Withdraws","SZ",6,"CHE",6102,2463928,403.79
