"X","FINALPROCESSINGDATE","TYPE","KANTON","GROSSREGION","COUNTRY","NTRX","ISSUINGBASEAMOUNT","ATV"
771,"01-JAN-20","POS","BS",3,"CHE",19372,733505,37.86
772,"01-JAN-20","POS","FR",2,"CHE",20343,1068779,52.54
773,"01-JAN-20","POS","GE",1,"CHE",37044,1590565,42.94
774,"01-JAN-20","POS","GL",5,"CHE",3982,242233,60.83
775,"01-JAN-20","POS","GR",5,"CHE",52032,4022020,77.3
776,"01-JAN-20","POS","JU",2,"CHE",2911,162814,55.93
777,"01-JAN-20","POS","LU",6,"CHE",33537,1564020,46.64
778,"01-JAN-20","POS","NE",2,"CHE",10083,453324,44.96
779,"01-JAN-20","POS","NW",6,"CHE",2857,185736,65.01
780,"01-JAN-20","POS","OW",6,"CHE",5870,407946,69.5
781,"01-JAN-20","POS","SG",5,"CHE",35049,1853111,52.87
782,"01-JAN-20","POS","SH",5,"CHE",4743,219307,46.24
783,"01-JAN-20","POS","SO",2,"CHE",13765,683019,49.62
784,"01-JAN-20","POS","SZ",6,"CHE",12933,763002,59
785,"01-JAN-20","POS","TG",5,"CHE",13492,768944,56.99
786,"01-JAN-20","POS","TI",7,"CHE",17412,1042713,59.88
787,"01-JAN-20","POS","UR",6,"CHE",3430,244051,71.15
788,"01-JAN-20","POS","VD",1,"CHE",75754,3654447,48.24
789,"01-JAN-20","POS","VS",1,"CHE",64036,4325289,67.54
790,"01-JAN-20","POS","ZG",6,"CHE",7454,362552,48.64
791,"01-JAN-20","POS","ZH",4,"CHE",152135,6002767,39.46
792,"01-JAN-21","ATM","99",99,"AUT",199,51602,259.31
793,"01-JAN-21","ATM","99",99,"CHE",47,32777,697.38
794,"01-JAN-21","ATM","99",99,"DEU",695,278127,400.18
795,"01-JAN-21","ATM","99",99,"FRA",749,226160,301.95
796,"01-JAN-21","ATM","99",99,"ITA",1617,485035,299.96
797,"01-JAN-21","ATM","99",99,"LIE",485,234267,483.02
798,"01-JAN-21","ATM","99",99,"WRD",7235,2366529,327.09
799,"01-JAN-21","ATM","AG",3,"CHE",3196,1262285,394.96
800,"01-JAN-21","ATM","AI",5,"CHE",119,38341,322.19
801,"01-JAN-21","ATM","AR",5,"CHE",247,85488,346.11
802,"01-JAN-21","ATM","BE",2,"CHE",4777,1526692,319.59
803,"01-JAN-21","ATM","BL",3,"CHE",1194,433164,362.78
804,"01-JAN-21","ATM","BS",3,"CHE",1235,461459,373.65
805,"01-JAN-21","ATM","FR",2,"CHE",1597,541525,339.09
806,"01-JAN-21","ATM","GE",1,"CHE",2634,1409865,535.26
807,"01-JAN-21","ATM","GL",5,"CHE",351,112986,321.9
808,"01-JAN-21","ATM","GR",5,"CHE",2456,760257,309.55
809,"01-JAN-21","ATM","JU",2,"CHE",342,102351,299.27
810,"01-JAN-21","ATM","LU",6,"CHE",2217,822257,370.89
811,"01-JAN-21","ATM","NE",2,"CHE",982,327682,333.69
812,"01-JAN-21","ATM","NW",6,"CHE",264,70321,266.37
813,"01-JAN-21","ATM","OW",6,"CHE",276,83050,300.91
814,"01-JAN-21","ATM","SG",5,"CHE",4215,1254299,297.58
815,"01-JAN-21","ATM","SH",5,"CHE",490,149963,306.05
816,"01-JAN-21","ATM","SO",2,"CHE",1354,438924,324.17
817,"01-JAN-21","ATM","SZ",6,"CHE",1222,381043,311.82
818,"01-JAN-21","ATM","TG",5,"CHE",1842,556024,301.86
819,"01-JAN-21","ATM","TI",7,"CHE",1089,528378,485.2
820,"01-JAN-21","ATM","UR",6,"CHE",262,74710,285.15
821,"01-JAN-21","ATM","VD",1,"CHE",4459,1740784,390.4
822,"01-JAN-21","ATM","VS",1,"CHE",4369,1488818,340.77
823,"01-JAN-21","ATM","ZG",6,"CHE",665,248103,373.09
