"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2019-06-01","Domestic","Food and beverage services",10983424.52,232482
"2019-06-01","Domestic","Human health services",1961022.33,7555
"2019-06-01","Domestic","Other",1900290.96,12823
"2019-06-01","Domestic","Personal services",2539840.03,24895
"2019-06-01","Domestic","Professional services",2357841.09,26580
"2019-06-01","Domestic","Retail: Food, beverage, tobacco",64797093.55,1276517
"2019-06-01","Domestic","Retail: Fuel stations",12120865.55,281309
"2019-06-01","Domestic","Retail: Other goods",71658779.6300001,740515
"2019-06-01","Domestic","Transport services",2918356.79,171303
"2019-06-01","Foreign","Accommodation",3608218.89,15869
"2019-06-01","Foreign","Entertainment and sports",437144.73,6708
"2019-06-01","Foreign","Food and beverage services",1867664.81,43559
"2019-06-01","Foreign","Human health services",117684.97,370
"2019-06-01","Foreign","Other",175037.19,633
"2019-06-01","Foreign","Personal services",114505.44,1240
"2019-06-01","Foreign","Professional services",885233.800000001,6874
"2019-06-01","Foreign","Retail: Food, beverage, tobacco",1765316.99999999,58332
"2019-06-01","Foreign","Retail: Fuel stations",1018577.47,22737
"2019-06-01","Foreign","Retail: Other goods",7914791.65000003,39319
"2019-06-01","Foreign","Transport services",957172.270000001,26258
"2019-06-02","Domestic","Accommodation",5787778.9,25701
"2019-06-02","Domestic","Entertainment and sports",1957381.15,29829
"2019-06-02","Domestic","Food and beverage services",7930175.87,173447
"2019-06-02","Domestic","Human health services",137698.94,1734
"2019-06-02","Domestic","Other",421276.89,5457
"2019-06-02","Domestic","Personal services",299342.82,2583
"2019-06-02","Domestic","Professional services",1292410.25,18735
"2019-06-02","Domestic","Retail: Food, beverage, tobacco",5165350.06,243587
"2019-06-02","Domestic","Retail: Fuel stations",12444558.43,326816
"2019-06-02","Domestic","Retail: Other goods",6526928.15,61678
"2019-06-02","Domestic","Transport services",3045699.08,138932
"2019-06-02","Foreign","Accommodation",4355761.79,15748
"2019-06-02","Foreign","Entertainment and sports",412167.180000001,5962
"2019-06-02","Foreign","Food and beverage services",1624724.27,41011
"2019-06-02","Foreign","Human health services",64677.2,195
"2019-06-02","Foreign","Other",155860.56,417
"2019-06-02","Foreign","Personal services",87143.81,931
"2019-06-02","Foreign","Professional services",888119.980000001,6069
"2019-06-02","Foreign","Retail: Food, beverage, tobacco",492588.320000002,26632
"2019-06-02","Foreign","Retail: Fuel stations",1159547.39,27453
"2019-06-02","Foreign","Retail: Other goods",4684947.65999999,16915
"2019-06-02","Foreign","Transport services",905658.660000001,21844
"2019-06-03","Domestic","Accommodation",2320529.26,14139
"2019-06-03","Domestic","Entertainment and sports",2395770.09,19994
"2019-06-03","Domestic","Food and beverage services",6597534.46,257937
"2019-06-03","Domestic","Human health services",2033551.93,10568
"2019-06-03","Domestic","Other",3238760.88,15125
"2019-06-03","Domestic","Personal services",1378396.93,14612
"2019-06-03","Domestic","Professional services",4841885.44,45080
"2019-06-03","Domestic","Retail: Food, beverage, tobacco",46104921.37,1284320
"2019-06-03","Domestic","Retail: Fuel stations",10885307.05,256969
"2019-06-03","Domestic","Retail: Other goods",48479531.67,557760
"2019-06-03","Domestic","Transport services",3290357.16,157935
"2019-06-03","Foreign","Accommodation",4570805.18999999,14504
"2019-06-03","Foreign","Entertainment and sports",437303.21,5365
"2019-06-03","Foreign","Food and beverage services",1386820.69,42555
"2019-06-03","Foreign","Human health services",401281.1,668
"2019-06-03","Foreign","Other",435642.89,941
"2019-06-03","Foreign","Personal services",95020.4,1093
"2019-06-03","Foreign","Professional services",2204387.07,9730
"2019-06-03","Foreign","Retail: Food, beverage, tobacco",1544322.42,57621
"2019-06-03","Foreign","Retail: Fuel stations",877340.700000001,20627
"2019-06-03","Foreign","Retail: Other goods",7864890.27000002,32992
"2019-06-03","Foreign","Transport services",986628.829999999,24942
"2019-06-04","Domestic","Accommodation",2302253.64,17351
"2019-06-04","Domestic","Entertainment and sports",2012163.23,20951
"2019-06-04","Domestic","Food and beverage services",8582253.76999999,296303
"2019-06-04","Domestic","Human health services",2585369.98,12257
"2019-06-04","Domestic","Other",3450544.25,15731
"2019-06-04","Domestic","Personal services",2547863.38,24167
"2019-06-04","Domestic","Professional services",4175607.67,37571
"2019-06-04","Domestic","Retail: Food, beverage, tobacco",41178125.05,1214934
"2019-06-04","Domestic","Retail: Fuel stations",11111593.26,269513
"2019-06-04","Domestic","Retail: Other goods",48573284.28,536586
"2019-06-04","Domestic","Transport services",3001077.24,164803
"2019-06-04","Foreign","Accommodation",4251868.43,15945
"2019-06-04","Foreign","Entertainment and sports",399070.66,4714
"2019-06-04","Foreign","Food and beverage services",1555613.57,44802
"2019-06-04","Foreign","Human health services",315157.21,675
"2019-06-04","Foreign","Other",411510.13,1022
"2019-06-04","Foreign","Personal services",89853.1,1054
"2019-06-04","Foreign","Professional services",2280732.36,9282
"2019-06-04","Foreign","Retail: Food, beverage, tobacco",1347873.86,53267
"2019-06-04","Foreign","Retail: Fuel stations",780561.540000001,19042
"2019-06-04","Foreign","Retail: Other goods",6985470.47000007,30194
"2019-06-04","Foreign","Transport services",1011467.41,25554
"2019-06-05","Domestic","Accommodation",2716832.69,18883
"2019-06-05","Domestic","Entertainment and sports",2106239.66,23720
"2019-06-05","Domestic","Food and beverage services",9637790.11,317892
"2019-06-05","Domestic","Human health services",2661852.76,12478
"2019-06-05","Domestic","Other",3793687.56,16025
"2019-06-05","Domestic","Personal services",2606341.83,25205
"2019-06-05","Domestic","Professional services",4775435.27,43600
"2019-06-05","Domestic","Retail: Food, beverage, tobacco",43000423.69,1249210
"2019-06-05","Domestic","Retail: Fuel stations",11740624.1,282450
"2019-06-05","Domestic","Retail: Other goods",52957727.53,584119
"2019-06-05","Domestic","Transport services",3259481.49,179461
"2019-06-05","Foreign","Accommodation",4865473.93,17382
"2019-06-05","Foreign","Entertainment and sports",456490.580000001,4373
"2019-06-05","Foreign","Food and beverage services",1721765.27,47223
"2019-06-05","Foreign","Human health services",552129.54,645
"2019-06-05","Foreign","Other",336189.17,821
"2019-06-05","Foreign","Personal services",134207.66,1116
"2019-06-05","Foreign","Professional services",1973273.52,9516
"2019-06-05","Foreign","Retail: Food, beverage, tobacco",1346676.34,54486
"2019-06-05","Foreign","Retail: Fuel stations",807585.579999999,19560
"2019-06-05","Foreign","Retail: Other goods",8137000.04000004,32002
"2019-06-05","Foreign","Transport services",1104836.19,26341
"2019-06-06","Domestic","Accommodation",2947427.91,18988
"2019-06-06","Domestic","Entertainment and sports",1944932.89,20335
"2019-06-06","Domestic","Food and beverage services",10271751.01,333452
"2019-06-06","Domestic","Human health services",2652741.6,12095
"2019-06-06","Domestic","Other",3517195.4,15753
"2019-06-06","Domestic","Personal services",2962739.03,28038
"2019-06-06","Domestic","Professional services",4062572.59,37535
"2019-06-06","Domestic","Retail: Food, beverage, tobacco",47029404.13,1234011
"2019-06-06","Domestic","Retail: Fuel stations",11672552.88,269305
"2019-06-06","Domestic","Retail: Other goods",52569488.48,564679
"2019-06-06","Domestic","Transport services",3136925.11,181864
"2019-06-06","Foreign","Accommodation",5438073.13000001,17411
"2019-06-06","Foreign","Entertainment and sports",474066.84,4321
"2019-06-06","Foreign","Food and beverage services",1730811.5,46992
"2019-06-06","Foreign","Human health services",386288.03,728
"2019-06-06","Foreign","Other",646440.57,820
"2019-06-06","Foreign","Personal services",94759.13,1136
"2019-06-06","Foreign","Professional services",1976832.97,9803
"2019-06-06","Foreign","Retail: Food, beverage, tobacco",1515042.04,55509
"2019-06-06","Foreign","Retail: Fuel stations",852084.930000002,19861
"2019-06-06","Foreign","Retail: Other goods",9955185.29000002,35475
"2019-06-06","Foreign","Transport services",895208.750000001,25340
"2019-06-07","Domestic","Accommodation",3604880.25,22849
"2019-06-07","Domestic","Entertainment and sports",2018343.04,24033
"2019-06-07","Domestic","Food and beverage services",12965982.08,364527
"2019-06-07","Domestic","Human health services",2782935.88,12284
"2019-06-07","Domestic","Other",4446474.97,18060
"2019-06-07","Domestic","Personal services",3356593.27,32213
"2019-06-07","Domestic","Professional services",4668459.58,40448
"2019-06-07","Domestic","Retail: Food, beverage, tobacco",64863655.82,1426145
"2019-06-07","Domestic","Retail: Fuel stations",13806830.35,314109
"2019-06-07","Domestic","Retail: Other goods",57772091.6799999,621839
"2019-06-07","Domestic","Transport services",3089345.78,191606
"2019-06-07","Foreign","Accommodation",5797875.75000001,17842
"2019-06-07","Foreign","Entertainment and sports",656873.790000001,6050
"2019-06-07","Foreign","Food and beverage services",1831092.23,48830
"2019-06-07","Foreign","Human health services",356192.81,701
"2019-06-07","Foreign","Other",437905.98,902
"2019-06-07","Foreign","Personal services",120294.13,1169
"2019-06-07","Foreign","Professional services",1928970.16,9908
"2019-06-07","Foreign","Retail: Food, beverage, tobacco",1637087.39,58156
"2019-06-07","Foreign","Retail: Fuel stations",1018532.57,23695
"2019-06-07","Foreign","Retail: Other goods",9117656.29000003,36153
"2019-06-07","Foreign","Transport services",1060638.54,28203
"2019-06-08","Domestic","Accommodation",3878122.74,25718
"2019-06-08","Domestic","Entertainment and sports",2108596.92,29148
"2019-06-08","Domestic","Food and beverage services",12442834.69,259836
"2019-06-08","Domestic","Human health services",2283601.43,8412
"2019-06-08","Domestic","Other",2115440.68,14296
"2019-06-08","Domestic","Personal services",2885242.35,28209
"2019-06-08","Domestic","Professional services",2563460.81,26249
"2019-06-08","Domestic","Retail: Food, beverage, tobacco",81391606.03,1456756
"2019-06-08","Domestic","Retail: Fuel stations",13307832.89,300170
"2019-06-08","Domestic","Retail: Other goods",84097440.66,847386
"2019-06-08","Domestic","Transport services",2953127.47,181856
"2019-06-08","Foreign","Accommodation",4385038.54,16966
"2019-06-08","Foreign","Entertainment and sports",486485.33,5667
"2019-06-08","Foreign","Food and beverage services",1991019.59,47082
"2019-06-08","Foreign","Human health services",130949.7,403
"2019-06-08","Foreign","Other",112397.89,443
"2019-06-08","Foreign","Personal services",104749.46,1143
"2019-06-08","Foreign","Professional services",1092224.77,8367
"2019-06-08","Foreign","Retail: Food, beverage, tobacco",2064078.81,61666
"2019-06-08","Foreign","Retail: Fuel stations",1104916.06,24790
"2019-06-08","Foreign","Retail: Other goods",8994255.49000002,44237
"2019-06-08","Foreign","Transport services",913189.630000001,26895
"2019-06-09","Domestic","Accommodation",4331225.72,24946
"2019-06-09","Domestic","Entertainment and sports",2685021.58,47687
"2019-06-09","Domestic","Food and beverage services",9329435.78000001,186437
"2019-06-09","Domestic","Human health services",145230.19,2099
"2019-06-09","Domestic","Other",305927.83,3990
"2019-06-09","Domestic","Personal services",367932.8,3747
"2019-06-09","Domestic","Professional services",1007531.33,14365
"2019-06-09","Domestic","Retail: Food, beverage, tobacco",5451937.72,220804
"2019-06-09","Domestic","Retail: Fuel stations",9723282.56,244968
"2019-06-09","Domestic","Retail: Other goods",6168638.61,64123
"2019-06-09","Domestic","Transport services",2287427.09,123427
"2019-06-09","Foreign","Accommodation",4141177.88999999,16470
"2019-06-09","Foreign","Entertainment and sports",508834.23,7397
"2019-06-09","Foreign","Food and beverage services",1851389.89,44812
"2019-06-09","Foreign","Human health services",171608.59,253
"2019-06-09","Foreign","Other",103037.95,318
"2019-06-09","Foreign","Personal services",79075.73,1161
"2019-06-09","Foreign","Professional services",888171.46,6249
"2019-06-09","Foreign","Retail: Food, beverage, tobacco",622330.61,29193
"2019-06-09","Foreign","Retail: Fuel stations",944676.500000002,22269
"2019-06-09","Foreign","Retail: Other goods",3167369.05999999,20599
"2019-06-09","Foreign","Transport services",778823.65,20898
"2019-06-10","Domestic","Accommodation",4647103.72,20889
"2019-06-10","Domestic","Entertainment and sports",2785780.92,47468
"2019-06-10","Domestic","Food and beverage services",7015952.2,170044
"2019-06-10","Domestic","Human health services",254316.19,2705
"2019-06-10","Domestic","Other",466289.73,4544
"2019-06-10","Domestic","Personal services",379433.75,4229
"2019-06-10","Domestic","Professional services",1424450,19860
"2019-06-10","Domestic","Retail: Food, beverage, tobacco",9469109.11,305807
"2019-06-10","Domestic","Retail: Fuel stations",10765786.85,271065
"2019-06-10","Domestic","Retail: Other goods",16040588.71,151069
"2019-06-10","Domestic","Transport services",2495485.38,120021
"2019-06-10","Foreign","Accommodation",4709545.39999999,16439
"2019-06-10","Foreign","Entertainment and sports",377182.76,5831
"2019-06-10","Foreign","Food and beverage services",1741932.64,41959
"2019-06-10","Foreign","Human health services",159881.12,323
"2019-06-10","Foreign","Other",231931.87,604
"2019-06-10","Foreign","Personal services",55553.51,804
"2019-06-10","Foreign","Professional services",1550161.25,7144
"2019-06-10","Foreign","Retail: Food, beverage, tobacco",696319.340000002,30732
"2019-06-10","Foreign","Retail: Fuel stations",896915.230000001,21365
"2019-06-10","Foreign","Retail: Other goods",6364174.97000003,20802
"2019-06-10","Foreign","Transport services",856101.58,20749
"2019-06-11","Domestic","Accommodation",2282044.13,13799
"2019-06-11","Domestic","Entertainment and sports",2047824.97,20279
"2019-06-11","Domestic","Food and beverage services",7709369.93,276823
"2019-06-11","Domestic","Human health services",2235464.5,11462
"2019-06-11","Domestic","Other",3047781.79,14026
"2019-06-11","Domestic","Personal services",2512439.04,24021
"2019-06-11","Domestic","Professional services",4736935,40228
"2019-06-11","Domestic","Retail: Food, beverage, tobacco",50838676.39,1319830
"2019-06-11","Domestic","Retail: Fuel stations",10712636.22,246333
"2019-06-11","Domestic","Retail: Other goods",48328861.64,526700
"2019-06-11","Domestic","Transport services",3330294.91,174351
"2019-06-11","Foreign","Accommodation",5010171.5,15611
"2019-06-11","Foreign","Entertainment and sports",345687.36,4327
"2019-06-11","Foreign","Food and beverage services",1876143.76,49382
"2019-06-11","Foreign","Human health services",366342.62,674
"2019-06-11","Foreign","Other",617104.18,1159
"2019-06-11","Foreign","Personal services",118101.08,1325
"2019-06-11","Foreign","Professional services",2223787.61,9603
"2019-06-11","Foreign","Retail: Food, beverage, tobacco",1859178.87,63704
"2019-06-11","Foreign","Retail: Fuel stations",857495.23,19975
"2019-06-11","Foreign","Retail: Other goods",9164489.38000003,37674
"2019-06-11","Foreign","Transport services",946557.45,27404
"2019-06-12","Domestic","Accommodation",2466053.14,16754
"2019-06-12","Domestic","Entertainment and sports",2140189.39,21046
"2019-06-12","Domestic","Food and beverage services",9365591.2,305879
"2019-06-12","Domestic","Human health services",2441894.99,11935
"2019-06-12","Domestic","Other",2898135.95,14666
"2019-06-12","Domestic","Personal services",2527605.59,24867
"2019-06-12","Domestic","Professional services",4107006.06,37195
"2019-06-12","Domestic","Retail: Food, beverage, tobacco",42961083.31,1193724
"2019-06-12","Domestic","Retail: Fuel stations",10958510.97,255747
"2019-06-12","Domestic","Retail: Other goods",48907073.11,542351
"2019-06-12","Domestic","Transport services",3247409.04,185030
"2019-06-12","Foreign","Accommodation",5943025.28,17583
"2019-06-12","Foreign","Entertainment and sports",342390.69,4495
"2019-06-12","Foreign","Food and beverage services",2033605.72,53280
"2019-06-12","Foreign","Human health services",449551.44,724
"2019-06-12","Foreign","Other",789187.960000001,1293
"2019-06-12","Foreign","Personal services",116602.55,1013
"2019-06-12","Foreign","Professional services",2386250.11,9192
"2019-06-12","Foreign","Retail: Food, beverage, tobacco",1481867.15,58359
"2019-06-12","Foreign","Retail: Fuel stations",838536.599999999,19898
"2019-06-12","Foreign","Retail: Other goods",8682223.62000003,35428
"2019-06-12","Foreign","Transport services",1036281,27676
"2019-06-13","Domestic","Accommodation",3139968.63,20979
"2019-06-13","Domestic","Entertainment and sports",2019564.03,19824
"2019-06-13","Domestic","Food and beverage services",10622997.3,327821
"2019-06-13","Domestic","Human health services",2443625.78,11573
"2019-06-13","Domestic","Other",3047728.25,15384
"2019-06-13","Domestic","Personal services",2877043.58,27001
"2019-06-13","Domestic","Professional services",4007457.15,36207
"2019-06-13","Domestic","Retail: Food, beverage, tobacco",41744018.01,1194612
"2019-06-13","Domestic","Retail: Fuel stations",11358818.7,275769
"2019-06-13","Domestic","Retail: Other goods",48168600.19,556286
"2019-06-13","Domestic","Transport services",3304109.45,190892
"2019-06-13","Foreign","Accommodation",6034132.59,19441
"2019-06-13","Foreign","Entertainment and sports",371635.07,4376
"2019-06-13","Foreign","Food and beverage services",2117390.61999999,55072
"2019-06-13","Foreign","Human health services",511767.32,685
"2019-06-13","Foreign","Other",539415.74,1621
"2019-06-13","Foreign","Personal services",117185.61,1193
"2019-06-13","Foreign","Professional services",2275211.77,9834
"2019-06-13","Foreign","Retail: Food, beverage, tobacco",1506217,60183
"2019-06-13","Foreign","Retail: Fuel stations",885405.350000002,21372
"2019-06-13","Foreign","Retail: Other goods",9106456.99000003,37804
"2019-06-13","Foreign","Transport services",1307050.37,31437
"2019-06-14","Domestic","Accommodation",3850113.41,23835
"2019-06-14","Domestic","Entertainment and sports",2154383.49,22313
"2019-06-14","Domestic","Food and beverage services",13271199.76,370115
"2019-06-14","Domestic","Human health services",2630774.98,11471
"2019-06-14","Domestic","Other",3322434.22,16474
"2019-06-14","Domestic","Personal services",3192235.81,30620
"2019-06-14","Domestic","Professional services",3865138.03,35487
"2019-06-14","Domestic","Retail: Food, beverage, tobacco",56946978.13,1349721
"2019-06-14","Domestic","Retail: Fuel stations",12516947.54,295738
"2019-06-14","Domestic","Retail: Other goods",50787968.14,561145
"2019-06-14","Domestic","Transport services",3264630.64,207297
"2019-06-14","Foreign","Accommodation",6804261.22,19775
"2019-06-14","Foreign","Entertainment and sports",400412.44,4544
"2019-06-14","Foreign","Food and beverage services",2102276.39,55715
"2019-06-14","Foreign","Human health services",348533.28,675
"2019-06-14","Foreign","Other",444969.55,1690
"2019-06-14","Foreign","Personal services",107924.15,1146
"2019-06-14","Foreign","Professional services",1951780.99,9129
"2019-06-14","Foreign","Retail: Food, beverage, tobacco",1736778.01,63363
"2019-06-14","Foreign","Retail: Fuel stations",998190,23639
"2019-06-14","Foreign","Retail: Other goods",9278205.59000004,39800
"2019-06-14","Foreign","Transport services",1236693.92,30936
"2019-06-15","Domestic","Accommodation",3850804.22,22953
"2019-06-15","Domestic","Entertainment and sports",2633193.37,30572
"2019-06-15","Domestic","Food and beverage services",12555067.77,272375
"2019-06-15","Domestic","Human health services",2182231.37,7873
"2019-06-15","Domestic","Other",1909015.39,13319
"2019-06-15","Domestic","Personal services",2922194.04,28162
"2019-06-15","Domestic","Professional services",2485395.86,25794
"2019-06-15","Domestic","Retail: Food, beverage, tobacco",72831719.3400001,1377487
"2019-06-15","Domestic","Retail: Fuel stations",11836148.13,266829
"2019-06-15","Domestic","Retail: Other goods",74982410.73,752854
"2019-06-15","Domestic","Transport services",2796082.15,192076
"2019-06-15","Foreign","Accommodation",4948688.56999999,16872
"2019-06-15","Foreign","Entertainment and sports",345701.54,5104
"2019-06-15","Foreign","Food and beverage services",2085849.04,49121
"2019-06-15","Foreign","Human health services",126553.69,420
"2019-06-15","Foreign","Other",232286.11,1449
"2019-06-15","Foreign","Personal services",138808.31,1277
"2019-06-15","Foreign","Professional services",1117387.72,7363
"2019-06-15","Foreign","Retail: Food, beverage, tobacco",1916137.25,61750
"2019-06-15","Foreign","Retail: Fuel stations",1036715.21,23587
"2019-06-15","Foreign","Retail: Other goods",9833861.33000006,45769
"2019-06-15","Foreign","Transport services",827210.640000001,26706
"2019-06-16","Domestic","Accommodation",4396445.83,22496
"2019-06-16","Domestic","Entertainment and sports",2081350.51,28350
"2019-06-16","Domestic","Food and beverage services",8666396.82000001,183646
"2019-06-16","Domestic","Human health services",137577.33,2043
"2019-06-16","Domestic","Other",437770.77,6437
"2019-06-16","Domestic","Personal services",301738.39,2770
"2019-06-16","Domestic","Professional services",1049162.45,14877
"2019-06-16","Domestic","Retail: Food, beverage, tobacco",4870767.78,227152
"2019-06-16","Domestic","Retail: Fuel stations",11049436.35,285689
"2019-06-16","Domestic","Retail: Other goods",6652004.07,61502
"2019-06-16","Domestic","Transport services",2679121.23,135968
"2019-06-16","Foreign","Accommodation",4732748.92999999,17783
"2019-06-16","Foreign","Entertainment and sports",351508.89,5269
"2019-06-16","Foreign","Food and beverage services",1821513.86,47532
"2019-06-16","Foreign","Human health services",46621.85,267
"2019-06-16","Foreign","Other",174752.24,1041
"2019-06-16","Foreign","Personal services",99372.22,1047
"2019-06-16","Foreign","Professional services",930678.74,6358
"2019-06-16","Foreign","Retail: Food, beverage, tobacco",583195.41,29972
"2019-06-16","Foreign","Retail: Fuel stations",1029193.81,24902
"2019-06-16","Foreign","Retail: Other goods",5867151.33000002,20374
"2019-06-16","Foreign","Transport services",902562.880000001,24691
"2019-06-17","Domestic","Accommodation",2681822.99,16580
"2019-06-17","Domestic","Entertainment and sports",2081148.91,18844
"2019-06-17","Domestic","Food and beverage services",7196124.39,267421
"2019-06-17","Domestic","Human health services",1863256.98,10333
"2019-06-17","Domestic","Other",2352143.74,13749
"2019-06-17","Domestic","Personal services",1404538.75,14370
"2019-06-17","Domestic","Professional services",4219538.11,38946
"2019-06-17","Domestic","Retail: Food, beverage, tobacco",41885455.81,1220749
"2019-06-17","Domestic","Retail: Fuel stations",10631138.28,259894
"2019-06-17","Domestic","Retail: Other goods",43629238.91,507587
"2019-06-17","Domestic","Transport services",3140794.01,162703
"2019-06-17","Foreign","Accommodation",5185409.68,17933
"2019-06-17","Foreign","Entertainment and sports",242030.21,2732
"2019-06-17","Foreign","Food and beverage services",1725286.07,50164
"2019-06-17","Foreign","Human health services",394086.86,758
"2019-06-17","Foreign","Other",305782.56,930
"2019-06-17","Foreign","Personal services",91817.57,1015
"2019-06-17","Foreign","Professional services",2253164.24,9649
"2019-06-17","Foreign","Retail: Food, beverage, tobacco",1687733.75,64759
"2019-06-17","Foreign","Retail: Fuel stations",899176.489999999,21870
"2019-06-17","Foreign","Retail: Other goods",9507919.19000006,38514
"2019-06-17","Foreign","Transport services",1101538.8,29284
"2019-06-18","Domestic","Accommodation",2773573.49,18673
"2019-06-18","Domestic","Entertainment and sports",1896537.31,18973
"2019-06-18","Domestic","Food and beverage services",8877892.09999999,289695
"2019-06-18","Domestic","Human health services",2424615.29,11911
"2019-06-18","Domestic","Other",2574567.63,13636
"2019-06-18","Domestic","Personal services",2451393.24,23813
"2019-06-18","Domestic","Professional services",3876494.79,36096
"2019-06-18","Domestic","Retail: Food, beverage, tobacco",39290975.17,1166987
"2019-06-18","Domestic","Retail: Fuel stations",10620852.74,261424
"2019-06-18","Domestic","Retail: Other goods",43220747.47,493013
"2019-06-18","Domestic","Transport services",2903988.2,160160
"2019-06-18","Foreign","Accommodation",5412229.83,18662
"2019-06-18","Foreign","Entertainment and sports",248925.57,3376
"2019-06-18","Foreign","Food and beverage services",2023596.58,51040
"2019-06-18","Foreign","Human health services",303427.02,758
"2019-06-18","Foreign","Other",367080.55,1069
"2019-06-18","Foreign","Personal services",141874.89,1101
"2019-06-18","Foreign","Professional services",2192919.29,9584
"2019-06-18","Foreign","Retail: Food, beverage, tobacco",1524118.65,60968
"2019-06-18","Foreign","Retail: Fuel stations",851589.240000001,21226
"2019-06-18","Foreign","Retail: Other goods",8900478.01000006,36857
"2019-06-18","Foreign","Transport services",995566.019999999,27861
"2019-06-19","Domestic","Accommodation",3106887.78,21030
"2019-06-19","Domestic","Entertainment and sports",2016457.26,24124
"2019-06-19","Domestic","Food and beverage services",10187067.82,302675
"2019-06-19","Domestic","Human health services",2566072.78,11837
"2019-06-19","Domestic","Other",2909039.5,14519
"2019-06-19","Domestic","Personal services",2459004,24300
"2019-06-19","Domestic","Professional services",3880350.18,38945
"2019-06-19","Domestic","Retail: Food, beverage, tobacco",43830604.58,1231816
"2019-06-19","Domestic","Retail: Fuel stations",11589167.91,284904
"2019-06-19","Domestic","Retail: Other goods",45975308.68,528876
"2019-06-19","Domestic","Transport services",3157773.54,182170
"2019-06-19","Foreign","Accommodation",5924454.51,19644
"2019-06-19","Foreign","Entertainment and sports",255619.32,3454
"2019-06-19","Foreign","Food and beverage services",1995244.03,53205
"2019-06-19","Foreign","Human health services",484626.78,722
"2019-06-19","Foreign","Other",436105.11,1136
"2019-06-19","Foreign","Personal services",113880.97,1120
"2019-06-19","Foreign","Professional services",1994696.32,9515
"2019-06-19","Foreign","Retail: Food, beverage, tobacco",1538492.52,61155
"2019-06-19","Foreign","Retail: Fuel stations",967606.240000002,23503
"2019-06-19","Foreign","Retail: Other goods",9264491.05000007,37375
"2019-06-19","Foreign","Transport services",1165373.35,30409
"2019-06-20","Domestic","Accommodation",3315018.89,21848
"2019-06-20","Domestic","Entertainment and sports",1997837.67,23448
"2019-06-20","Domestic","Food and beverage services",11148439.31,324285
"2019-06-20","Domestic","Human health services",1966772.99,9691
"2019-06-20","Domestic","Other",2373996.57,12179
"2019-06-20","Domestic","Personal services",2328858.84,22602
"2019-06-20","Domestic","Professional services",3168228.6,32805
"2019-06-20","Domestic","Retail: Food, beverage, tobacco",35500447.73,1007820
"2019-06-20","Domestic","Retail: Fuel stations",11169629.36,270178
"2019-06-20","Domestic","Retail: Other goods",46443723.63,479547
"2019-06-20","Domestic","Transport services",3017272.71,184497
"2019-06-20","Foreign","Accommodation",6441715.21999999,19616
"2019-06-20","Foreign","Entertainment and sports",282846.81,3849
"2019-06-20","Foreign","Food and beverage services",2107153.62,53837
"2019-06-20","Foreign","Human health services",381124.1,700
"2019-06-20","Foreign","Other",418415.65,1065
"2019-06-20","Foreign","Personal services",140652.02,1278
"2019-06-20","Foreign","Professional services",1777494.55,9241
"2019-06-20","Foreign","Retail: Food, beverage, tobacco",1616835.28,60273
"2019-06-20","Foreign","Retail: Fuel stations",1032776.09,25109
"2019-06-20","Foreign","Retail: Other goods",9968071.26000006,42306
"2019-06-20","Foreign","Transport services",987565.29,29901
"2019-06-21","Domestic","Accommodation",4113480.43,23855
"2019-06-21","Domestic","Entertainment and sports",2076009.54,23567
"2019-06-21","Domestic","Food and beverage services",13215923.27,356856
"2019-06-21","Domestic","Human health services",2701538.41,11771
"2019-06-21","Domestic","Other",3323918.55,15345
"2019-06-21","Domestic","Personal services",3237180.88,31925
"2019-06-21","Domestic","Professional services",4162333.22,38754
"2019-06-21","Domestic","Retail: Food, beverage, tobacco",60732307.97,1353183
"2019-06-21","Domestic","Retail: Fuel stations",12040168.03,277966
"2019-06-21","Domestic","Retail: Other goods",60565829.69,654253
"2019-06-21","Domestic","Transport services",3142927.74,200729
"2019-06-21","Foreign","Accommodation",6766808.58999999,19946
"2019-06-21","Foreign","Entertainment and sports",280528.79,3854
"2019-06-21","Foreign","Food and beverage services",2120345.05,55632
"2019-06-21","Foreign","Human health services",482777.7,734
"2019-06-21","Foreign","Other",397040.27,1120
"2019-06-21","Foreign","Personal services",106407.07,1187
"2019-06-21","Foreign","Professional services",2026921.19,9624
"2019-06-21","Foreign","Retail: Food, beverage, tobacco",2013678.1,68704
"2019-06-21","Foreign","Retail: Fuel stations",1113084.73,26461
"2019-06-21","Foreign","Retail: Other goods",10801718.6800001,47726
"2019-06-21","Foreign","Transport services",1106916.93,30587
"2019-06-22","Domestic","Accommodation",4175621.56,23478
"2019-06-22","Domestic","Entertainment and sports",2484052.15,31154
"2019-06-22","Domestic","Food and beverage services",12515768.96,268054
"2019-06-22","Domestic","Human health services",2124552.12,7600
"2019-06-22","Domestic","Other",1594257.77,10303
"2019-06-22","Domestic","Personal services",2869547.9,28029
"2019-06-22","Domestic","Professional services",2673798.89,28467
"2019-06-22","Domestic","Retail: Food, beverage, tobacco",71827727.24,1333417
"2019-06-22","Domestic","Retail: Fuel stations",11364550.31,251313
"2019-06-22","Domestic","Retail: Other goods",77901631.5100001,783526
"2019-06-22","Domestic","Transport services",2720257.58,187924
"2019-06-22","Foreign","Accommodation",5469069.46000001,18476
"2019-06-22","Foreign","Entertainment and sports",437739.96,5260
"2019-06-22","Foreign","Food and beverage services",2071159.26,47855
"2019-06-22","Foreign","Human health services",136668.16,407
