"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2019-01-05","Domestic","Professional services",2418933.2,21968
"2019-01-05","Domestic","Retail: Food, beverage, tobacco",63250241.86,1175149
"2019-01-05","Domestic","Retail: Fuel stations",9285883.97999999,188745
"2019-01-05","Domestic","Retail: Other goods",70484567.73,666337
"2019-01-05","Domestic","Transport services",3732538.3,143006
"2019-01-05","Foreign","Accommodation",6115076.06999999,12860
"2019-01-05","Foreign","Entertainment and sports",326115.52,3625
"2019-01-05","Foreign","Food and beverage services",2098047.09,41503
"2019-01-05","Foreign","Human health services",148184.57,481
"2019-01-05","Foreign","Other",101258.6,370
"2019-01-05","Foreign","Personal services",106657.85,1321
"2019-01-05","Foreign","Professional services",1006148.05,6527
"2019-01-05","Foreign","Retail: Food, beverage, tobacco",1835495.16,46415
"2019-01-05","Foreign","Retail: Fuel stations",870823.1,17544
"2019-01-05","Foreign","Retail: Other goods",8009815.93000002,44493
"2019-01-05","Foreign","Transport services",1303892.87,20146
"2019-01-06","Domestic","Accommodation",4631087.55,17449
"2019-01-06","Domestic","Entertainment and sports",2441696.85,32190
"2019-01-06","Domestic","Food and beverage services",6022119.24,133123
"2019-01-06","Domestic","Human health services",180809.44,1785
"2019-01-06","Domestic","Other",263430.13,2918
"2019-01-06","Domestic","Personal services",343812.56,3388
"2019-01-06","Domestic","Professional services",1411991.41,14693
"2019-01-06","Domestic","Retail: Food, beverage, tobacco",4165802.22,172729
"2019-01-06","Domestic","Retail: Fuel stations",8744990.65,198722
"2019-01-06","Domestic","Retail: Other goods",6398370.22,56528
"2019-01-06","Domestic","Transport services",3485838.49,104524
"2019-01-06","Foreign","Accommodation",5015026.25000001,10561
"2019-01-06","Foreign","Entertainment and sports",311207.99,2917
"2019-01-06","Foreign","Food and beverage services",1371784.96,31942
"2019-01-06","Foreign","Human health services",75032.09,253
"2019-01-06","Foreign","Other",118383.5,354
"2019-01-06","Foreign","Personal services",72418.32,1034
"2019-01-06","Foreign","Professional services",955417.9,5587
"2019-01-06","Foreign","Retail: Food, beverage, tobacco",514899.009999999,19042
"2019-01-06","Foreign","Retail: Fuel stations",715006.05,14799
"2019-01-06","Foreign","Retail: Other goods",3114562.81999999,18274
"2019-01-06","Foreign","Transport services",1482508.68,16988
"2019-01-07","Domestic","Accommodation",2293900.12,30464
"2019-01-07","Domestic","Entertainment and sports",2711860.24,17505
"2019-01-07","Domestic","Food and beverage services",5421790.34,207353
"2019-01-07","Domestic","Human health services",1766421.94,9301
"2019-01-07","Domestic","Other",2190702.68,9334
