"X","FINALPROCESSINGDATE","TYPE","OURCODE","OURCATEGORY","STADTCHARAKTER","COUNTRY","NTRX","ISSUINGBASEAMOUNT","ATV"
533,"02-SEP-20","ATM Withdraws",999,"Other",6,"CHE",15016,6451525,429.64
534,"02-SEP-20","ATM Withdraws",999,"Other",99,"CHE",498,286156,574.61
535,"03-APR-20","ATM Deposits",999,"Other",0,"CHE",1667,2360857,1416.23
536,"03-APR-20","ATM Deposits",999,"Other",1,"CHE",6118,7784136,1272.33
537,"03-APR-20","ATM Deposits",999,"Other",2,"CHE",4046,5994199,1481.51
538,"03-APR-20","ATM Deposits",999,"Other",3,"CHE",1189,1979788,1665.09
539,"03-APR-20","ATM Deposits",999,"Other",4,"CHE",1283,1760488,1372.17
540,"03-APR-20","ATM Deposits",999,"Other",5,"CHE",886,1097539,1238.76
541,"03-APR-20","ATM Deposits",999,"Other",6,"CHE",1097,1596904,1455.7
542,"03-APR-20","ATM Deposits",999,"Other",99,"CHE",91,137473,1510.69
543,"03-APR-20","ATM Withdraws",999,"Other",0,"CHE",25557,12513104,489.62
544,"03-APR-20","ATM Withdraws",999,"Other",1,"CHE",59461,37510357,630.84
545,"03-APR-20","ATM Withdraws",999,"Other",2,"CHE",42406,27674193,652.6
546,"03-APR-20","ATM Withdraws",999,"Other",3,"CHE",12722,8134997,639.44
547,"03-APR-20","ATM Withdraws",999,"Other",4,"CHE",18079,9832639,543.87
548,"03-APR-20","ATM Withdraws",999,"Other",5,"CHE",12485,5955998,477.05
549,"03-APR-20","ATM Withdraws",999,"Other",6,"CHE",10244,5386486,525.82
550,"03-APR-20","ATM Withdraws",999,"Other",99,"CHE",377,352346,934.6
551,"03-APR-21","ATM Deposits",999,"Other",0,"CHE",1662,2977600,1791.58
552,"03-APR-21","ATM Deposits",999,"Other",1,"CHE",7492,9137900,1219.69
553,"03-APR-21","ATM Deposits",999,"Other",2,"CHE",3957,5330483,1347.1
554,"03-APR-21","ATM Deposits",999,"Other",3,"CHE",1132,1784150,1576.1
555,"03-APR-21","ATM Deposits",999,"Other",4,"CHE",1118,1863703,1667
556,"03-APR-21","ATM Deposits",999,"Other",5,"CHE",824,1346582,1634.2
557,"03-APR-21","ATM Deposits",999,"Other",6,"CHE",1235,1795411,1453.77
558,"03-APR-21","ATM Withdraws",999,"Other",0,"CHE",32213,11288389,350.43
559,"03-APR-21","ATM Withdraws",999,"Other",1,"CHE",81440,30434669,373.71
560,"03-APR-21","ATM Withdraws",999,"Other",2,"CHE",47858,21564103,450.59
561,"03-APR-21","ATM Withdraws",999,"Other",3,"CHE",14570,6505658,446.51
562,"03-APR-21","ATM Withdraws",999,"Other",4,"CHE",20433,7640517,373.93
563,"03-APR-21","ATM Withdraws",999,"Other",5,"CHE",14570,5023825,344.81
564,"03-APR-21","ATM Withdraws",999,"Other",6,"CHE",13844,5082751,367.14
565,"03-AUG-20","ATM Deposits",999,"Other",0,"CHE",2823,5308608,1880.48
566,"03-AUG-20","ATM Deposits",999,"Other",1,"CHE",12551,16143761,1286.25
