"Date","Region","Canton","Amount CHF","Number of transactions"
"2019-06-03","Espace Mittelland","NE",2342122.79,47191
"2019-06-03","Espace Mittelland","SO",2697816.06,55661
"2019-06-03","Lake Geneva","GE",11867944.94,221673
"2019-06-03","Lake Geneva","VD",13891291.66,263393
"2019-06-03","Lake Geneva","VS",5620551.64,87418
"2019-06-03","Northwestern","AG",8246988.89,161302
"2019-06-03","Northwestern","BL",3241989.26,63231
"2019-06-03","Northwestern","BS",3550078.8,87096
"2019-06-03","Ticino","TI",6208564.44,83406
"2019-06-03","Zurich","ZH",28703354.74,675484
"2019-06-04","9999","9999",31624.37,1272
"2019-06-04","Central","LU",7917352.88,123297
"2019-06-04","Central","NW",723925.55,10688
"2019-06-04","Central","OW",474111.96,7229
"2019-06-04","Central","SZ",2349235.6,37000
"2019-06-04","Central","UR",488650.81,7332
"2019-06-04","Central","ZG",2671727.95,49086
"2019-06-04","Eastern","AI",172456.46,2243
"2019-06-04","Eastern","AR",361314.96,6296
"2019-06-04","Eastern","GL",434811.59,7524
"2019-06-04","Eastern","GR",2859529.5,47008
"2019-06-04","Eastern","SG",6729326.02000001,122936
"2019-06-04","Eastern","SH",978915.14,20329
"2019-06-04","Eastern","TG",2849753.22,51864
"2019-06-04","Espace Mittelland","BE",14963791.16,295322
"2019-06-04","Espace Mittelland","FR",3776645.55,69979
"2019-06-04","Espace Mittelland","JU",791120.71,14574
"2019-06-04","Espace Mittelland","NE",2391470.83,48444
"2019-06-04","Espace Mittelland","SO",2738219.43,55163
"2019-06-04","Lake Geneva","GE",12070183.68,223667
"2019-06-04","Lake Geneva","VD",13703144.71,263556
"2019-06-04","Lake Geneva","VS",5450582.97999999,85230
"2019-06-04","Northwestern","AG",8362120.58000001,161348
"2019-06-04","Northwestern","BL",3141672.74,62062
"2019-06-04","Northwestern","BS",3544356.03,89102
"2019-06-04","Ticino","TI",5863464.33,80585
"2019-06-04","Zurich","ZH",28499036.76,674085
"2019-06-05","9999","9999",35762.31,1367
"2019-06-05","Central","LU",8675602,131479
"2019-06-05","Central","NW",781477.559999999,10831
"2019-06-05","Central","OW",484502.39,7406
"2019-06-05","Central","SZ",2458917.8,38576
"2019-06-05","Central","UR",488254.56,7350
"2019-06-05","Central","ZG",2776028.94,51487
"2019-06-05","Eastern","AI",164727.31,2234
"2019-06-05","Eastern","AR",378498.59,6631
"2019-06-05","Eastern","GL",432367.23,7984
"2019-06-05","Eastern","GR",3147933.11,50685
"2019-06-05","Eastern","SG",7245738.92,129632
"2019-06-05","Eastern","SH",1029755.33,21432
"2019-06-05","Eastern","TG",2945863.03,53575
"2019-06-05","Espace Mittelland","BE",16294535.22,314605
"2019-06-05","Espace Mittelland","FR",4151724.36,74783
"2019-06-05","Espace Mittelland","JU",876039.02,15613
"2019-06-05","Espace Mittelland","NE",2609475.41,50853
"2019-06-05","Espace Mittelland","SO",2929782.3,58227
"2019-06-05","Lake Geneva","GE",13818559.92,233420
"2019-06-05","Lake Geneva","VD",15353185.97,280768
"2019-06-05","Lake Geneva","VS",5914873.3,92518
"2019-06-05","Northwestern","AG",9010510.38999999,169555
"2019-06-05","Northwestern","BL",3307010.8,63999
"2019-06-05","Northwestern","BS",3757973.85,91461
"2019-06-05","Ticino","TI",6437424.60999999,84161
"2019-06-05","Zurich","ZH",30165238.11,701803
"2019-06-06","9999","9999",37511.77,1314
"2019-06-06","Central","LU",10821689.82,132951
"2019-06-06","Central","NW",783249.29,10835
"2019-06-06","Central","OW",502633.9,7432
"2019-06-06","Central","SZ",2637545.98,39311
"2019-06-06","Central","UR",501490.54,7373
"2019-06-06","Central","ZG",2868833.27,50863
"2019-06-06","Eastern","AI",177596.79,2152
"2019-06-06","Eastern","AR",403195.53,6212
"2019-06-06","Eastern","GL",468915.02,7952
"2019-06-06","Eastern","GR",3351472.88,50045
"2019-06-06","Eastern","SG",7931574.95000001,131493
"2019-06-06","Eastern","SH",1085798.17,21387
"2019-06-06","Eastern","TG",3180083.32,54101
"2019-06-06","Espace Mittelland","BE",18317971.78,314309
"2019-06-06","Espace Mittelland","FR",4186680.75,72745
"2019-06-06","Espace Mittelland","JU",880993.88,14910
"2019-06-06","Espace Mittelland","NE",2684786.65,50737
"2019-06-06","Espace Mittelland","SO",3331093.08,60603
"2019-06-06","Lake Geneva","GE",13778343.15,238992
"2019-06-06","Lake Geneva","VD",14757823.33,268404
"2019-06-06","Lake Geneva","VS",5759477.53,87467
"2019-06-06","Northwestern","AG",9684278.36,169044
"2019-06-06","Northwestern","BL",3327332.94,61652
"2019-06-06","Northwestern","BS",3955058.06,87565
"2019-06-06","Ticino","TI",6390198.82000001,87851
"2019-06-06","Zurich","ZH",30982606.31,684420
"2019-06-07","9999","9999",45261.97,1421
"2019-06-07","Central","LU",11489131.43,154437
"2019-06-07","Central","NW",996194.36,13253
"2019-06-07","Central","OW",658068.3,8984
"2019-06-07","Central","SZ",3416717.28,46913
"2019-06-07","Central","UR",677196,9535
"2019-06-07","Central","ZG",3668959.58,57992
"2019-06-07","Eastern","AI",251863.98,2799
"2019-06-07","Eastern","AR",558455.8,7732
"2019-06-07","Eastern","GL",608046.72,9677
"2019-06-07","Eastern","GR",4110224.77,60693
"2019-06-07","Eastern","SG",9513828.41999999,150686
"2019-06-07","Eastern","SH",1363557.61,24274
"2019-06-07","Eastern","TG",4033432.06,63802
"2019-06-07","Espace Mittelland","BE",21885009.27,353649
"2019-06-07","Espace Mittelland","FR",5433736.5,87491
"2019-06-07","Espace Mittelland","JU",1114632.12,17458
"2019-06-07","Espace Mittelland","NE",3243265.61,56200
"2019-06-07","Espace Mittelland","SO",3832640.56,65875
"2019-06-07","Lake Geneva","GE",14587674.52,248538
"2019-06-07","Lake Geneva","VD",18878078.81,314359
"2019-06-07","Lake Geneva","VS",7318388.39999999,108317
"2019-06-07","Northwestern","AG",11592044.33,190881
"2019-06-07","Northwestern","BL",4332492.17,72693
"2019-06-07","Northwestern","BS",4682274.17,97142
"2019-06-07","Ticino","TI",7374872.35,94324
"2019-06-07","Zurich","ZH",37850550.9,761016
"2019-06-08","9999","9999",46259.69,1197
"2019-06-08","Central","LU",12820710.13,162585
"2019-06-08","Central","NW",1378072.88,16340
"2019-06-08","Central","OW",763687.23,10884
"2019-06-08","Central","SZ",4341387.65,57185
"2019-06-08","Central","UR",682827.34,10322
"2019-06-08","Central","ZG",4051188.8,55568
"2019-06-08","Eastern","AI",356993.2,4127
"2019-06-08","Eastern","AR",618857.47,8477
"2019-06-08","Eastern","GL",782323.86,12027
"2019-06-08","Eastern","GR",5632441.47,74898
"2019-06-08","Eastern","SG",12556261.56,170179
"2019-06-08","Eastern","SH",1685338.55,28307
"2019-06-08","Eastern","TG",5457711.9,79204
"2019-06-08","Espace Mittelland","BE",24941609.56,371692
"2019-06-08","Espace Mittelland","FR",5825168.28,88108
"2019-06-08","Espace Mittelland","JU",1297351.56,19505
"2019-06-08","Espace Mittelland","NE",4016920.22,63191
"2019-06-08","Espace Mittelland","SO",5032684.3,77513
"2019-06-08","Lake Geneva","GE",16015667.32,217652
"2019-06-08","Lake Geneva","VD",23304444.29,340283
"2019-06-08","Lake Geneva","VS",8257273.54999999,114587
"2019-06-08","Northwestern","AG",15890740.92,227857
"2019-06-08","Northwestern","BL",5576508.97,78153
"2019-06-08","Northwestern","BS",5866584.97,98424
"2019-06-08","Ticino","TI",8379194.31,108596
"2019-06-08","Zurich","ZH",47775021.03,739045
"2019-06-09","9999","9999",36137.46,894
"2019-06-09","Central","LU",2217335.53,50046
"2019-06-09","Central","NW",357030.23,3974
"2019-06-09","Central","OW",304192.54,4014
"2019-06-09","Central","SZ",842397.470000001,15217
"2019-06-09","Central","UR",254010.33,4191
"2019-06-09","Central","ZG",498488.7,11400
"2019-06-09","Eastern","AI",101229.02,1319
"2019-06-09","Eastern","AR",163601.8,2315
"2019-06-09","Eastern","GL",141455.27,3156
"2019-06-09","Eastern","GR",1991112.93,27674
"2019-06-09","Eastern","SG",1728684.02,39263
"2019-06-09","Eastern","SH",373702.49,8936
"2019-06-09","Eastern","TG",696428.67,12221
"2019-06-09","Espace Mittelland","BE",6251134.74999999,111950
"2019-06-09","Espace Mittelland","FR",1430705.1,29048
"2019-06-09","Espace Mittelland","JU",235657.49,4608
"2019-06-09","Espace Mittelland","NE",701238.04,14080
"2019-06-09","Espace Mittelland","SO",682740.48,16255
"2019-06-09","Lake Geneva","GE",3742600.86,75723
"2019-06-09","Lake Geneva","VD",4672289.78,93502
"2019-06-09","Lake Geneva","VS",2208905.47,37721
"2019-06-09","Northwestern","AG",2140887.22,51196
"2019-06-09","Northwestern","BL",754364.44,19350
"2019-06-09","Northwestern","BS",1322242.95,34566
"2019-06-09","Ticino","TI",3584717.84,46015
"2019-06-09","Zurich","ZH",9073002.52,231959
"2019-06-10","9999","9999",31624.44,960
"2019-06-10","Central","LU",8093673.18,89967
"2019-06-10","Central","NW",731786.43,8644
"2019-06-10","Central","OW",337881.19,3127
"2019-06-10","Central","SZ",843685.63,13946
"2019-06-10","Central","UR",262029.72,4024
"2019-06-10","Central","ZG",543991.33,13041
"2019-06-10","Eastern","AI",76348.41,855
"2019-06-10","Eastern","AR",150240.19,2215
"2019-06-10","Eastern","GL",150451.66,3331
"2019-06-10","Eastern","GR",2130084.93,27439
"2019-06-10","Eastern","SG",1655359.52,38138
"2019-06-10","Eastern","SH",341673.4,8194
"2019-06-10","Eastern","TG",755973.47,15266
"2019-06-10","Espace Mittelland","BE",6881692.06999999,111211
"2019-06-10","Espace Mittelland","FR",3799762.16,61734
"2019-06-10","Espace Mittelland","JU",213080.31,4612
"2019-06-10","Espace Mittelland","NE",646397.03,13896
"2019-06-10","Espace Mittelland","SO",1657343,31312
"2019-06-10","Lake Geneva","GE",3510758.27,76838
"2019-06-10","Lake Geneva","VD",4042399.67,87902
"2019-06-10","Lake Geneva","VS",6741578.51,94872
"2019-06-10","Northwestern","AG",2205806.86,54988
"2019-06-10","Northwestern","BL",760919.3,20993
"2019-06-10","Northwestern","BS",1566292.27,39627
"2019-06-10","Ticino","TI",3552822.61,47179
"2019-06-10","Zurich","ZH",8835705.72000001,239121
"2019-06-11","9999","9999",32809.57,1247
"2019-06-11","Central","LU",8153154.93,123590
"2019-06-11","Central","NW",727422.58,10185
"2019-06-11","Central","OW",579409.53,7501
"2019-06-11","Central","SZ",2549355.82,39281
"2019-06-11","Central","UR",510962.56,7739
"2019-06-11","Central","ZG",2643452.21,49291
"2019-06-11","Eastern","AI",167265.82,2127
"2019-06-11","Eastern","AR",435075.63,6661
"2019-06-11","Eastern","GL",448954.76,8020
"2019-06-11","Eastern","GR",3413754.76,53037
"2019-06-11","Eastern","SG",7128275.79000001,125957
"2019-06-11","Eastern","SH",997504.72,20602
"2019-06-11","Eastern","TG",3252348.49,57756
"2019-06-11","Espace Mittelland","BE",17955168.96,315273
"2019-06-11","Espace Mittelland","FR",3852929.58,68390
"2019-06-11","Espace Mittelland","JU",818558.08,14508
"2019-06-11","Espace Mittelland","NE",2491222.75,49302
"2019-06-11","Espace Mittelland","SO",2898248.89,56424
"2019-06-11","Lake Geneva","GE",12494625.13,225550
"2019-06-11","Lake Geneva","VD",14764322.76,271524
"2019-06-11","Lake Geneva","VS",5149999.20000001,82089
"2019-06-11","Northwestern","AG",9263953.38999999,167629
"2019-06-11","Northwestern","BL",3402675.73,63931
"2019-06-11","Northwestern","BS",4292397.88,97279
"2019-06-11","Ticino","TI",6085776.25,85396
"2019-06-11","Zurich","ZH",30011925.3699999,673366
"2019-06-12","9999","9999",33276.58,1315
"2019-06-12","Central","LU",8702139.91999999,126038
"2019-06-12","Central","NW",710497.29,10134
"2019-06-12","Central","OW",484289.16,7306
"2019-06-12","Central","SZ",2399504.78,37298
"2019-06-12","Central","UR",494877.88,7209
"2019-06-12","Central","ZG",2569859.82,48757
"2019-06-12","Eastern","AI",159164.98,2033
"2019-06-12","Eastern","AR",344515.94,6090
"2019-06-12","Eastern","GL",435469.86,7446
"2019-06-12","Eastern","GR",2952543.67,47805
"2019-06-12","Eastern","SG",7003688.28,121156
"2019-06-12","Eastern","SH",982715.45,19899
"2019-06-12","Eastern","TG",2962131.72,52876
"2019-06-12","Espace Mittelland","BE",16123102.35,296720
"2019-06-12","Espace Mittelland","FR",3735741.79,68951
"2019-06-12","Espace Mittelland","JU",817978.3,14418
"2019-06-12","Espace Mittelland","NE",2483559.78,47768
"2019-06-12","Espace Mittelland","SO",2784705.06,54414
"2019-06-12","Lake Geneva","GE",13175422.19,230501
"2019-06-12","Lake Geneva","VD",14559722.61,267846
"2019-06-12","Lake Geneva","VS",5454587.03,85859
"2019-06-12","Northwestern","AG",8530437.87999999,159744
"2019-06-12","Northwestern","BL",3154821.08,60357
"2019-06-12","Northwestern","BS",4364368.11,93885
"2019-06-12","Ticino","TI",5540394.74,82149
"2019-06-12","Zurich","ZH",29219204.04,659605
"2019-06-13","9999","9999",36246.34,1355
"2019-06-13","Central","LU",8563855.03,125565
"2019-06-13","Central","NW",699923.47,10089
"2019-06-13","Central","OW",534257.65,7570
"2019-06-13","Central","SZ",2295323.38,36817
"2019-06-13","Central","UR",447324.43,7268
"2019-06-13","Central","ZG",2643398.94,49258
"2019-06-13","Eastern","AI",166020.97,2219
"2019-06-13","Eastern","AR",399498.43,6199
"2019-06-13","Eastern","GL",394604.22,7516
"2019-06-13","Eastern","GR",2954309.42,48674
"2019-06-13","Eastern","SG",7085786.36,123094
"2019-06-13","Eastern","SH",965624.290000001,20048
"2019-06-13","Eastern","TG",3034406.82,54806
"2019-06-13","Espace Mittelland","BE",16345827.37,303464
"2019-06-13","Espace Mittelland","FR",3863061.34,71998
"2019-06-13","Espace Mittelland","JU",809317.72,14632
"2019-06-13","Espace Mittelland","NE",2545940.47,49014
"2019-06-13","Espace Mittelland","SO",2925204.06,56762
"2019-06-13","Lake Geneva","GE",14208088.39,242437
"2019-06-13","Lake Geneva","VD",14178088.52,263923
"2019-06-13","Lake Geneva","VS",5158881.92999999,85309
"2019-06-13","Northwestern","AG",8423171.29999999,160619
"2019-06-13","Northwestern","BL",3220997.34,61434
"2019-06-13","Northwestern","BS",4623863.39,100647
"2019-06-13","Ticino","TI",5862049.82,87021
"2019-06-13","Zurich","ZH",30288927.27,674875
"2019-06-14","9999","9999",37063,1377
"2019-06-14","Central","LU",10408697.98,146153
"2019-06-14","Central","NW",926021.86,12158
"2019-06-14","Central","OW",586449.66,8415
"2019-06-14","Central","SZ",2890086.06,43309
"2019-06-14","Central","UR",618405.13,9231
"2019-06-14","Central","ZG",3412053.45,55261
"2019-06-14","Eastern","AI",209746.38,2562
"2019-06-14","Eastern","AR",454556.17,7129
"2019-06-14","Eastern","GL",509054.02,8932
"2019-06-14","Eastern","GR",3832938.41,56694
"2019-06-14","Eastern","SG",8332182.65,137709
"2019-06-14","Eastern","SH",1168063.81,22359
"2019-06-14","Eastern","TG",3597436.45,61726
"2019-06-14","Espace Mittelland","BE",19928157.04,338874
"2019-06-14","Espace Mittelland","FR",4823420.85,81886
"2019-06-14","Espace Mittelland","JU",1016173.54,16663
"2019-06-14","Espace Mittelland","NE",2905781.27,52211
"2019-06-14","Espace Mittelland","SO",3446822.72,61846
"2019-06-14","Lake Geneva","GE",14464688.52,242709
"2019-06-14","Lake Geneva","VD",17304434.53,293866
"2019-06-14","Lake Geneva","VS",6681404.32,100819
"2019-06-14","Northwestern","AG",10436415.89,185661
"2019-06-14","Northwestern","BL",3923831.48,68912
"2019-06-14","Northwestern","BS",4755214.65,102819
"2019-06-14","Ticino","TI",6396000.26999999,92113
"2019-06-14","Zurich","ZH",35225111.52,736805
"2019-06-15","9999","9999",37585.66,1032
"2019-06-15","Central","LU",12210570.78,150967
"2019-06-15","Central","NW",1220134.89,14260
"2019-06-15","Central","OW",645899.36,9027
"2019-06-15","Central","SZ",3819784.46,52232
"2019-06-15","Central","UR",701184.01,9795
"2019-06-15","Central","ZG",3680763.5,52356
"2019-06-15","Eastern","AI",282401.74,3272
"2019-06-15","Eastern","AR",537414.18,7740
"2019-06-15","Eastern","GL",660324.78,11215
"2019-06-15","Eastern","GR",4774919.92,63446
"2019-06-15","Eastern","SG",10496450.29,148325
"2019-06-15","Eastern","SH",1410684.64,24863
"2019-06-15","Eastern","TG",4629449.16,70446
"2019-06-15","Espace Mittelland","BE",22894938.6,337901
"2019-06-15","Espace Mittelland","FR",5210972.87,80414
"2019-06-15","Espace Mittelland","JU",1121330.66,16917
"2019-06-15","Espace Mittelland","NE",3677635.29,57685
"2019-06-15","Espace Mittelland","SO",4383404.58,69106
"2019-06-15","Lake Geneva","GE",15883448.99,216233
"2019-06-15","Lake Geneva","VD",21616813.22,311164
"2019-06-15","Lake Geneva","VS",7312358.05,102430
"2019-06-15","Northwestern","AG",14421614.95,217098
"2019-06-15","Northwestern","BL",4960777.31,73050
"2019-06-15","Northwestern","BS",6011168.11999999,105874
"2019-06-15","Ticino","TI",7986009.81,103551
"2019-06-15","Zurich","ZH",44162082.33,725636
"2019-06-16","9999","9999",30365.57,895
"2019-06-16","Central","LU",5152201.98,49630
"2019-06-16","Central","NW",328828.61,3957
"2019-06-16","Central","OW",283880.98,3713
"2019-06-16","Central","SZ",843285.06,15200
"2019-06-16","Central","UR",264285.94,4422
"2019-06-16","Central","ZG",528784.54,12319
"2019-06-16","Eastern","AI",69516.79,763
"2019-06-16","Eastern","AR",146171.52,2178
"2019-06-16","Eastern","GL",143494.66,3544
"2019-06-16","Eastern","GR",1801944.86,24593
"2019-06-16","Eastern","SG",1552618.84,36185
"2019-06-16","Eastern","SH",335858.5,8089
"2019-06-16","Eastern","TG",756674.93,15213
"2019-06-16","Espace Mittelland","BE",6458604.14,111713
"2019-06-16","Espace Mittelland","FR",1350023.85,29267
"2019-06-16","Espace Mittelland","JU",221651.26,4716
"2019-06-16","Espace Mittelland","NE",726612.77,14520
"2019-06-16","Espace Mittelland","SO",737852.15,18196
"2019-06-16","Lake Geneva","GE",3962633.29,82211
"2019-06-16","Lake Geneva","VD",4136810.81,93738
"2019-06-16","Lake Geneva","VS",2070125.75,38218
"2019-06-16","Northwestern","AG",2208113.58,56462
"2019-06-16","Northwestern","BL",766011.98,20604
"2019-06-16","Northwestern","BS",1788491.81,44502
"2019-06-16","Ticino","TI",3148381.72,45592
"2019-06-16","Zurich","ZH",9206793.23999999,240995
"2019-06-17","9999","9999",35079.73,1297
"2019-06-17","Central","LU",8242183.52999999,120043
"2019-06-17","Central","NW",688621.62,10261
"2019-06-17","Central","OW",442238.17,7489
"2019-06-17","Central","SZ",2081536.89,36080
"2019-06-17","Central","UR",428978.42,7225
"2019-06-17","Central","ZG",2270085.04,46944
"2019-06-17","Eastern","AI",140942.85,1983
"2019-06-17","Eastern","AR",335396.81,6144
"2019-06-17","Eastern","GL",361646.67,7301
"2019-06-17","Eastern","GR",3103378.71,50738
"2019-06-17","Eastern","SG",5989250.36,115958
"2019-06-17","Eastern","SH",860817.01,19247
"2019-06-17","Eastern","TG",2669943.69,52262
"2019-06-17","Espace Mittelland","BE",15122739.33,288553
"2019-06-17","Espace Mittelland","FR",3466485.37,67329
"2019-06-17","Espace Mittelland","JU",697732.02,13338
"2019-06-17","Espace Mittelland","NE",2150648.97,44991
"2019-06-17","Espace Mittelland","SO",2341672.16,51303
"2019-06-17","Lake Geneva","GE",12931621.78,227873
"2019-06-17","Lake Geneva","VD",13094171.38,257135
"2019-06-17","Lake Geneva","VS",5403920.66000001,87879
"2019-06-17","Northwestern","AG",7479760.9,151246
"2019-06-17","Northwestern","BL",2869398.23,59181
"2019-06-17","Northwestern","BS",3620526.03,88988
"2019-06-17","Ticino","TI",5258597.34,81948
"2019-06-17","Zurich","ZH",27079552.09,658757
"2019-06-18","9999","9999",32619.2,1267
"2019-06-18","Central","LU",8490111.39,119345
"2019-06-18","Central","NW",721180.61,10062
"2019-06-18","Central","OW",483361.07,7255
"2019-06-18","Central","SZ",2196941.08,35502
"2019-06-18","Central","UR",463677.74,7328
"2019-06-18","Central","ZG",2383311.23,47264
"2019-06-18","Eastern","AI",152045.83,2104
"2019-06-18","Eastern","AR",356238.67,5748
"2019-06-18","Eastern","GL",381817.86,7291
"2019-06-18","Eastern","GR",2918385.72,48224
"2019-06-18","Eastern","SG",6140926.06,113106
"2019-06-18","Eastern","SH",903522.81,19039
"2019-06-18","Eastern","TG",2748687.45,51456
"2019-06-18","Espace Mittelland","BE",14626565.57,285202
"2019-06-18","Espace Mittelland","FR",3617423.65,68554
"2019-06-18","Espace Mittelland","JU",743784.12,14010
"2019-06-18","Espace Mittelland","NE",2274515.61,45803
"2019-06-18","Espace Mittelland","SO",2534907,52636
"2019-06-18","Lake Geneva","GE",12162480.6,225036
"2019-06-18","Lake Geneva","VD",13291420.94,254419
"2019-06-18","Lake Geneva","VS",5463907.76,87763
"2019-06-18","Northwestern","AG",7739358.95,150834
"2019-06-18","Northwestern","BL",2766719.45,57772
"2019-06-18","Northwestern","BS",3600845.49,87975
"2019-06-18","Ticino","TI",5367859.58,80610
"2019-06-18","Zurich","ZH",27728658.23,653277
"2019-06-19","9999","9999",38709.13,1432
"2019-06-19","Central","LU",9383495.14,130234
"2019-06-19","Central","NW",877788.48,12779
"2019-06-19","Central","OW",624550.63,9171
"2019-06-19","Central","SZ",2717625.74,41451
"2019-06-19","Central","UR",530917.97,8033
"2019-06-19","Central","ZG",2972459.7,53501
"2019-06-19","Eastern","AI",188950.99,2465
"2019-06-19","Eastern","AR",413084.48,6412
"2019-06-19","Eastern","GL",408074.26,7732
"2019-06-19","Eastern","GR",3225990.44,51530
"2019-06-19","Eastern","SG",6545169.95,119055
"2019-06-19","Eastern","SH",961237.01,20254
"2019-06-19","Eastern","TG",2856566.22,53290
"2019-06-19","Espace Mittelland","BE",15671564.26,295450
"2019-06-19","Espace Mittelland","FR",4289583.58,78175
"2019-06-19","Espace Mittelland","JU",991711.13,17074
"2019-06-19","Espace Mittelland","NE",2446253.05,48368
"2019-06-19","Espace Mittelland","SO",3060375.72,59528
"2019-06-19","Lake Geneva","GE",13465887.16,236796
"2019-06-19","Lake Geneva","VD",14290242.17,269286
"2019-06-19","Lake Geneva","VS",6056996.82999999,91154
"2019-06-19","Northwestern","AG",8736302.78000001,165392
"2019-06-19","Northwestern","BL",2992046.17,60881
"2019-06-19","Northwestern","BS",3564721.61,88474
"2019-06-19","Ticino","TI",6352607.32,92409
"2019-06-19","Zurich","ZH",28896979.03,679022
"2019-06-20","9999","9999",35399.67,1285
"2019-06-20","Central","LU",4027627.38,52306
"2019-06-20","Central","NW",320077.53,3631
"2019-06-20","Central","OW",301369.13,3404
"2019-06-20","Central","SZ",754245.24,14371
"2019-06-20","Central","UR",234236.37,4028
"2019-06-20","Central","ZG",511840.58,12426
"2019-06-20","Eastern","AI",46730.3,558
"2019-06-20","Eastern","AR",411393.76,6275
"2019-06-20","Eastern","GL",510631.59,9262
"2019-06-20","Eastern","GR",3749270.14,52307
"2019-06-20","Eastern","SG",8595228.74,137550
"2019-06-20","Eastern","SH",1104016.56,22393
"2019-06-20","Eastern","TG",3277270.87,56741
"2019-06-20","Espace Mittelland","BE",19967901.83,335752
"2019-06-20","Espace Mittelland","FR",1373169.74,29461
"2019-06-20","Espace Mittelland","JU",209203.7,4596
"2019-06-20","Espace Mittelland","NE",2735314.46,50073
"2019-06-20","Espace Mittelland","SO",703318.17,17767
"2019-06-20","Lake Geneva","GE",14604823.16,247914
"2019-06-20","Lake Geneva","VD",16209255.17,278810
"2019-06-20","Lake Geneva","VS",2154353.83,33581
"2019-06-20","Northwestern","AG",7497876.64,136614
"2019-06-20","Northwestern","BL",3802769.42,64594
"2019-06-20","Northwestern","BS",4290268.2,94979
"2019-06-20","Ticino","TI",2995090.63,41047
"2019-06-20","Zurich","ZH",34057177.26,715667
"2019-06-21","9999","9999",39371.4,1295
"2019-06-21","Central","LU",12763823.39,167992
"2019-06-21","Central","NW",1163056.25,14191
"2019-06-21","Central","OW",690955.33,8993
"2019-06-21","Central","SZ",3681752.99,51080
"2019-06-21","Central","UR",738589.52,10234
"2019-06-21","Central","ZG",3825274.1,55136
"2019-06-21","Eastern","AI",270919.66,2962
"2019-06-21","Eastern","AR",549299.3,6945
"2019-06-21","Eastern","GL",601420.63,11223
"2019-06-21","Eastern","GR",4438142.44,61878
"2019-06-21","Eastern","SG",8814693.88999999,139326
"2019-06-21","Eastern","SH",1151883.25,22095
"2019-06-21","Eastern","TG",3718356.93,60894
"2019-06-21","Espace Mittelland","BE",20752667.86,340575
"2019-06-21","Espace Mittelland","FR",5548992.08,85601
"2019-06-21","Espace Mittelland","JU",1087980.13,17009
"2019-06-21","Espace Mittelland","NE",3169126.43,53489
"2019-06-21","Espace Mittelland","SO",3861577.58,64343
"2019-06-21","Lake Geneva","GE",15809841.52,250103
"2019-06-21","Lake Geneva","VD",18229611.02,298990
"2019-06-21","Lake Geneva","VS",8127264.54,108932
"2019-06-21","Northwestern","AG",11872142.9,203334
"2019-06-21","Northwestern","BL",3944041.62,67273
"2019-06-21","Northwestern","BS",4626437.43,95176
"2019-06-21","Ticino","TI",7423203.88999999,99114
"2019-06-21","Zurich","ZH",36773330.1,736274
"2019-06-22","9999","9999",33964.03,992
"2019-06-22","Central","LU",11213229.5,149230
"2019-06-22","Central","NW",1163050.06,13527
"2019-06-22","Central","OW",627944.89,8699
"2019-06-22","Central","SZ",3901040.91,52805
"2019-06-22","Central","UR",627223.73,9250
"2019-06-22","Central","ZG",3646386.38,49211
"2019-06-22","Eastern","AI",258616.58,2887
"2019-06-22","Eastern","AR",536321.48,7004
"2019-06-22","Eastern","GL",722278.72,13309
"2019-06-22","Eastern","GR",5281705.25,65967
"2019-06-22","Eastern","SG",10928744.14,148407
"2019-06-22","Eastern","SH",1431401.63,23532
"2019-06-22","Eastern","TG",4759691.47,69394
"2019-06-22","Espace Mittelland","BE",23060913.23,336053
"2019-06-22","Espace Mittelland","FR",4929478.91,75307
"2019-06-22","Espace Mittelland","JU",1082436.45,15439
"2019-06-22","Espace Mittelland","NE",3998521.96,58503
"2019-06-22","Espace Mittelland","SO",4246397.75999999,66901
"2019-06-22","Lake Geneva","GE",17218820.69,227768
"2019-06-22","Lake Geneva","VD",22522745.68,326871
"2019-06-22","Lake Geneva","VS",7388101.97,98773
"2019-06-22","Northwestern","AG",14513180.36,225885
"2019-06-22","Northwestern","BL",4917373.94999999,69909
"2019-06-22","Northwestern","BS",5594262.8,92803
"2019-06-22","Ticino","TI",8071501.33000001,100263
"2019-06-22","Zurich","ZH",44539497.63,700210
"2019-06-23","9999","9999",35767.16,1005
"2019-06-23","Central","LU",3840512.95,52899
"2019-06-23","Central","NW",470728.04,5389
"2019-06-23","Central","OW",406207.77,5495
"2019-06-23","Central","SZ",1005997.28,20071
"2019-06-23","Central","UR",300807.81,5382
"2019-06-23","Central","ZG",530008.4,12937
"2019-06-23","Eastern","AI",92471.46,1450
"2019-06-23","Eastern","AR",188308.21,2433
"2019-06-23","Eastern","GL",196189.28,5671
"2019-06-23","Eastern","GR",2196829.08,28770
"2019-06-23","Eastern","SG",1735639.98,37737
"2019-06-23","Eastern","SH",338897.77,8338
"2019-06-23","Eastern","TG",877422.69,17231
"2019-06-23","Espace Mittelland","BE",6736950.98999999,119619
"2019-06-23","Espace Mittelland","FR",1359599.89,29445
"2019-06-23","Espace Mittelland","JU",198915.3,4129
"2019-06-23","Espace Mittelland","NE",726751.06,14647
"2019-06-23","Espace Mittelland","SO",688770.6,17368
"2019-06-23","Lake Geneva","GE",3835811.78,82719
"2019-06-23","Lake Geneva","VD",4645616.55,96300
"2019-06-23","Lake Geneva","VS",2349104.22,40658
"2019-06-23","Northwestern","AG",2232426.81,59030
