"datum","indicator","value","edate","year","month","day"
"2010-11","DHU",105.17350809,2010-11-01,2010,11,1
"2010-12","DHU",123.68070563,2010-12-01,2010,12,1
"2011-01","DHU",95.87381481,2011-01-01,2011,1,1
"2011-02","DHU",90.48224288,2011-02-01,2011,2,1
"2011-03","DHU",100.06126062,2011-03-01,2011,3,1
"2011-04","DHU",100.61453468,2011-04-01,2011,4,1
"2011-05","DHU",102.47297001,2011-05-01,2011,5,1
"2011-06","DHU",97.96919246,2011-06-01,2011,6,1
"2011-07","DHU",101.24324478,2011-07-01,2011,7,1
"2011-08","DHU",91.41511426,2011-08-01,2011,8,1
"2011-09","DHU",94.64346148,2011-09-01,2011,9,1
"2011-10","DHU",100.64587268,2011-10-01,2011,10,1
"2011-11","DHU",102.66501193,2011-11-01,2011,11,1
"2011-12","DHU",119.58347084,2011-12-01,2011,12,1
"2012-01","DHU",96.3632722,2012-01-01,2012,1,1
"2012-02","DHU",88.56862236,2012-02-01,2012,2,1
"2012-03","DHU",101.93450941,2012-03-01,2012,3,1
"2012-04","DHU",97.53203096,2012-04-01,2012,4,1
"2012-05","DHU",105.30509689,2012-05-01,2012,5,1
"2012-06","DHU",99.24175248,2012-06-01,2012,6,1
"2012-07","DHU",101.99834906,2012-07-01,2012,7,1
"2012-08","DHU",94.90330704,2012-08-01,2012,8,1
"2012-09","DHU",97.28811966,2012-09-01,2012,9,1
"2012-10","DHU",102.20580126,2012-10-01,2012,10,1
"2012-11","DHU",104.46435623,2012-11-01,2012,11,1
"2012-12","DHU",122.7928193,2012-12-01,2012,12,1
"2013-01","DHU",96.62251109,2013-01-01,2013,1,1
"2013-02","DHU",89.35619139,2013-02-01,2013,2,1
"2013-03","DHU",99.90147522,2013-03-01,2013,3,1
"2013-04","DHU",98.67180803,2013-04-01,2013,4,1
"2013-05","DHU",105.18441496,2013-05-01,2013,5,1
"2013-06","DHU",100.00190984,2013-06-01,2013,6,1
"2013-07","DHU",101.89176826,2013-07-01,2013,7,1
"2013-08","DHU",96.47010554,2013-08-01,2013,8,1
"2013-09","DHU",97.46266576,2013-09-01,2013,9,1
"2013-10","DHU",102.33080735,2013-10-01,2013,10,1
"2013-11","DHU",107.93115396,2013-11-01,2013,11,1
"2013-12","DHU",124.91352678,2013-12-01,2013,12,1
"2014-01","DHU",95.8099837,2014-01-01,2014,1,1
"2014-02","DHU",89.45373887,2014-02-01,2014,2,1
"2014-03","DHU",101.94407307,2014-03-01,2014,3,1
"2014-04","DHU",98.87324523,2014-04-01,2014,4,1
"2014-05","DHU",104.26460993,2014-05-01,2014,5,1
"2014-06","DHU",102.28198107,2014-06-01,2014,6,1
"2014-07","DHU",100.41528127,2014-07-01,2014,7,1
"2014-08","DHU",97.07493542,2014-08-01,2014,8,1
"2014-09","DHU",97.3695666,2014-09-01,2014,9,1
"2014-10","DHU",102.14235477,2014-10-01,2014,10,1
"2014-11","DHU",106.31789421,2014-11-01,2014,11,1
"2014-12","DHU",126.04016498,2014-12-01,2014,12,1
"2015-01","DHU",95.49247889,2015-01-01,2015,1,1
"2015-02","DHU",87.2130547,2015-02-01,2015,2,1
"2015-03","DHU",99.30034842,2015-03-01,2015,3,1
"2015-04","DHU",97.51423982,2015-04-01,2015,4,1
"2015-05","DHU",102.67294531,2015-05-01,2015,5,1
"2015-06","DHU",100.60603906,2015-06-01,2015,6,1
"2015-07","DHU",100.13366056,2015-07-01,2015,7,1
"2015-08","DHU",94.19121198,2015-08-01,2015,8,1
"2015-09","DHU",95.4207838,2015-09-01,2015,9,1
"2015-10","DHU",100.50677571,2015-10-01,2015,10,1
"2015-11","DHU",103.68206729,2015-11-01,2015,11,1
"2015-12","DHU",123.26639449,2015-12-01,2015,12,1
"2016-01","DHU",93.90493874,2016-01-01,2016,1,1
"2016-02","DHU",86.25175161,2016-02-01,2016,2,1
"2016-03","DHU",97.21576107,2016-03-01,2016,3,1
"2016-04","DHU",95.62712892,2016-04-01,2016,4,1
"2016-05","DHU",100.88859169,2016-05-01,2016,5,1
"2016-06","DHU",96.88356974,2016-06-01,2016,6,1
"2016-07","DHU",97.36812237,2016-07-01,2016,7,1
"2016-08","DHU",92.48370724,2016-08-01,2016,8,1
"2016-09","DHU",93.70795338,2016-09-01,2016,9,1
"2016-10","DHU",100.33073912,2016-10-01,2016,10,1
"2016-11","DHU",104.28125758,2016-11-01,2016,11,1
"2016-12","DHU",117.97787366,2016-12-01,2016,12,1
"2017-01","DHU",94.13024624,2017-01-01,2017,1,1
"2017-02","DHU",87.89502357,2017-02-01,2017,2,1
"2017-03","DHU",100.91944281,2017-03-01,2017,3,1
"2017-04","DHU",95.28368654,2017-04-01,2017,4,1
"2017-05","DHU",101.542548,2017-05-01,2017,5,1
"2017-06","DHU",99.49175641,2017-06-01,2017,6,1
"2017-07","DHU",98.60236129,2017-07-01,2017,7,1
"2017-08","DHU",92.53093822,2017-08-01,2017,8,1
"2017-09","DHU",96.16170537,2017-09-01,2017,9,1
"2017-10","DHU",100.13758766,2017-10-01,2017,10,1
"2017-11","DHU",107.01696156,2017-11-01,2017,11,1
"2017-12","DHU",123.03905939,2017-12-01,2017,12,1
"2018-01","DHU",94.94335006,2018-01-01,2018,1,1
"2018-02","DHU",88.39476304,2018-02-01,2018,2,1
"2018-03","DHU",100.84381096,2018-03-01,2018,3,1
"2018-04","DHU",98.80510952,2018-04-01,2018,4,1
"2018-05","DHU",102.65760952,2018-05-01,2018,5,1
"2018-06","DHU",101.63625159,2018-06-01,2018,6,1
"2018-07","DHU",100.43931929,2018-07-01,2018,7,1
"2018-08","DHU",95.3158893,2018-08-01,2018,8,1
"2018-09","DHU",94.9397159,2018-09-01,2018,9,1
"2018-10","DHU",102.72549712,2018-10-01,2018,10,1
"2018-11","DHU",107.79184752,2018-11-01,2018,11,1
"2018-12","DHU",123.49769746,2018-12-01,2018,12,1
"2019-01","DHU",95.47933322,2019-01-01,2019,1,1
"2019-02","DHU",89.01451298,2019-02-01,2019,2,1
"2019-03","DHU",100.83050615,2019-03-01,2019,3,1
"2019-04","DHU",99.37893977,2019-04-01,2019,4,1
"2019-05","DHU",102.96885924,2019-05-01,2019,5,1
"2019-06","DHU",103.40078918,2019-06-01,2019,6,1
"2019-07","DHU",102.45213097,2019-07-01,2019,7,1
"2019-08","DHU",95.56638053,2019-08-01,2019,8,1
"2019-09","DHU",96.88533084,2019-09-01,2019,9,1
"2019-10","DHU",103.05273015,2019-10-01,2019,10,1
"2019-11","DHU",109.18395215,2019-11-01,2019,11,1
"2019-12","DHU",125.05846828,2019-12-01,2019,12,1
"2020-01","DHU",95.85703213,2020-01-01,2020,1,1
"2020-02","DHU",89.9752102,2020-02-01,2020,2,1
"2020-03","DHU",94.98847087,2020-03-01,2020,3,1
"2020-04","DHU",80.49699567,2020-04-01,2020,4,1
"2020-05","DHU",110.02332704,2020-05-01,2020,5,1
"2020-06","DHU",106.53967518,2020-06-01,2020,6,1
"2020-07","DHU",106.01796963,2020-07-01,2020,7,1
"2020-08","DHU",99.05549496,2020-08-01,2020,8,1
"2020-09","DHU",98.48212217,2020-09-01,2020,9,1
"2020-10","DHU",108.25873717,2020-10-01,2020,10,1
"2020-11","DHU",111.50681899,2020-11-01,2020,11,1
"2020-12","DHU",130.81117101,2020-12-01,2020,12,1
"2021-01","DHU",94.46078135,2021-01-01,2021,1,1
"2021-02","DHU",83.45682513,2021-02-01,2021,2,1
"2021-03","DHU",115.41242354,2021-03-01,2021,3,1
