"datum","transaction","instrument","holder","location","measure","value","edate","year","month","day"
"2005-01","DG","K","AZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","K","AZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","K","AZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","AZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","D","AZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","AZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","II","TT",190.1,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","II","BMF",67,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","II","BTF",352.44608101,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","IA","TT",159.2,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","IA","BMF",56.6,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","IA","BTF",355.52763819,2005-01-01,2005,1,1
"2005-01","BT","K","AZ","II","TT",193.6,2005-01-01,2005,1,1
"2005-01","BT","K","AZ","II","BMF",47,2005-01-01,2005,1,1
"2005-01","BT","K","AZ","II","BTF",242.76859504,2005-01-01,2005,1,1
"2005-01","BT","D","IZ","II","TT",7561.4,2005-01-01,2005,1,1
"2005-01","BT","D","IZ","II","BMF",1695.5,2005-01-01,2005,1,1
"2005-01","BT","D","IZ","II","BTF",224.23096252,2005-01-01,2005,1,1
"2005-01","BT","D","IZ","IA","TT",409.8,2005-01-01,2005,1,1
"2005-01","BT","D","IZ","IA","BMF",121.4,2005-01-01,2005,1,1
"2005-01","BT","D","IZ","IA","BTF",296.2420693,2005-01-01,2005,1,1
"2005-01","BT","D","AZ","II","TT",258.8,2005-01-01,2005,1,1
"2005-01","BT","D","AZ","II","BMF",67.3,2005-01-01,2005,1,1
"2005-01","BT","D","AZ","II","BTF",260.04636785,2005-01-01,2005,1,1
"2005-01","BT","EG","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","BT","EG","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","BT","EG","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","BT","EG","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","BT","EG","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","BT","EG","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","BE","D","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","BE","D","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-02","ZT","K","IZ","II","TT",4459.4,2005-02-01,2005,2,1
"2005-02","ZT","K","IZ","II","BMF",848.6,2005-02-01,2005,2,1
"2005-02","ZT","K","IZ","II","BTF",190.29465847,2005-02-01,2005,2,1
"2005-02","ZT","K","IZ","IA","TT",2824.2,2005-02-01,2005,2,1
"2005-02","ZT","K","IZ","IA","BMF",617.3,2005-02-01,2005,2,1
"2005-02","ZT","K","IZ","IA","BTF",218.57517173,2005-02-01,2005,2,1
"2005-02","ZT","K","AZ","II","TT",1799.3,2005-02-01,2005,2,1
"2005-02","ZT","K","AZ","II","BMF",391.3,2005-02-01,2005,2,1
"2005-02","ZT","K","AZ","II","BTF",217.4734619,2005-02-01,2005,2,1
"2005-02","ZT","D","IZ","II","TT",18249.2,2005-02-01,2005,2,1
"2005-02","ZT","D","IZ","II","BMF",1491,2005-02-01,2005,2,1
"2005-02","ZT","D","IZ","II","BTF",81.7022116,2005-02-01,2005,2,1
"2005-02","ZT","D","IZ","IA","TT",147.8,2005-02-01,2005,2,1
"2005-02","ZT","D","IZ","IA","BMF",24.7,2005-02-01,2005,2,1
"2005-02","ZT","D","IZ","IA","BTF",167.11772666,2005-02-01,2005,2,1
"2005-02","ZT","D","AZ","II","TT",229.5,2005-02-01,2005,2,1
"2005-02","ZT","D","AZ","II","BMF",30.6,2005-02-01,2005,2,1
"2005-02","ZT","D","AZ","II","BTF",133.33333333,2005-02-01,2005,2,1
"2005-02","ZT","EG","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","ZT","EG","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","ZT","EG","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","ZT","EG","IZ","IA","TT",NA,2005-02-01,2005,2,1
"2005-02","ZT","EG","IZ","IA","BMF",NA,2005-02-01,2005,2,1
"2005-02","ZT","EG","IZ","IA","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGT","K","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGT","K","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGT","K","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGT","K","IZ","IA","TT",NA,2005-02-01,2005,2,1
"2005-02","PGT","K","IZ","IA","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGT","K","IZ","IA","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGT","K","AZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGT","K","AZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGT","K","AZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGT","D","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGT","D","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGT","D","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGT","D","IZ","IA","TT",NA,2005-02-01,2005,2,1
"2005-02","PGT","D","IZ","IA","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGT","D","IZ","IA","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGT","D","AZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGT","D","AZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGT","D","AZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGT","EG","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGT","EG","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGT","EG","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGT","EG","IZ","IA","TT",NA,2005-02-01,2005,2,1
"2005-02","PGT","EG","IZ","IA","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGT","EG","IZ","IA","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","K","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGKL","K","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","K","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","K","AZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGKL","K","AZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","K","AZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","D","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGKL","D","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","D","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","D","AZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGKL","D","AZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","D","AZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","EG","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","PGKL","EG","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","PGKL","EG","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","DG","K","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","DG","K","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","DG","K","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","DG","K","IZ","IA","TT",NA,2005-02-01,2005,2,1
"2005-02","DG","K","IZ","IA","BMF",NA,2005-02-01,2005,2,1
"2005-02","DG","K","IZ","IA","BTF",NA,2005-02-01,2005,2,1
"2005-02","DG","K","AZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","DG","K","AZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","DG","K","AZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","DG","D","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","DG","D","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","DG","D","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","DG","D","IZ","IA","TT",NA,2005-02-01,2005,2,1
"2005-02","DG","D","IZ","IA","BMF",NA,2005-02-01,2005,2,1
"2005-02","DG","D","IZ","IA","BTF",NA,2005-02-01,2005,2,1
"2005-02","DG","D","AZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","DG","D","AZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","DG","D","AZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","DG","EG","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","DG","EG","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","DG","EG","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","DG","EG","IZ","IA","TT",NA,2005-02-01,2005,2,1
"2005-02","DG","EG","IZ","IA","BMF",NA,2005-02-01,2005,2,1
"2005-02","DG","EG","IZ","IA","BTF",NA,2005-02-01,2005,2,1
"2005-02","BT","K","IZ","II","TT",189.7,2005-02-01,2005,2,1
"2005-02","BT","K","IZ","II","BMF",66.7,2005-02-01,2005,2,1
"2005-02","BT","K","IZ","II","BTF",351.60780179,2005-02-01,2005,2,1
"2005-02","BT","K","IZ","IA","TT",143.3,2005-02-01,2005,2,1
"2005-02","BT","K","IZ","IA","BMF",52,2005-02-01,2005,2,1
"2005-02","BT","K","IZ","IA","BTF",362.87508723,2005-02-01,2005,2,1
"2005-02","BT","K","AZ","II","TT",203.2,2005-02-01,2005,2,1
"2005-02","BT","K","AZ","II","BMF",49.1,2005-02-01,2005,2,1
"2005-02","BT","K","AZ","II","BTF",241.63385827,2005-02-01,2005,2,1
"2005-02","BT","D","IZ","II","TT",7536,2005-02-01,2005,2,1
"2005-02","BT","D","IZ","II","BMF",1697,2005-02-01,2005,2,1
"2005-02","BT","D","IZ","II","BTF",225.18577495,2005-02-01,2005,2,1
"2005-02","BT","D","IZ","IA","TT",386.8,2005-02-01,2005,2,1
"2005-02","BT","D","IZ","IA","BMF",118.4,2005-02-01,2005,2,1
"2005-02","BT","D","IZ","IA","BTF",306.10134436,2005-02-01,2005,2,1
"2005-02","BT","D","AZ","II","TT",252.6,2005-02-01,2005,2,1
"2005-02","BT","D","AZ","II","BMF",67.4,2005-02-01,2005,2,1
"2005-02","BT","D","AZ","II","BTF",266.82501979,2005-02-01,2005,2,1
"2005-02","BT","EG","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","BT","EG","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-02","BT","EG","IZ","II","BTF",NA,2005-02-01,2005,2,1
"2005-02","BT","EG","IZ","IA","TT",NA,2005-02-01,2005,2,1
"2005-02","BT","EG","IZ","IA","BMF",NA,2005-02-01,2005,2,1
"2005-02","BT","EG","IZ","IA","BTF",NA,2005-02-01,2005,2,1
"2005-02","BE","D","IZ","II","TT",NA,2005-02-01,2005,2,1
"2005-02","BE","D","IZ","II","BMF",NA,2005-02-01,2005,2,1
"2005-03","ZT","K","IZ","II","TT",5305.4,2005-03-01,2005,3,1
"2005-03","ZT","K","IZ","II","BMF",1004.3,2005-03-01,2005,3,1
"2005-03","ZT","K","IZ","II","BTF",189.29769669,2005-03-01,2005,3,1
"2005-03","ZT","K","IZ","IA","TT",3565.6,2005-03-01,2005,3,1
"2005-03","ZT","K","IZ","IA","BMF",766.1,2005-03-01,2005,3,1
"2005-03","ZT","K","IZ","IA","BTF",214.85864932,2005-03-01,2005,3,1
"2005-03","ZT","K","AZ","II","TT",2166.8,2005-03-01,2005,3,1
"2005-03","ZT","K","AZ","II","BMF",439.5,2005-03-01,2005,3,1
"2005-03","ZT","K","AZ","II","BTF",202.83367177,2005-03-01,2005,3,1
"2005-03","ZT","D","IZ","II","TT",21182.8,2005-03-01,2005,3,1
"2005-03","ZT","D","IZ","II","BMF",1763.5,2005-03-01,2005,3,1
"2005-03","ZT","D","IZ","II","BTF",83.25150594,2005-03-01,2005,3,1
"2005-03","ZT","D","IZ","IA","TT",206.7,2005-03-01,2005,3,1
"2005-03","ZT","D","IZ","IA","BMF",33,2005-03-01,2005,3,1
"2005-03","ZT","D","IZ","IA","BTF",159.65166909,2005-03-01,2005,3,1
"2005-03","ZT","D","AZ","II","TT",319.2,2005-03-01,2005,3,1
"2005-03","ZT","D","AZ","II","BMF",43,2005-03-01,2005,3,1
"2005-03","ZT","D","AZ","II","BTF",134.71177945,2005-03-01,2005,3,1
"2005-03","ZT","EG","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","ZT","EG","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","ZT","EG","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","ZT","EG","IZ","IA","TT",NA,2005-03-01,2005,3,1
"2005-03","ZT","EG","IZ","IA","BMF",NA,2005-03-01,2005,3,1
"2005-03","ZT","EG","IZ","IA","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGT","K","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGT","K","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGT","K","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGT","K","IZ","IA","TT",NA,2005-03-01,2005,3,1
"2005-03","PGT","K","IZ","IA","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGT","K","IZ","IA","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGT","K","AZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGT","K","AZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGT","K","AZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGT","D","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGT","D","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGT","D","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGT","D","IZ","IA","TT",NA,2005-03-01,2005,3,1
"2005-03","PGT","D","IZ","IA","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGT","D","IZ","IA","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGT","D","AZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGT","D","AZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGT","D","AZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGT","EG","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGT","EG","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGT","EG","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGT","EG","IZ","IA","TT",NA,2005-03-01,2005,3,1
"2005-03","PGT","EG","IZ","IA","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGT","EG","IZ","IA","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","K","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGKL","K","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","K","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","K","AZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGKL","K","AZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","K","AZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","D","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGKL","D","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","D","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","D","AZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGKL","D","AZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","D","AZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","EG","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","PGKL","EG","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","PGKL","EG","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","DG","K","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","DG","K","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","DG","K","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","DG","K","IZ","IA","TT",NA,2005-03-01,2005,3,1
