"datum","transaction","instrument","holder","location","measure","value","edate","year","month","day"
"2015-01","ZT","K","IZ","II","TT",12841.9,2015-01-01,2015,1,1
"2015-01","ZT","K","IZ","II","BMF",1458.6,2015-01-01,2015,1,1
"2015-01","ZT","K","IZ","II","BTF",113.58132364,2015-01-01,2015,1,1
"2015-01","ZT","K","IZ","IA","TT",9122,2015-01-01,2015,1,1
"2015-01","ZT","K","IZ","IA","BMF",1290.8,2015-01-01,2015,1,1
"2015-01","ZT","K","IZ","IA","BTF",141.50405613,2015-01-01,2015,1,1
"2015-01","ZT","K","AZ","II","TT",3171.9,2015-01-01,2015,1,1
"2015-01","ZT","K","AZ","II","BMF",591.2,2015-01-01,2015,1,1
"2015-01","ZT","K","AZ","II","BTF",186.38670828,2015-01-01,2015,1,1
"2015-01","ZT","D","IZ","II","TT",49198.8,2015-01-01,2015,1,1
"2015-01","ZT","D","IZ","II","BMF",3313.7,2015-01-01,2015,1,1
"2015-01","ZT","D","IZ","II","BTF",67.35326878,2015-01-01,2015,1,1
"2015-01","ZT","D","IZ","IA","TT",1748,2015-01-01,2015,1,1
"2015-01","ZT","D","IZ","IA","BMF",177.5,2015-01-01,2015,1,1
"2015-01","ZT","D","IZ","IA","BTF",101.54462243,2015-01-01,2015,1,1
"2015-01","ZT","D","AZ","II","TT",701.1,2015-01-01,2015,1,1
"2015-01","ZT","D","AZ","II","BMF",59,2015-01-01,2015,1,1
"2015-01","ZT","D","AZ","II","BTF",84.15347311,2015-01-01,2015,1,1
"2015-01","ZT","EG","IZ","II","TT",464.1,2015-01-01,2015,1,1
"2015-01","ZT","EG","IZ","II","BMF",31.4,2015-01-01,2015,1,1
"2015-01","ZT","EG","IZ","II","BTF",67.65783236,2015-01-01,2015,1,1
"2015-01","ZT","EG","IZ","IA","TT",1171.7,2015-01-01,2015,1,1
"2015-01","ZT","EG","IZ","IA","BMF",82.9,2015-01-01,2015,1,1
"2015-01","ZT","EG","IZ","IA","BTF",70.75189895,2015-01-01,2015,1,1
"2015-01","PGT","K","IZ","II","TT",10292.4,2015-01-01,2015,1,1
"2015-01","PGT","K","IZ","II","BMF",1092.8,2015-01-01,2015,1,1
"2015-01","PGT","K","IZ","II","BTF",106.17543041,2015-01-01,2015,1,1
"2015-01","PGT","K","IZ","IA","TT",3531.1,2015-01-01,2015,1,1
"2015-01","PGT","K","IZ","IA","BMF",576.6,2015-01-01,2015,1,1
"2015-01","PGT","K","IZ","IA","BTF",163.29189204,2015-01-01,2015,1,1
"2015-01","PGT","K","AZ","II","TT",2843.1,2015-01-01,2015,1,1
"2015-01","PGT","K","AZ","II","BMF",499.4,2015-01-01,2015,1,1
"2015-01","PGT","K","AZ","II","BTF",175.65333615,2015-01-01,2015,1,1
"2015-01","PGT","D","IZ","II","TT",48779.2,2015-01-01,2015,1,1
"2015-01","PGT","D","IZ","II","BMF",3280.3,2015-01-01,2015,1,1
"2015-01","PGT","D","IZ","II","BTF",67.24792535,2015-01-01,2015,1,1
"2015-01","PGT","D","IZ","IA","TT",1746.1,2015-01-01,2015,1,1
"2015-01","PGT","D","IZ","IA","BMF",177.4,2015-01-01,2015,1,1
"2015-01","PGT","D","IZ","IA","BTF",101.59784663,2015-01-01,2015,1,1
"2015-01","PGT","D","AZ","II","TT",692,2015-01-01,2015,1,1
"2015-01","PGT","D","AZ","II","BMF",57.1,2015-01-01,2015,1,1
"2015-01","PGT","D","AZ","II","BTF",82.51445087,2015-01-01,2015,1,1
"2015-01","PGT","EG","IZ","II","TT",368.8,2015-01-01,2015,1,1
"2015-01","PGT","EG","IZ","II","BMF",23.7,2015-01-01,2015,1,1
"2015-01","PGT","EG","IZ","II","BTF",64.26247289,2015-01-01,2015,1,1
"2015-01","PGT","EG","IZ","IA","TT",281.2,2015-01-01,2015,1,1
"2015-01","PGT","EG","IZ","IA","BMF",30.6,2015-01-01,2015,1,1
"2015-01","PGT","EG","IZ","IA","BTF",108.81934566,2015-01-01,2015,1,1
"2015-01","PGKL","K","IZ","II","TT",1189.5,2015-01-01,2015,1,1
"2015-01","PGKL","K","IZ","II","BMF",28.3,2015-01-01,2015,1,1
"2015-01","PGKL","K","IZ","II","BTF",23.79150904,2015-01-01,2015,1,1
"2015-01","PGKL","K","AZ","II","TT",12.1,2015-01-01,2015,1,1
"2015-01","PGKL","K","AZ","II","BMF",0.4,2015-01-01,2015,1,1
"2015-01","PGKL","K","AZ","II","BTF",33.05785124,2015-01-01,2015,1,1
"2015-01","PGKL","D","IZ","II","TT",5.9,2015-01-01,2015,1,1
"2015-01","PGKL","D","IZ","II","BMF",0.2,2015-01-01,2015,1,1
"2015-01","PGKL","D","IZ","II","BTF",33.89830508,2015-01-01,2015,1,1
"2015-01","PGKL","D","AZ","II","TT",1.8,2015-01-01,2015,1,1
"2015-01","PGKL","D","AZ","II","BMF",0,2015-01-01,2015,1,1
"2015-01","PGKL","D","AZ","II","BTF",0,2015-01-01,2015,1,1
"2015-01","PGKL","EG","IZ","II","TT",60.2,2015-01-01,2015,1,1
"2015-01","PGKL","EG","IZ","II","BMF",0.6,2015-01-01,2015,1,1
"2015-01","PGKL","EG","IZ","II","BTF",9.96677741,2015-01-01,2015,1,1
"2015-01","DG","K","IZ","II","TT",2549.5,2015-01-01,2015,1,1
"2015-01","DG","K","IZ","II","BMF",365.8,2015-01-01,2015,1,1
"2015-01","DG","K","IZ","II","BTF",143.47911355,2015-01-01,2015,1,1
"2015-01","DG","K","IZ","IA","TT",5590.9,2015-01-01,2015,1,1
"2015-01","DG","K","IZ","IA","BMF",714.2,2015-01-01,2015,1,1
"2015-01","DG","K","IZ","IA","BTF",127.74329714,2015-01-01,2015,1,1
"2015-01","DG","K","AZ","II","TT",328.8,2015-01-01,2015,1,1
"2015-01","DG","K","AZ","II","BMF",91.7,2015-01-01,2015,1,1
"2015-01","DG","K","AZ","II","BTF",278.89294404,2015-01-01,2015,1,1
"2015-01","DG","D","IZ","II","TT",419.6,2015-01-01,2015,1,1
"2015-01","DG","D","IZ","II","BMF",33.4,2015-01-01,2015,1,1
"2015-01","DG","D","IZ","II","BTF",79.59961868,2015-01-01,2015,1,1
"2015-01","DG","D","IZ","IA","TT",1.9,2015-01-01,2015,1,1
"2015-01","DG","D","IZ","IA","BMF",0.1,2015-01-01,2015,1,1
"2015-01","DG","D","IZ","IA","BTF",52.63157895,2015-01-01,2015,1,1
"2015-01","DG","D","AZ","II","TT",9.1,2015-01-01,2015,1,1
"2015-01","DG","D","AZ","II","BMF",1.9,2015-01-01,2015,1,1
"2015-01","DG","D","AZ","II","BTF",208.79120879,2015-01-01,2015,1,1
"2015-01","DG","EG","IZ","II","TT",95.3,2015-01-01,2015,1,1
"2015-01","DG","EG","IZ","II","BMF",7.7,2015-01-01,2015,1,1
"2015-01","DG","EG","IZ","II","BTF",80.79748164,2015-01-01,2015,1,1
"2015-01","DG","EG","IZ","IA","TT",890.5,2015-01-01,2015,1,1
"2015-01","DG","EG","IZ","IA","BMF",52.3,2015-01-01,2015,1,1
"2015-01","DG","EG","IZ","IA","BTF",58.73104997,2015-01-01,2015,1,1
"2015-01","BT","K","IZ","II","TT",292.2,2015-01-01,2015,1,1
"2015-01","BT","K","IZ","II","BMF",81,2015-01-01,2015,1,1
"2015-01","BT","K","IZ","II","BTF",277.2073922,2015-01-01,2015,1,1
"2015-01","BT","K","IZ","IA","TT",224.3,2015-01-01,2015,1,1
"2015-01","BT","K","IZ","IA","BMF",59.2,2015-01-01,2015,1,1
"2015-01","BT","K","IZ","IA","BTF",263.93223362,2015-01-01,2015,1,1
"2015-01","BT","K","AZ","II","TT",322.9,2015-01-01,2015,1,1
"2015-01","BT","K","AZ","II","BMF",71.7,2015-01-01,2015,1,1
"2015-01","BT","K","AZ","II","BTF",222.05017033,2015-01-01,2015,1,1
"2015-01","BT","D","IZ","II","TT",9856.6,2015-01-01,2015,1,1
"2015-01","BT","D","IZ","II","BMF",2271.9,2015-01-01,2015,1,1
"2015-01","BT","D","IZ","II","BTF",230.49530264,2015-01-01,2015,1,1
"2015-01","BT","D","IZ","IA","TT",1035.8,2015-01-01,2015,1,1
"2015-01","BT","D","IZ","IA","BMF",259.5,2015-01-01,2015,1,1
"2015-01","BT","D","IZ","IA","BTF",250.53099054,2015-01-01,2015,1,1
"2015-01","BT","D","AZ","II","TT",110.8,2015-01-01,2015,1,1
"2015-01","BT","D","AZ","II","BMF",23.5,2015-01-01,2015,1,1
"2015-01","BT","D","AZ","II","BTF",212.09386282,2015-01-01,2015,1,1
"2015-01","BT","EG","IZ","II","TT",34.9,2015-01-01,2015,1,1
"2015-01","BT","EG","IZ","II","BMF",9.5,2015-01-01,2015,1,1
