"Date","Cardholder origin","Merchant category","Scaled Value","Scaled Number of Transactions"
"2019-01-01","Domestic","Accommodation",3.12666105049147,1.05720137502456
"2019-01-01","Domestic","Entertainment and sports",0.677593226695814,0.865236309403637
"2019-01-01","Domestic","Food and beverage services",3.62533147310306,4.95472438670085
"2019-01-01","Domestic","Human health services",0.0618461416558803,0.0559784814230974
"2019-01-01","Domestic","Other",0.00877588627720238,0.0177078256353575
"2019-01-01","Domestic","Other",0.0748846995039188,0.0726326744390766
"2019-01-01","Domestic","Personal services",0.122855911201269,0.102508257420803
"2019-01-01","Domestic","Professional services",0.398444079313735,0.396063900439195
"2019-01-01","Domestic","Retail: Food, beverage, tobacco",1.16032704762681,4.25623393635107
"2019-01-01","Domestic","Retail: Fuel stations",2.49283733245992,5.05896603972127
"2019-01-01","Domestic","Retail: Other goods",1.95924534225571,1.54211029698165
"2019-01-01","Domestic","Transport services",2.18262931837453,4.3175825453181
"2019-01-01","Foreign","Accommodation",2.56302771301407,0.614301805246547
"2019-01-01","Foreign","Entertainment and sports",0.150890426716599,0.132315864104504
"2019-01-01","Foreign","Food and beverage services",0.987630850772457,1.54608691041608
"2019-01-01","Foreign","Human health services",0.0630684807552433,0.0116239469621732
"2019-01-01","Foreign","Other",0.00258631677808772,0.000781727427280656
"2019-01-01","Foreign","Other",0.0203310708689174,0.00713751129256251
"2019-01-01","Foreign","Personal services",0.0292290665265744,0.0385765491288498
"2019-01-01","Foreign","Professional services",0.305095577610754,0.194072330859676
"2019-01-01","Foreign","Retail: Food, beverage, tobacco",0.242734870738026,0.798993406978855
"2019-01-01","Foreign","Retail: Fuel stations",0.24202510751662,0.480490462585506
"2019-01-01","Foreign","Retail: Other goods",1.02433216787183,0.554210757792973
"2019-01-01","Foreign","Transport services",0.693405392879217,0.860443980392917
"2019-01-02","Domestic","Accommodation",3.13909827583568,0.82207136015814
"2019-01-02","Domestic","Entertainment and sports",1.28171417275161,1.44901675683723
"2019-01-02","Domestic","Food and beverage services",2.85038261702833,5.55641658866386
"2019-01-02","Domestic","Human health services",0.302022562024366,0.141186770996689
"2019-01-02","Domestic","Other",0.0966103870032856,0.0670246298520632
"2019-01-02","Domestic","Other",0.228496432173567,0.0979538454531674
"2019-01-02","Domestic","Personal services",0.269156948762505,0.272245073587741
"2019-01-02","Domestic","Professional services",0.884294716530898,0.786995590377547
"2019-01-02","Domestic","Retail: Food, beverage, tobacco",9.731207029766,20.1274079753871
"2019-01-02","Domestic","Retail: Fuel stations",3.53570079516029,6.51236726778107
"2019-01-02","Domestic","Retail: Other goods",16.3797354592025,12.4685524651265
"2019-01-02","Domestic","Transport services",1.93230100011624,4.24596951534939
"2019-01-02","Foreign","Accommodation",2.82237343033966,0.543776396046227
"2019-01-02","Foreign","Entertainment and sports",0.201446279134862,0.174767062220745
"2019-01-02","Foreign","Food and beverage services",0.863767590048727,1.46142243122668
"2019-01-02","Foreign","Human health services",0.108497806853732,0.0272245073587741
"2019-01-02","Foreign","Other",0.0138048958311473,0.00431649492454971
"2019-01-02","Foreign","Other",0.0524772522524436,0.0162123470788206
"2019-01-02","Foreign","Personal services",0.0357102229819025,0.0413635773478504
"2019-01-02","Foreign","Professional services",0.644291650599394,0.296580588280478
"2019-01-02","Foreign","Retail: Food, beverage, tobacco",0.732761286926354,1.74250442355759
"2019-01-02","Foreign","Retail: Fuel stations",0.336040053411869,0.604853099821154
"2019-01-02","Foreign","Retail: Other goods",3.40951570574634,1.59050942117502
"2019-01-02","Foreign","Transport services",0.775555498703627,0.886342949940215
"2019-01-03","Domestic","Accommodation",2.07309652271903,1.12660517530747
"2019-01-03","Domestic","Entertainment and sports",1.20158597928361,1.14910532995355
"2019-01-03","Domestic","Food and beverage services",3.25711490480561,7.17517016166803
"2019-01-03","Domestic","Human health services",0.751648383630628,0.287131882855086
"2019-01-03","Domestic","Other",0.427776975232696,0.194922034584981
"2019-01-03","Domestic","Other",0.43337363559009,0.13534080936659
"2019-01-03","Domestic","Personal services",0.792873202824687,0.712153686252677
"2019-01-03","Domestic","Professional services",1.80271729359748,1.34776606092987
"2019-01-03","Domestic","Retail: Food, beverage, tobacco",16.8343251003538,33.4534474519425
"2019-01-03","Domestic","Retail: Fuel stations",3.71743932439044,6.51110970626762
"2019-01-03","Domestic","Retail: Other goods",25.3763986799922,21.1100393514789
"2019-01-03","Domestic","Transport services",2.56232058135907,5.48918802991773
"2019-01-03","Foreign","Accommodation",2.47323034178679,0.53425971432281
"2019-01-03","Foreign","Entertainment and sports",0.157942080922962,0.140405043569408
"2019-01-03","Foreign","Food and beverage services",0.856588931435113,1.44221912703479
"2019-01-03","Foreign","Human health services",0.105715070272398,0.0289579029583965
"2019-01-03","Foreign","Other",0.03123636429098,0.0084630491040384
"2019-01-03","Foreign","Other",0.0569200882215407,0.0173679441452354
"2019-01-03","Foreign","Personal services",0.0487687916994851,0.0549248488037191
"2019-01-03","Foreign","Professional services",0.71481358110852,0.328461472053924
"2019-01-03","Foreign","Retail: Food, beverage, tobacco",0.746634204049866,1.79260295520158
"2019-01-03","Foreign","Retail: Fuel stations",0.302605493143464,0.535891145475396
"2019-01-03","Foreign","Retail: Other goods",3.80138415458758,1.6965524460931
"2019-01-03","Foreign","Transport services",0.868682118631977,1.02769966168196
"2019-01-04","Domestic","Accommodation",2.36951694195599,1.17163947274864
"2019-01-04","Domestic","Entertainment and sports",1.18013451901743,1.2587171105179
"2019-01-04","Domestic","Food and beverage services",4.03664337173017,8.21299829175563
