"CubeId";"plkoprgru"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1984-06";"FK";"83.4043"
"1984-06";"EU";"39.8451"
"1984-06";"RH";"46.5707"
"1984-06";"SWD";"65.7816"
"1984-06";"T";"65.6727"
"1984-07";"NG";"77.6192"
"1984-07";"AGT";"55.0216"
"1984-07";"BS";"75.5368"
"1984-07";"WE";"50.3444"
"1984-07";"HH";"84.9011"
"1984-07";"G";"68.2575"
"1984-07";"V";"67.5278"
"1984-07";"N";"208.1664"
"1984-07";"FK";"83.4063"
"1984-07";"EU";"39.8451"
"1984-07";"RH";"46.5707"
"1984-07";"SWD";"65.7816"
"1984-07";"T";"65.5566"
"1984-08";"NG";"77.1398"
"1984-08";"AGT";"54.9007"
"1984-08";"BS";"75.5368"
"1984-08";"WE";"50.3341"
"1984-08";"HH";"84.9011"
"1984-08";"G";"68.2575"
"1984-08";"V";"67.5286"
"1984-08";"N";"208.1664"
"1984-08";"FK";"86.7771"
"1984-08";"EU";"40.0095"
"1984-08";"RH";"46.502"
"1984-08";"SWD";"65.7816"
"1984-08";"T";"65.7892"
"1984-09";"NG";"76.0686"
"1984-09";"AGT";"54.9007"
"1984-09";"BS";"76.4081"
"1984-09";"WE";"50.5042"
"1984-09";"HH";"85.1116"
"1984-09";"G";"68.2592"
"1984-09";"V";"67.5757"
"1984-09";"N";"208.1664"
"1984-09";"FK";"86.7771"
"1984-09";"EU";"40.0095"
"1984-09";"RH";"46.502"
"1984-09";"SWD";"66.046"
"1984-09";"T";"65.7491"
"1984-10";"NG";"76.9995"
"1984-10";"AGT";"54.9007"
"1984-10";"BS";"76.4081"
"1984-10";"WE";"50.8273"
"1984-10";"HH";"85.1116"
"1984-10";"G";"69.2883"
"1984-10";"V";"68.5756"
"1984-10";"N";"208.1664"
"1984-10";"FK";"86.7771"
"1984-10";"EU";"40.0095"
"1984-10";"RH";"46.502"
"1984-10";"SWD";"66.046"
"1984-10";"T";"66.1649"
"1984-11";"NG";"77.8487"
"1984-11";"AGT";"54.9481"
"1984-11";"BS";"76.4081"
"1984-11";"WE";"51.1203"
"1984-11";"HH";"85.1116"
"1984-11";"G";"69.2883"
"1984-11";"V";"68.475"
"1984-11";"N";"208.1664"
"1984-11";"FK";"87.0503"
"1984-11";"EU";"40.9431"
"1984-11";"RH";"47.2675"
"1984-11";"SWD";"66.046"
"1984-11";"T";"66.5102"
"1984-12";"NG";"77.3462"
"1984-12";"AGT";"54.9481"
"1984-12";"BS";"76.7563"
"1984-12";"WE";"51.186"
"1984-12";"HH";"85.4074"
"1984-12";"G";"69.3297"
"1984-12";"V";"68.4612"
"1984-12";"N";"208.1664"
"1984-12";"FK";"87.0503"
"1984-12";"EU";"40.9431"
"1984-12";"RH";"47.2675"
"1984-12";"SWD";"66.1712"
"1984-12";"T";"66.4889"
"1985-01";"NG";"79.0736"
"1985-01";"AGT";"54.9481"
"1985-01";"BS";"76.7563"
"1985-01";"WE";"51.8347"
"1985-01";"HH";"85.4074"
"1985-01";"G";"70.5458"
"1985-01";"V";"69.4448"
"1985-01";"N";"208.1664"
"1985-01";"FK";"87.0712"
"1985-01";"EU";"40.9431"
"1985-01";"RH";"47.2675"
"1985-01";"SWD";"66.1712"
"1985-01";"T";"67.1388"
"1985-02";"NG";"80.0383"
"1985-02";"AGT";"54.8832"
"1985-02";"BS";"76.7563"
"1985-02";"WE";"52.0134"
"1985-02";"HH";"85.4074"
"1985-02";"G";"70.5458"
"1985-02";"V";"69.7015"
"1985-02";"N";"208.1664"
"1985-02";"FK";"88.3267"
"1985-02";"EU";"40.9305"
"1985-02";"RH";"48.7475"
"1985-02";"SWD";"66.1712"
"1985-02";"T";"67.6865"
"1985-03";"NG";"80.6059"
"1985-03";"AGT";"54.8832"
"1985-03";"BS";"77.9275"
"1985-03";"WE";"52.2896"
"1985-03";"HH";"86.3018"
"1985-03";"G";"70.5702"
"1985-03";"V";"70.3211"
"1985-03";"N";"208.1664"
"1985-03";"FK";"88.3267"
"1985-03";"EU";"40.9305"
"1985-03";"RH";"48.7475"
"1985-03";"SWD";"67.3164"
"1985-03";"T";"68.0631"
"1985-04";"NG";"81.0279"
"1985-04";"AGT";"54.8832"
"1985-04";"BS";"77.9275"
"1985-04";"WE";"51.7429"
"1985-04";"HH";"86.3018"
"1985-04";"G";"70.6442"
"1985-04";"V";"70.4432"
"1985-04";"N";"208.1664"
"1985-04";"FK";"88.3319"
"1985-04";"EU";"40.9305"
"1985-04";"RH";"48.7475"
"1985-04";"SWD";"67.3164"
"1985-04";"T";"67.9801"
"1985-05";"NG";"80.4609"
"1985-05";"AGT";"55.9697"
"1985-05";"BS";"77.9275"
"1985-05";"WE";"52.1653"
"1985-05";"HH";"86.3018"
"1985-05";"G";"70.6442"
"1985-05";"V";"71.0384"
"1985-05";"N";"208.1664"
"1985-05";"FK";"86.0203"
"1985-05";"EU";"41.2518"
"1985-05";"RH";"49.0068"
"1985-05";"SWD";"67.3164"
"1985-05";"T";"67.9329"
"1985-06";"NG";"80.1114"
"1985-06";"AGT";"55.9697"
"1985-06";"BS";"78.4476"
"1985-06";"WE";"51.9231"
"1985-06";"HH";"86.8279"
"1985-06";"G";"70.6903"
"1985-06";"V";"71.3518"
"1985-06";"N";"208.1664"
"1985-06";"FK";"86.0203"
"1985-06";"EU";"41.2518"
"1985-06";"RH";"49.0068"
"1985-06";"SWD";"67.5087"
"1985-06";"T";"67.8994"
"1985-07";"NG";"79.2052"
"1985-07";"AGT";"55.9697"
"1985-07";"BS";"78.4476"
"1985-07";"WE";"51.8496"
"1985-07";"HH";"86.8279"
"1985-07";"G";"71.1704"
"1985-07";"V";"71.245"
"1985-07";"N";"208.1664"
"1985-07";"FK";"86.0472"
"1985-07";"EU";"41.2518"
"1985-07";"RH";"49.0068"
"1985-07";"SWD";"67.5087"
"1985-07";"T";"67.7543"
"1985-08";"NG";"77.2881"
"1985-08";"AGT";"56.4628"
"1985-08";"BS";"78.4476"
"1985-08";"WE";"51.7742"
"1985-08";"HH";"86.8279"
"1985-08";"G";"71.1704"
"1985-08";"V";"70.4695"
"1985-08";"N";"208.1664"
"1985-08";"FK";"90.4092"
"1985-08";"EU";"41.4413"
"1985-08";"RH";"48.7369"
"1985-08";"SWD";"67.5087"
"1985-08";"T";"67.7398"
"1985-09";"NG";"77.3188"
"1985-09";"AGT";"56.4628"
"1985-09";"BS";"79.6177"
"1985-09";"WE";"52.2115"
"1985-09";"HH";"87.222"
"1985-09";"G";"71.1773"
"1985-09";"V";"70.2379"
"1985-09";"N";"208.1664"
"1985-09";"FK";"90.4092"
"1985-09";"EU";"41.4413"
"1985-09";"RH";"48.7369"
"1985-09";"SWD";"67.8494"
"1985-09";"T";"67.9487"
"1985-10";"NG";"77.9306"
"1985-10";"AGT";"56.4628"
"1985-10";"BS";"79.6177"
"1985-10";"WE";"52.132"
"1985-10";"HH";"87.222"
"1985-10";"G";"71.1773"
"1985-10";"V";"71.1088"
"1985-10";"N";"208.1664"
"1985-10";"FK";"90.4079"
"1985-10";"EU";"41.4413"
"1985-10";"RH";"48.7369"
"1985-10";"SWD";"67.8494"
"1985-10";"T";"68.1178"
"1985-11";"NG";"78.4601"
"1985-11";"AGT";"56.4907"
"1985-11";"BS";"79.6177"
"1985-11";"WE";"52.978"
"1985-11";"HH";"87.222"
"1985-11";"G";"71.1773"
"1985-11";"V";"70.9933"
"1985-11";"N";"208.1664"
"1985-11";"FK";"90.8979"
"1985-11";"EU";"43.5297"
"1985-11";"RH";"49.4292"
"1985-11";"SWD";"67.8494"
"1985-11";"T";"68.5995"
"1985-12";"NG";"79.1915"
"1985-12";"AGT";"56.4907"
"1985-12";"BS";"80.1601"
"1985-12";"WE";"52.7016"
"1985-12";"HH";"87.485"
"1985-12";"G";"71.2288"
"1985-12";"V";"70.6849"
"1985-12";"N";"208.1664"
"1985-12";"FK";"90.8979"
"1985-12";"EU";"43.5297"
"1985-12";"RH";"49.4292"
"1985-12";"SWD";"67.8982"
"1985-12";"T";"68.6419"
"1986-01";"NG";"79.6809"
"1986-01";"AGT";"56.4907"
"1986-01";"BS";"80.1601"
"1986-01";"WE";"52.0439"
"1986-01";"HH";"87.485"
"1986-01";"G";"72.1588"
"1986-01";"V";"70.9763"
"1986-01";"N";"209.389"
"1986-01";"FK";"90.9128"
"1986-01";"EU";"43.5297"
"1986-01";"RH";"49.4292"
"1986-01";"SWD";"67.8982"
"1986-01";"T";"68.6128"
"1986-02";"NG";"79.639"
"1986-02";"AGT";"56.7631"
"1986-02";"BS";"80.1601"
"1986-02";"WE";"51.5528"
"1986-02";"HH";"87.485"
"1986-02";"G";"72.1588"
"1986-02";"V";"69.8039"
"1986-02";"N";"207.4044"
"1986-02";"FK";"92.0693"
"1986-02";"EU";"43.5771"
"1986-02";"RH";"50.6919"
"1986-02";"SWD";"67.8982"
"1986-02";"T";"68.5958"
"1986-03";"NG";"79.9801"
"1986-03";"AGT";"56.7631"
"1986-03";"BS";"80.8774"
"1986-03";"WE";"51.6423"
"1986-03";"HH";"88.2787"
"1986-03";"G";"72.1774"
"1986-03";"V";"69.0482"
"1986-03";"N";"207.4044"
"1986-03";"FK";"92.0693"
"1986-03";"EU";"43.5771"
"1986-03";"RH";"50.6919"
"1986-03";"SWD";"68.5237"
"1986-03";"T";"68.6804"
"1986-04";"NG";"80.4935"
"1986-04";"AGT";"56.7631"
"1986-04";"BS";"80.8774"
"1986-04";"WE";"51.3078"
"1986-04";"HH";"88.2787"
"1986-04";"G";"72.4276"
"1986-04";"V";"68.7841"
"1986-04";"N";"207.4044"
"1986-04";"FK";"92.0721"
"1986-04";"EU";"43.5771"
"1986-04";"RH";"50.6919"
"1986-04";"SWD";"68.5237"
"1986-04";"T";"68.6427"
"1986-05";"NG";"80.5667"
"1986-05";"AGT";"56.9474"
"1986-05";"BS";"80.8774"
"1986-05";"WE";"51.7457"
"1986-05";"HH";"88.2787"
"1986-05";"G";"72.4276"
"1986-05";"V";"68.7432"
"1986-05";"N";"207.4044"
"1986-05";"FK";"88.0102"
"1986-05";"EU";"43.5717"
"1986-05";"RH";"50.9376"
"1986-05";"SWD";"68.5237"
"1986-05";"T";"68.4336"
"1986-06";"NG";"81.2011"
"1986-06";"AGT";"56.9474"
"1986-06";"BS";"81.2849"
"1986-06";"WE";"51.1257"
"1986-06";"HH";"88.6817"
"1986-06";"G";"72.5023"
"1986-06";"V";"68.9684"
"1986-06";"N";"207.4044"
"1986-06";"FK";"88.0102"
"1986-06";"EU";"43.5717"
"1986-06";"RH";"50.9376"
"1986-06";"SWD";"68.8277"
"1986-06";"T";"68.4198"
"1986-07";"NG";"81.0374"
"1986-07";"AGT";"56.9474"
"1986-07";"BS";"81.2849"
