"Date","Region","Canton","Scaled Value","Scaled Number of Transactions"
"2019-01-01","9999","9999",0.00958857429004186,0.0185915175096747
"2019-01-01","Central","LU",0.668984930472038,1.03677449746822
"2019-01-01","Central","NW",0.173352220513579,0.0861939458949453
"2019-01-01","Central","OW",0.352055183070341,0.299061723158369
"2019-01-01","Central","SZ",0.353352705865276,0.397593367144744
"2019-01-01","Central","UR",0.193901597829556,0.153422504641082
"2019-01-01","Central","ZG",0.119265033107984,0.190299646319321
"2019-01-01","Eastern","AI",0.0311723138443533,0.0215144983247241
"2019-01-01","Eastern","AR",0.08489272276612,0.0633199216097331
"2019-01-01","Eastern","GL",0.102727087175497,0.140778913208542
"2019-01-01","Eastern","GR",3.56972420757221,2.53626365558857
"2019-01-01","Eastern","SG",0.642908108477569,0.88549324621491
"2019-01-01","Eastern","SH",0.0715364424347962,0.141900522125945
"2019-01-01","Eastern","TG",0.181292803754143,0.241247881688613
"2019-01-01","Espace Mittelland","BE",2.56131789581814,2.70426707615589
"2019-01-01","Espace Mittelland","FR",0.295585300253327,0.47746551732342
"2019-01-01","Espace Mittelland","JU",0.0486593623964441,0.0799061383276879
"2019-01-01","Espace Mittelland","NE",0.149608693320098,0.245666341060199
"2019-01-01","Espace Mittelland","SO",0.192683644674203,0.321323960761362
"2019-01-01","Lake Geneva","GE",1.08695451588485,1.61922940709034
"2019-01-01","Lake Geneva","VD",1.34515084959044,1.941403071577
"2019-01-01","Lake Geneva","VS",2.86506397328142,2.7441351749472
"2019-01-01","Northwestern","AG",0.54864550947061,0.959621399210523
"2019-01-01","Northwestern","BL",0.214727199549648,0.392699073686987
"2019-01-01","Northwestern","BS",0.344037317146715,0.692032702037454
"2019-01-01","Ticino","TI",0.613250429488672,0.697912651816565
"2019-01-01","Zurich","ZH",2.50935137499756,4.67993020193719
"2019-01-02","9999","9999",0.011205523037588,0.0234518228184197
"2019-01-02","Central","LU",2.88673203652534,3.07079527510348
"2019-01-02","Central","NW",0.298087923821259,0.2712934054154
"2019-01-02","Central","OW",0.373073731082665,0.279722466370426
"2019-01-02","Central","SZ",1.09485122402123,1.20756494625454
"2019-01-02","Central","UR",0.293712278947981,0.233838465203953
"2019-01-02","Central","ZG",0.592388526249857,0.813132476967931
"2019-01-02","Eastern","AI",0.0531737010009629,0.0498266264518887
"2019-01-02","Eastern","AR",0.120418058627908,0.14737261411691
"2019-01-02","Eastern","GL",0.161462901392736,0.218407845552413
"2019-01-02","Eastern","GR",5.03014218874121,3.42257261737977
"2019-01-02","Eastern","SG",3.40699712439105,3.77737490491815
"2019-01-02","Eastern","SH",0.240682953825365,0.390387879554157
"2019-01-02","Eastern","TG",0.194211582254481,0.359594616549102
"2019-01-02","Espace Mittelland","BE",2.94160102236668,3.45013700622867
"2019-01-02","Espace Mittelland","FR",1.43035215484582,1.90214675946791
"2019-01-02","Espace Mittelland","JU",0.05767171371211,0.111277199865951
"2019-01-02","Espace Mittelland","NE",0.785492320864057,1.15610688865007
"2019-01-02","Espace Mittelland","SO",0.757048095521882,1.09880286941549
"2019-01-02","Lake Geneva","GE",4.04549539329616,5.26479827013917
"2019-01-02","Lake Geneva","VD",1.62447178891695,2.53398644960475
"2019-01-02","Lake Geneva","VS",5.17575492287852,4.99843314633054
"2019-01-02","Northwestern","AG",1.79383292569443,2.6892783024415
"2019-01-02","Northwestern","BL",1.34293648827653,1.72381094160088
"2019-01-02","Northwestern","BS",1.51536656406208,2.32264813904688
"2019-01-02","Ticino","TI",2.42775377280568,2.51977940331765
"2019-01-02","Zurich","ZH",7.09462049203815,10.9545163792289
"2019-01-03","9999","9999",0.0124454294091181,0.0295357014916039
"2019-01-03","Central","LU",2.98346660448442,3.69352614130505
"2019-01-03","Central","NW",0.305526672830667,0.331350464719961
"2019-01-03","Central","OW",0.406766756597968,0.444802906122693
"2019-01-03","Central","SZ",1.00268070855881,1.18853158280771
"2019-01-03","Central","UR",0.26341225104672,0.255420939826701
"2019-01-03","Central","ZG",0.893198120214159,1.23917392483589
"2019-01-03","Eastern","AI",0.0607830279881537,0.0573380073835855
"2019-01-03","Eastern","AR",0.148324367517406,0.170858425084342
"2019-01-03","Eastern","GL",0.215663308810124,0.291244448885563
"2019-01-03","Eastern","GR",4.5536387422527,3.56301164909819
"2019-01-03","Eastern","SG",3.24119428049248,3.85398419279166
"2019-01-03","Eastern","SH",0.384414771958108,0.582047051833967
"2019-01-03","Eastern","TG",1.22980877319362,1.62072488564687
"2019-01-03","Espace Mittelland","BE",8.08708014576857,9.79586037940291
"2019-01-03","Espace Mittelland","FR",1.60020717633093,2.11739370716219
"2019-01-03","Espace Mittelland","JU",0.367909544384729,0.463972222165575
"2019-01-03","Espace Mittelland","NE",0.921421728656627,1.35130082842714
"2019-01-03","Espace Mittelland","SO",1.19374996164747,1.69359547712903
"2019-01-03","Lake Geneva","GE",4.61498981264645,5.81798938346178
"2019-01-03","Lake Geneva","VD",6.74767052429892,8.473075607997
"2019-01-03","Lake Geneva","VS",4.66192561261172,4.60264115108344
"2019-01-03","Northwestern","AG",3.80002682631325,4.8476277291634
"2019-01-03","Northwestern","BL",1.2496455207605,1.67184306176123
"2019-01-03","Northwestern","BS",1.41595395435478,2.30483834896448
"2019-01-03","Ticino","TI",2.40347474926077,2.50169770804316
"2019-01-03","Zurich","ZH",11.0272467451469,17.0439691088511
"2019-01-04","9999","9999",0.0161525741788738,0.0315410022833238
"2019-01-04","Central","LU",3.42293244161661,4.14499072463413
"2019-01-04","Central","NW",0.376179633417082,0.381313043767899
